Symbol;Price;Change24;Max24;Min24;Volume24
STPTUSDT;0.10398000;1.010;0.10492000;0.09939000;623421.49609200
STPTUSDT;0.10398000;1.010;0.10492000;0.09939000;623421.49609200
STPTUSDT;0.10398000;1.010;0.10492000;0.09939000;623421.49609200
STPTUSDT;0.10398000;1.010;0.10492000;0.09939000;623421.49609200
STPTUSDT;0.10398000;1.010;0.10492000;0.09939000;623421.49609200
STPTUSDT;0.10398000;1.010;0.10492000;0.09939000;623421.49609200
STPTUSDT;0.10398000;1.010;0.10492000;0.09939000;623421.49609200
STPTUSDT;0.10359000;0.847;0.10492000;0.09939000;623258.08265300
STPTUSDT;0.10359000;0.847;0.10492000;0.09939000;623258.08265300
STPTUSDT;0.10359000;0.847;0.10492000;0.09939000;623258.08265300
STPTUSDT;0.10359000;0.847;0.10492000;0.09939000;623258.08265300
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;1.435;0.10492000;0.09939000;622680.93909200
STPTUSDT;0.10391000;0.972;0.10492000;0.09939000;621078.65389200
STPTUSDT;0.10391000;0.972;0.10492000;0.09939000;621078.65389200
STPTUSDT;0.10391000;0.972;0.10492000;0.09939000;621078.65389200
STPTUSDT;0.10391000;0.972;0.10492000;0.09939000;621078.65389200
STPTUSDT;0.10391000;0.972;0.10492000;0.09939000;621078.65389200
STPTUSDT;0.10391000;0.972;0.10492000;0.09939000;621078.65389200
STPTUSDT;0.10391000;0.972;0.10492000;0.09939000;621078.65389200
STPTUSDT;0.10391000;0.972;0.10492000;0.09939000;621078.65389200
STPTUSDT;0.10391000;0.972;0.10492000;0.09939000;621078.65389200
STPTUSDT;0.10391000;0.972;0.10492000;0.09939000;621078.65389200
STPTUSDT;0.10391000;0.972;0.10492000;0.09939000;621078.65389200
STPTUSDT;0.10391000;0.972;0.10492000;0.09939000;621078.65389200
STPTUSDT;0.10347000;0.972;0.10492000;0.09939000;621078.65389200
STPTUSDT;0.10347000;0.544;0.10492000;0.09939000;623092.37533400
STPTUSDT;0.10346000;0.534;0.10492000;0.09939000;623166.63892200
STPTUSDT;0.10346000;0.534;0.10492000;0.09939000;623394.44749600
STPTUSDT;0.10346000;0.534;0.10492000;0.09939000;623394.44749600
STPTUSDT;0.10346000;0.534;0.10492000;0.09939000;623394.44749600
STPTUSDT;0.10346000;0.534;0.10492000;0.09939000;623394.44749600
STPTUSDT;0.10346000;0.534;0.10492000;0.09939000;623394.44749600
STPTUSDT;0.10346000;0.534;0.10492000;0.09939000;623394.44749600
STPTUSDT;0.10346000;0.534;0.10492000;0.09939000;623394.44749600
STPTUSDT;0.10346000;0.262;0.10492000;0.09939000;622352.47629400
STPTUSDT;0.10346000;0.262;0.10492000;0.09939000;622352.47629400
STPTUSDT;0.10346000;0.262;0.10492000;0.09939000;622352.47629400
STPTUSDT;0.10346000;0.262;0.10492000;0.09939000;622352.47629400
STPTUSDT;0.10346000;0.262;0.10492000;0.09939000;622352.47629400
STPTUSDT;0.10346000;0.262;0.10492000;0.09939000;622352.47629400
STPTUSDT;0.10346000;0.613;0.10492000;0.09939000;622341.46592100
STPTUSDT;0.10346000;0.613;0.10492000;0.09939000;622341.46592100
STPTUSDT;0.10346000;0.613;0.10492000;0.09939000;622341.46592100
STPTUSDT;0.10356000;0.710;0.10492000;0.09939000;623134.94264100
STPTUSDT;0.10356000;0.359;0.10492000;0.09939000;623075.35929700
STPTUSDT;0.10356000;0.359;0.10492000;0.09939000;623075.35929700
STPTUSDT;0.10356000;0.359;0.10492000;0.09939000;623075.35929700
STPTUSDT;0.10346000;0.136;0.10492000;0.09939000;622241.13262500
STPTUSDT;0.10346000;0.486;0.10492000;0.09939000;622228.73422500
STPTUSDT;0.10346000;0.486;0.10492000;0.09939000;622900.43792900
STPTUSDT;0.10346000;0.486;0.10492000;0.09939000;622900.43792900
STPTUSDT;0.10346000;0.486;0.10492000;0.09939000;622900.43792900
STPTUSDT;0.10346000;0.330;0.10492000;0.09939000;619988.47117100
STPTUSDT;0.10346000;0.330;0.10492000;0.09939000;619988.47117100
STPTUSDT;0.10346000;0.330;0.10492000;0.09939000;619988.47117100
STPTUSDT;0.10346000;0.174;0.10492000;0.09939000;609808.65780100
STPTUSDT;0.10338000;0.466;0.10492000;0.09939000;610260.95478700
STPTUSDT;0.10338000;0.466;0.10492000;0.09939000;610260.95478700
STPTUSDT;0.10281000;-0.368;0.10492000;0.09939000;609857.62615300
STPTUSDT;0.10281000;0.049;0.10492000;0.09939000;609846.60546100
STPTUSDT;0.10281000;0.049;0.10492000;0.09939000;609846.60546100
STPTUSDT;0.10289000;0.127;0.10492000;0.09939000;610030.35671200
STPTUSDT;0.10338000;0.594;0.10492000;0.09939000;611511.02228200
STPTUSDT;0.10338000;0.437;0.10492000;0.09939000;611500.05672300
STPTUSDT;0.10338000;0.584;0.10492000;0.09939000;610129.19791400
STPTUSDT;0.10338000;0.584;0.10492000;0.09939000;610129.19791400
STPTUSDT;0.10338000;0.584;0.10492000;0.09939000;610129.19791400
STPTUSDT;0.10338000;0.584;0.10492000;0.09939000;610129.19791400
STPTUSDT;0.10338000;0.584;0.10492000;0.09939000;610129.19791400
STPTUSDT;0.10338000;0.584;0.10492000;0.09939000;610129.19791400
STPTUSDT;0.10338000;0.584;0.10492000;0.09939000;610129.19791400
STPTUSDT;0.10338000;0.584;0.10492000;0.09939000;610129.19791400
STPTUSDT;0.10338000;0.584;0.10492000;0.09939000;610129.19791400
STPTUSDT;0.10338000;0.584;0.10492000;0.09939000;610129.19791400
STPTUSDT;0.10338000;0.584;0.10492000;0.09939000;610129.19791400
STPTUSDT;0.10338000;0.584;0.10492000;0.09939000;610129.19791400
STPTUSDT;0.10329000;0.584;0.10492000;0.09939000;610129.19791400
STPTUSDT;0.10329000;0.068;0.10492000;0.09939000;610041.57038300
STPTUSDT;0.10329000;0.068;0.10492000;0.09939000;610041.57038300
STPTUSDT;0.10329000;0.068;0.10492000;0.09939000;610041.57038300
STPTUSDT;0.10329000;0.068;0.10492000;0.09939000;610041.57038300
STPTUSDT;0.10329000;0.068;0.10492000;0.09939000;610041.57038300
STPTUSDT;0.10329000;0.359;0.10492000;0.09939000;609776.69810300
STPTUSDT;0.10329000;0.359;0.10492000;0.09939000;609776.69810300
STPTUSDT;0.10329000;0.359;0.10492000;0.09939000;609776.69810300
STPTUSDT;0.10329000;0.359;0.10492000;0.09939000;609776.69810300
STPTUSDT;0.10329000;0.359;0.10492000;0.09939000;609776.69810300
STPTUSDT;0.10329000;0.359;0.10492000;0.09939000;609776.69810300
STPTUSDT;0.10329000;0.359;0.10492000;0.09939000;609776.69810300
STPTUSDT;0.10329000;0.359;0.10492000;0.09939000;609776.69810300
STPTUSDT;0.10329000;0.359;0.10492000;0.09939000;609776.69810300
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609684.25535900
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609684.25535900
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609684.25535900
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609684.25535900
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609684.25535900
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609639.25352300
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609639.25352300
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609639.25352300
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609639.25352300
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609619.05641800
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609619.05641800
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609619.05641800
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609619.05641800
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609619.05641800
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609619.05641800
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609619.05641800
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609558.95066000
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609558.95066000
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609558.95066000
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609558.95066000
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609558.95066000
STPTUSDT;0.10329000;-0.019;0.10492000;0.09939000;609558.95066000
STPTUSDT;0.10329000;0.000;0.10492000;0.09939000;609548.84694200
STPTUSDT;0.10329000;0.000;0.10492000;0.09939000;609548.84694200
STPTUSDT;0.10329000;0.000;0.10492000;0.09939000;609548.84694200
STPTUSDT;0.10329000;0.000;0.10492000;0.09939000;609548.84694200
STPTUSDT;0.10329000;0.000;0.10492000;0.09939000;609548.84694200
STPTUSDT;0.10329000;0.000;0.10492000;0.09939000;609548.84694200
STPTUSDT;0.10298000;-0.300;0.10492000;0.09939000;609600.28545200
STPTUSDT;0.10298000;-0.300;0.10492000;0.09939000;609600.28545200
STPTUSDT;0.10298000;-0.300;0.10492000;0.09939000;609600.28545200
STPTUSDT;0.10298000;-0.368;0.10492000;0.09939000;608567.34479500
STPTUSDT;0.10298000;-0.368;0.10492000;0.09939000;608567.34479500
STPTUSDT;0.10298000;-0.368;0.10492000;0.09939000;608567.34479500
STPTUSDT;0.10298000;-0.368;0.10492000;0.09939000;608567.34479500
STPTUSDT;0.10329000;-0.068;0.10492000;0.09939000;608705.81536900
STPTUSDT;0.10329000;-0.010;0.10492000;0.09939000;608609.24612100
STPTUSDT;0.10360000;0.290;0.10492000;0.09939000;608678.44056100
STPTUSDT;0.10360000;0.290;0.10492000;0.09939000;608678.44056100
STPTUSDT;0.10360000;0.193;0.10492000;0.09939000;608668.34815100
STPTUSDT;0.10360000;0.193;0.10492000;0.09939000;608668.34815100
STPTUSDT;0.10360000;0.010;0.10492000;0.09939000;606573.21391100
STPTUSDT;0.10360000;0.010;0.10492000;0.09939000;606573.21391100
STPTUSDT;0.10360000;0.010;0.10492000;0.09939000;606573.21391100
STPTUSDT;0.10360000;0.010;0.10492000;0.09939000;606573.21391100
STPTUSDT;0.10360000;0.010;0.10492000;0.09939000;606573.21391100
STPTUSDT;0.10360000;0.010;0.10492000;0.09939000;606573.21391100
STPTUSDT;0.10362000;-0.346;0.10492000;0.09939000;591603.13914500
STPTUSDT;0.10357000;-0.394;0.10492000;0.09939000;591907.13780900
STPTUSDT;0.10357000;-0.394;0.10492000;0.09939000;591907.13780900
STPTUSDT;0.10338000;-0.394;0.10492000;0.09939000;591907.13780900
STPTUSDT;0.10338000;-0.577;0.10492000;0.09939000;592010.41442900
STPTUSDT;0.10338000;-0.577;0.10492000;0.09939000;592010.41442900
STPTUSDT;0.10380000;-0.135;0.10492000;0.09939000;591771.39617500
STPTUSDT;0.10380000;-0.135;0.10492000;0.09939000;591771.39617500
STPTUSDT;0.10380000;-0.135;0.10492000;0.09939000;591771.39617500
STPTUSDT;0.10380000;-0.192;0.10492000;0.09939000;591544.82776300
STPTUSDT;0.10380000;-0.183;0.10492000;0.09939000;590617.36817300
STPTUSDT;0.10393000;-0.183;0.10492000;0.09939000;590617.36817300
STPTUSDT;0.10393000;-0.058;0.10492000;0.09939000;590561.50056400
STPTUSDT;0.10393000;-0.058;0.10492000;0.09939000;590561.50056400
STPTUSDT;0.10393000;-0.058;0.10492000;0.09939000;590561.50056400
STPTUSDT;0.10393000;-0.058;0.10492000;0.09939000;590561.50056400
STPTUSDT;0.10393000;-0.058;0.10492000;0.09939000;590561.50056400
STPTUSDT;0.10393000;-0.058;0.10492000;0.09939000;590561.50056400
STPTUSDT;0.10386000;-0.125;0.10492000;0.09939000;590481.43451200
STPTUSDT;0.10386000;-0.125;0.10492000;0.09939000;590481.43451200
STPTUSDT;0.10386000;-0.125;0.10492000;0.09939000;590481.43451200
STPTUSDT;0.10386000;-0.125;0.10492000;0.09939000;590481.43451200
STPTUSDT;0.10386000;-0.202;0.10492000;0.09939000;590231.79154100
STPTUSDT;0.10386000;-0.202;0.10492000;0.09939000;590231.79154100
STPTUSDT;0.10386000;-0.202;0.10492000;0.09939000;590231.79154100
STPTUSDT;0.10386000;-0.202;0.10492000;0.09939000;590231.79154100
STPTUSDT;0.10386000;-0.202;0.10492000;0.09939000;590231.79154100
STPTUSDT;0.10386000;-0.202;0.10492000;0.09939000;590231.79154100
STPTUSDT;0.10386000;-0.202;0.10492000;0.09939000;590231.79154100
STPTUSDT;0.10386000;-0.365;0.10492000;0.09939000;590364.14563700
STPTUSDT;0.10386000;-0.365;0.10492000;0.09939000;590364.14563700
STPTUSDT;0.10386000;-0.365;0.10492000;0.09939000;590364.14563700
STPTUSDT;0.10386000;-0.365;0.10492000;0.09939000;590364.14563700
STPTUSDT;0.10386000;-0.365;0.10492000;0.09939000;590364.14563700
STPTUSDT;0.10386000;-0.365;0.10492000;0.09939000;590364.14563700
STPTUSDT;0.10386000;-0.365;0.10492000;0.09939000;590364.14563700
STPTUSDT;0.10386000;-0.365;0.10492000;0.09939000;590364.14563700
STPTUSDT;0.10386000;-0.365;0.10492000;0.09939000;590364.14563700
STPTUSDT;0.10386000;-0.365;0.10492000;0.09939000;590364.14563700
STPTUSDT;0.10386000;-0.365;0.10492000;0.09939000;590364.14563700
STPTUSDT;0.10386000;-0.365;0.10492000;0.09939000;590364.14563700
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590585.31219900
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590565.31682300
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590565.31682300
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590565.31682300
STPTUSDT;0.10329000;-1.025;0.10492000;0.09939000;590565.31682300
STPTUSDT;0.10368000;-0.652;0.10492000;0.09939000;591046.86928100
STPTUSDT;0.10368000;-0.652;0.10492000;0.09939000;591046.86928100
STPTUSDT;0.10368000;-0.652;0.10492000;0.09939000;591046.86928100
STPTUSDT;0.10368000;-0.652;0.10492000;0.09939000;591046.86928100
STPTUSDT;0.10368000;-0.585;0.10492000;0.09939000;591034.86788100
STPTUSDT;0.10368000;-0.585;0.10492000;0.09939000;591034.86788100
STPTUSDT;0.10368000;-0.585;0.10492000;0.09939000;591034.86788100
STPTUSDT;0.10368000;-0.585;0.10492000;0.09939000;591034.86788100
STPTUSDT;0.10368000;-0.585;0.10492000;0.09939000;591034.86788100
STPTUSDT;0.10368000;-0.585;0.10492000;0.09939000;591034.86788100
STPTUSDT;0.10368000;-0.585;0.10492000;0.09939000;591034.86788100
STPTUSDT;0.10368000;-0.518;0.10492000;0.09939000;590781.44318100
STPTUSDT;0.10368000;-0.518;0.10492000;0.09939000;590770.63556700
STPTUSDT;0.10368000;-0.518;0.10492000;0.09939000;590770.63556700
STPTUSDT;0.10368000;-0.518;0.10492000;0.09939000;590770.63556700
STPTUSDT;0.10368000;-0.518;0.10492000;0.09939000;590770.63556700
