Symbol;Price;Change24;Max24;Min24;Volume24
STRAXUSDT;1.40900000;0.643;1.44600000;1.34200000;1448038.28330000
STRAXUSDT;1.40900000;0.643;1.44600000;1.34200000;1448038.28330000
STRAXUSDT;1.40900000;0.643;1.44600000;1.34200000;1448038.28330000
STRAXUSDT;1.40900000;0.643;1.44600000;1.34200000;1448038.28330000
STRAXUSDT;1.41000000;0.643;1.44600000;1.34200000;1448038.28330000
STRAXUSDT;1.40600000;0.357;1.44600000;1.34200000;1449900.17030000
STRAXUSDT;1.40600000;0.357;1.44600000;1.34200000;1449900.17030000
STRAXUSDT;1.40600000;0.357;1.44600000;1.34200000;1449900.17030000
STRAXUSDT;1.40600000;0.357;1.44600000;1.34200000;1449900.17030000
STRAXUSDT;1.40600000;0.357;1.44600000;1.34200000;1449500.46500000
STRAXUSDT;1.40500000;0.286;1.44600000;1.34200000;1452358.37550000
STRAXUSDT;1.40600000;0.357;1.44600000;1.34200000;1452389.85120000
STRAXUSDT;1.40600000;0.357;1.44600000;1.34200000;1452389.85120000
STRAXUSDT;1.40600000;0.357;1.44600000;1.34200000;1452389.85120000
STRAXUSDT;1.40600000;0.285;1.44600000;1.34200000;1451582.03460000
STRAXUSDT;1.40600000;0.285;1.44600000;1.34200000;1451101.70940000
STRAXUSDT;1.40600000;0.214;1.44600000;1.34200000;1450466.04620000
STRAXUSDT;1.40600000;0.214;1.44600000;1.34200000;1450466.04620000
STRAXUSDT;1.40600000;0.214;1.44600000;1.34200000;1450466.04620000
STRAXUSDT;1.40500000;0.214;1.44600000;1.34200000;1450466.04620000
STRAXUSDT;1.40500000;0.214;1.44600000;1.34200000;1450353.28720000
STRAXUSDT;1.40500000;0.214;1.44600000;1.34200000;1450353.28720000
STRAXUSDT;1.40500000;0.214;1.44600000;1.34200000;1450353.28720000
STRAXUSDT;1.40500000;0.143;1.44600000;1.34200000;1449347.34650000
STRAXUSDT;1.40500000;0.143;1.44600000;1.34200000;1449347.34650000
STRAXUSDT;1.40500000;0.143;1.44600000;1.34200000;1449347.34650000
STRAXUSDT;1.40500000;0.143;1.44600000;1.34200000;1449347.34650000
STRAXUSDT;1.40500000;0.143;1.44600000;1.34200000;1445489.60500000
STRAXUSDT;1.40500000;0.143;1.44600000;1.34200000;1445489.60500000
STRAXUSDT;1.40500000;0.000;1.44600000;1.34200000;1444974.57990000
STRAXUSDT;1.40500000;0.000;1.44600000;1.34200000;1444974.57990000
STRAXUSDT;1.40500000;0.000;1.44600000;1.34200000;1444974.57990000
STRAXUSDT;1.40500000;0.000;1.44600000;1.34200000;1444974.57990000
STRAXUSDT;1.40500000;0.000;1.44600000;1.34200000;1444974.57990000
STRAXUSDT;1.40500000;-0.213;1.44600000;1.34200000;1443632.07700000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1443632.07700000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1443845.72980000
STRAXUSDT;1.40400000;0.000;1.44600000;1.34200000;1443804.78610000
STRAXUSDT;1.40400000;0.000;1.44600000;1.34200000;1443804.78610000
STRAXUSDT;1.40400000;0.000;1.44600000;1.34200000;1443804.78610000
STRAXUSDT;1.40400000;0.000;1.44600000;1.34200000;1443804.78610000
STRAXUSDT;1.40400000;0.000;1.44600000;1.34200000;1443804.78610000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1443467.12410000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1443467.12410000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1443467.12410000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1443467.12410000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1439564.07670000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1439564.07670000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1439564.07670000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1439564.07670000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1439564.07670000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1439564.07670000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1439564.07670000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1439564.07670000
STRAXUSDT;1.40400000;-0.213;1.44600000;1.34200000;1438614.21970000
STRAXUSDT;1.40400000;-0.355;1.44600000;1.34200000;1436470.56440000
STRAXUSDT;1.40400000;-0.355;1.44600000;1.34200000;1436470.56440000
STRAXUSDT;1.40400000;-0.355;1.44600000;1.34200000;1436470.56440000
STRAXUSDT;1.40400000;-0.355;1.44600000;1.34200000;1436470.56440000
STRAXUSDT;1.40400000;-0.355;1.44600000;1.34200000;1436470.56440000
STRAXUSDT;1.40400000;-0.355;1.44600000;1.34200000;1436470.56440000
STRAXUSDT;1.40200000;-0.355;1.44600000;1.34200000;1432317.55750000
STRAXUSDT;1.40100000;-0.285;1.44600000;1.34200000;1430008.84960000
STRAXUSDT;1.40000000;-0.214;1.44600000;1.34200000;1428586.66730000
STRAXUSDT;1.40100000;-0.143;1.44600000;1.34200000;1428541.29880000
STRAXUSDT;1.40100000;0.000;1.44600000;1.34200000;1428327.81860000
STRAXUSDT;1.40100000;0.071;1.44600000;1.34200000;1425814.60240000
STRAXUSDT;1.40100000;0.071;1.44600000;1.34200000;1425814.60240000
STRAXUSDT;1.40300000;0.358;1.44600000;1.34200000;1424608.69960000
STRAXUSDT;1.40300000;0.358;1.44600000;1.34200000;1424608.69960000
STRAXUSDT;1.40300000;0.358;1.44600000;1.34200000;1424608.69960000
STRAXUSDT;1.40300000;0.358;1.44600000;1.34200000;1430778.78660000
STRAXUSDT;1.40000000;0.287;1.44600000;1.34200000;1434622.75760000
STRAXUSDT;1.40000000;0.503;1.44600000;1.34200000;1431519.25960000
STRAXUSDT;1.40100000;0.358;1.44600000;1.34200000;1430376.76640000
STRAXUSDT;1.40100000;0.358;1.44600000;1.34200000;1430376.76640000
STRAXUSDT;1.40100000;0.358;1.44600000;1.34200000;1430376.76640000
STRAXUSDT;1.40100000;0.358;1.44600000;1.34200000;1430376.76640000
STRAXUSDT;1.40100000;0.719;1.44600000;1.34200000;1429169.44200000
STRAXUSDT;1.39500000;0.359;1.44600000;1.34200000;1428703.57910000
STRAXUSDT;1.39700000;0.287;1.44600000;1.34200000;1428806.49690000
STRAXUSDT;1.40000000;0.430;1.44600000;1.34200000;1429174.25470000
STRAXUSDT;1.40000000;0.430;1.44600000;1.34200000;1429218.35470000
STRAXUSDT;1.40000000;0.430;1.44600000;1.34200000;1429218.35470000
STRAXUSDT;1.40000000;0.430;1.44600000;1.34200000;1429218.35470000
STRAXUSDT;1.40000000;0.430;1.44600000;1.34200000;1429218.35470000
STRAXUSDT;1.40000000;0.430;1.44600000;1.34200000;1428747.04330000
STRAXUSDT;1.40000000;0.358;1.44600000;1.34200000;1428718.04810000
STRAXUSDT;1.40000000;0.358;1.44600000;1.34200000;1428917.96810000
STRAXUSDT;1.40000000;0.503;1.44600000;1.34200000;1428846.40460000
STRAXUSDT;1.40000000;0.503;1.44600000;1.34200000;1428846.40460000
STRAXUSDT;1.40000000;0.503;1.44600000;1.34200000;1428846.40460000
STRAXUSDT;1.39800000;0.358;1.44600000;1.34200000;1429056.26930000
STRAXUSDT;1.40000000;0.358;1.44600000;1.34200000;1429208.49110000
STRAXUSDT;1.40000000;0.358;1.44600000;1.34200000;1429208.49110000
STRAXUSDT;1.40000000;0.358;1.44600000;1.34200000;1429208.49110000
STRAXUSDT;1.40000000;0.358;1.44600000;1.34200000;1429208.49110000
STRAXUSDT;1.40000000;0.358;1.44600000;1.34200000;1429208.49110000
STRAXUSDT;1.40000000;0.358;1.44600000;1.34200000;1429208.49110000
STRAXUSDT;1.40000000;0.358;1.44600000;1.34200000;1429208.49110000
STRAXUSDT;1.40000000;0.358;1.44600000;1.34200000;1429208.49110000
STRAXUSDT;1.40000000;0.358;1.44600000;1.34200000;1429208.49110000
STRAXUSDT;1.40000000;0.358;1.44600000;1.34200000;1429208.49110000
STRAXUSDT;1.40000000;0.000;1.44600000;1.34200000;1422083.17300000
STRAXUSDT;1.39800000;-0.143;1.44600000;1.34200000;1422173.20420000
STRAXUSDT;1.39800000;-0.214;1.44600000;1.34200000;1422175.32980000
STRAXUSDT;1.39800000;-0.214;1.44600000;1.34200000;1422175.32980000
STRAXUSDT;1.39800000;-0.214;1.44600000;1.34200000;1422175.32980000
STRAXUSDT;1.39800000;-0.214;1.44600000;1.34200000;1422175.32980000
STRAXUSDT;1.39800000;-0.071;1.44600000;1.34200000;1421986.42410000
STRAXUSDT;1.40000000;-0.071;1.44600000;1.34200000;1421986.42410000
STRAXUSDT;1.39800000;-0.071;1.44600000;1.34200000;1424616.01850000
STRAXUSDT;1.39800000;-0.071;1.44600000;1.34200000;1424616.01850000
STRAXUSDT;1.39800000;-0.071;1.44600000;1.34200000;1424616.01850000
STRAXUSDT;1.39800000;-0.071;1.44600000;1.34200000;1424616.01850000
STRAXUSDT;1.39800000;-0.071;1.44600000;1.34200000;1424616.01850000
STRAXUSDT;1.39800000;-0.071;1.44600000;1.34200000;1424616.01850000
STRAXUSDT;1.39800000;-0.071;1.44600000;1.34200000;1424616.01850000
STRAXUSDT;1.39800000;-0.071;1.44600000;1.34200000;1424616.01850000
STRAXUSDT;1.39800000;-0.071;1.44600000;1.34200000;1424616.01850000
STRAXUSDT;1.39800000;-0.143;1.44600000;1.34200000;1422933.83310000
STRAXUSDT;1.39800000;-0.143;1.44600000;1.34200000;1422933.83310000
STRAXUSDT;1.39800000;-0.143;1.44600000;1.34200000;1422933.83310000
STRAXUSDT;1.39800000;-0.285;1.44600000;1.34200000;1422781.23310000
STRAXUSDT;1.40000000;-0.143;1.44600000;1.34200000;1422831.63310000
STRAXUSDT;1.40000000;-0.143;1.44600000;1.34200000;1422831.63310000
STRAXUSDT;1.40000000;-0.071;1.44600000;1.34200000;1422564.83250000
STRAXUSDT;1.40000000;-0.071;1.44600000;1.34200000;1422564.83250000
STRAXUSDT;1.40000000;-0.071;1.44600000;1.34200000;1422605.57250000
STRAXUSDT;1.40000000;-0.143;1.44600000;1.34200000;1422479.36250000
STRAXUSDT;1.40000000;-0.143;1.44600000;1.34200000;1422479.36250000
STRAXUSDT;1.40000000;-0.143;1.44600000;1.34200000;1422479.36250000
STRAXUSDT;1.40000000;-0.143;1.44600000;1.34200000;1422479.36250000
STRAXUSDT;1.40000000;-0.143;1.44600000;1.34200000;1422479.36250000
STRAXUSDT;1.40000000;0.000;1.44600000;1.34200000;1414951.47300000
STRAXUSDT;1.40000000;-0.214;1.44600000;1.34200000;1410854.95750000
STRAXUSDT;1.40000000;-0.214;1.44600000;1.34200000;1411535.49750000
STRAXUSDT;1.40000000;-0.427;1.44600000;1.34200000;1408149.03350000
STRAXUSDT;1.40000000;-0.427;1.44600000;1.34200000;1408149.03350000
STRAXUSDT;1.40000000;-0.498;1.44600000;1.34200000;1407623.93440000
STRAXUSDT;1.40100000;-0.498;1.44600000;1.34200000;1407623.93440000
STRAXUSDT;1.40100000;-0.426;1.44600000;1.34200000;1407403.08760000
STRAXUSDT;1.40300000;-0.497;1.44600000;1.34200000;1408081.01000000
STRAXUSDT;1.40400000;-0.355;1.44600000;1.34200000;1408416.31970000
STRAXUSDT;1.40400000;-0.355;1.44600000;1.34200000;1407726.19150000
STRAXUSDT;1.40400000;-0.355;1.44600000;1.34200000;1407552.32090000
STRAXUSDT;1.40400000;-0.355;1.44600000;1.34200000;1407592.33490000
STRAXUSDT;1.40400000;-0.355;1.44600000;1.34200000;1407592.33490000
STRAXUSDT;1.40400000;-1.818;1.44600000;1.34200000;1376710.90200000
STRAXUSDT;1.40400000;-1.887;1.44600000;1.34200000;1375918.03850000
STRAXUSDT;1.40400000;-1.887;1.44600000;1.34200000;1375828.45380000
STRAXUSDT;1.40400000;-1.887;1.44600000;1.34200000;1373893.87410000
STRAXUSDT;1.40400000;-1.887;1.44600000;1.34200000;1373893.87410000
STRAXUSDT;1.40400000;-1.887;1.44600000;1.34200000;1373893.87410000
STRAXUSDT;1.40400000;-1.887;1.44600000;1.34200000;1373893.87410000
STRAXUSDT;1.40300000;-0.778;1.44600000;1.34200000;1336503.21160000
STRAXUSDT;1.40300000;-0.637;1.44600000;1.34200000;1335504.16860000
STRAXUSDT;1.40300000;-0.637;1.44600000;1.34200000;1335504.16860000
STRAXUSDT;1.40300000;-0.637;1.44600000;1.34200000;1335504.16860000
STRAXUSDT;1.40300000;-0.637;1.44600000;1.34200000;1335504.16860000
STRAXUSDT;1.40300000;-0.848;1.44600000;1.34200000;1334862.61490000
STRAXUSDT;1.40300000;-0.848;1.44600000;1.34200000;1334862.61490000
STRAXUSDT;1.40300000;-0.848;1.44600000;1.34200000;1334862.61490000
STRAXUSDT;1.40300000;-0.848;1.44600000;1.34200000;1334862.61490000
STRAXUSDT;1.40300000;-0.637;1.44600000;1.34200000;1334826.81540000
STRAXUSDT;1.40300000;-0.637;1.44600000;1.34200000;1334826.81540000
STRAXUSDT;1.40300000;-0.637;1.44600000;1.34200000;1334826.81540000
