Symbol;Price;Change24;Max24;Min24;Volume24
SUNUSDT;0.02211000;0.455;0.02245000;0.02146000;10531088.16428000
SUNUSDT;0.02210000;0.455;0.02245000;0.02146000;10531324.60008000
SUNUSDT;0.02210000;0.409;0.02245000;0.02146000;10531469.76778000
SUNUSDT;0.02210000;0.409;0.02245000;0.02146000;10531454.75696000
SUNUSDT;0.02209000;0.409;0.02245000;0.02146000;10531646.00734000
SUNUSDT;0.02208000;0.364;0.02245000;0.02146000;10531860.13918000
SUNUSDT;0.02208000;0.455;0.02245000;0.02146000;10531604.49918000
SUNUSDT;0.02208000;0.318;0.02245000;0.02146000;10531345.57250000
SUNUSDT;0.02209000;0.455;0.02245000;0.02146000;10531329.82452000
SUNUSDT;0.02208000;0.318;0.02245000;0.02146000;10531222.44531000
SUNUSDT;0.02208000;0.318;0.02245000;0.02146000;10531233.46323000
SUNUSDT;0.02208000;0.318;0.02245000;0.02146000;10531233.46323000
SUNUSDT;0.02208000;0.455;0.02245000;0.02146000;10531223.18456000
SUNUSDT;0.02206000;0.455;0.02245000;0.02146000;10530877.16300000
SUNUSDT;0.02208000;0.546;0.02245000;0.02146000;10530852.45188000
SUNUSDT;0.02208000;0.546;0.02245000;0.02146000;10530862.74116000
SUNUSDT;0.02208000;0.409;0.02245000;0.02146000;10530682.60373000
SUNUSDT;0.02208000;0.409;0.02245000;0.02146000;10530682.60373000
SUNUSDT;0.02208000;0.409;0.02245000;0.02146000;10541138.88107000
SUNUSDT;0.02205000;0.182;0.02245000;0.02146000;10539855.86205000
SUNUSDT;0.02204000;0.227;0.02245000;0.02146000;10541191.60060000
SUNUSDT;0.02204000;0.136;0.02245000;0.02146000;10541258.13936000
SUNUSDT;0.02204000;0.136;0.02245000;0.02146000;10541279.39498000
SUNUSDT;0.02206000;0.182;0.02245000;0.02146000;10541895.17626000
SUNUSDT;0.02208000;0.136;0.02245000;0.02146000;10541503.22954000
SUNUSDT;0.02207000;0.136;0.02245000;0.02146000;10542752.69842000
SUNUSDT;0.02207000;0.227;0.02245000;0.02146000;10542736.47698000
SUNUSDT;0.02207000;0.227;0.02245000;0.02146000;10542936.38704000
SUNUSDT;0.02207000;0.227;0.02245000;0.02146000;10542936.38704000
