Symbol;Price;Change24;Max24;Min24;Volume24
SUPERUSDT;1.15920000;-0.982;1.19000000;1.10720000;5774743.04660000
SUPERUSDT;1.15920000;-0.982;1.19000000;1.10720000;5774396.41740000
SUPERUSDT;1.15920000;-1.016;1.19000000;1.10720000;5774253.49080000
SUPERUSDT;1.15890000;-1.118;1.19000000;1.10720000;5774181.19730000
SUPERUSDT;1.15850000;-1.152;1.19000000;1.10720000;5774308.58930000
SUPERUSDT;1.15880000;-1.101;1.19000000;1.10720000;5774921.07780000
SUPERUSDT;1.15900000;-0.966;1.19000000;1.10720000;5773647.39770000
SUPERUSDT;1.15900000;-0.966;1.19000000;1.10720000;5773647.39770000
SUPERUSDT;1.15900000;-0.898;1.19000000;1.10720000;5772173.63070000
SUPERUSDT;1.15900000;-0.898;1.19000000;1.10720000;5773797.86340000
SUPERUSDT;1.15900000;-0.898;1.19000000;1.10720000;5773797.86340000
SUPERUSDT;1.15900000;-0.898;1.19000000;1.10720000;5773797.86340000
SUPERUSDT;1.15900000;-0.898;1.19000000;1.10720000;5773797.86340000
SUPERUSDT;1.15900000;-0.762;1.19000000;1.10720000;5754993.04480000
SUPERUSDT;1.15900000;-1.101;1.19000000;1.10720000;5735552.69320000
SUPERUSDT;1.15900000;-1.286;1.19000000;1.10720000;5714879.86580000
SUPERUSDT;1.15900000;-1.513;1.19000000;1.10720000;5703510.74740000
SUPERUSDT;1.15770000;-1.840;1.19000000;1.10720000;5685923.83370000
SUPERUSDT;1.15880000;-1.880;1.19000000;1.10720000;5675472.01960000
SUPERUSDT;1.15880000;-1.979;1.19000000;1.10720000;5666131.76130000
SUPERUSDT;1.15770000;-1.813;1.19000000;1.10720000;5664918.26000000
SUPERUSDT;1.15620000;-1.867;1.19000000;1.10720000;5650630.97440000
SUPERUSDT;1.15620000;-1.784;1.19000000;1.10720000;5650599.16300000
SUPERUSDT;1.15770000;-1.832;1.19000000;1.10720000;5650779.24760000
SUPERUSDT;1.15770000;-1.832;1.19000000;1.10720000;5650740.33070000
SUPERUSDT;1.15870000;-1.971;1.19000000;1.10720000;5644288.80030000
SUPERUSDT;1.15870000;-2.013;1.19000000;1.10720000;5644077.22230000
SUPERUSDT;1.15870000;-2.054;1.19000000;1.10720000;5643953.05980000
SUPERUSDT;1.15870000;-2.054;1.19000000;1.10720000;5643953.05980000
SUPERUSDT;1.15870000;-1.888;1.19000000;1.10720000;5643934.13180000
SUPERUSDT;1.15870000;-2.029;1.19000000;1.10720000;5643637.78330000
SUPERUSDT;1.15870000;-2.029;1.19000000;1.10720000;5643637.78330000
SUPERUSDT;1.15870000;-1.888;1.19000000;1.10720000;5642498.89180000
SUPERUSDT;1.15950000;-2.111;1.19000000;1.10720000;5636342.90490000
SUPERUSDT;1.15950000;-1.970;1.19000000;1.10720000;5635998.21540000
SUPERUSDT;1.15950000;-2.044;1.19000000;1.10720000;5634970.34190000
SUPERUSDT;1.15950000;-1.787;1.19000000;1.10720000;5633054.52730000
SUPERUSDT;1.15870000;-1.945;1.19000000;1.10720000;5632797.64790000
SUPERUSDT;1.15870000;-2.062;1.19000000;1.10720000;5632883.95540000
SUPERUSDT;1.15870000;-2.062;1.19000000;1.10720000;5632883.95540000
SUPERUSDT;1.15870000;-1.830;1.19000000;1.10720000;5631641.95750000
SUPERUSDT;1.15870000;-1.830;1.19000000;1.10720000;5631641.95750000
SUPERUSDT;1.15980000;-1.830;1.19000000;1.10720000;5631641.95750000
SUPERUSDT;1.15980000;-1.903;1.19000000;1.10720000;5631427.93280000
SUPERUSDT;1.15980000;-1.994;1.19000000;1.10720000;5631270.68690000
SUPERUSDT;1.15980000;-1.853;1.19000000;1.10720000;5629016.02550000
SUPERUSDT;1.15980000;-1.853;1.19000000;1.10720000;5629016.02550000
SUPERUSDT;1.15980000;-1.770;1.19000000;1.10720000;5628184.17660000
SUPERUSDT;1.15980000;-1.837;1.19000000;1.10720000;5628036.55650000
SUPERUSDT;1.15870000;-1.971;1.19000000;1.10720000;5628368.78890000
SUPERUSDT;1.15870000;-1.971;1.19000000;1.10720000;5628368.78890000
SUPERUSDT;1.15870000;-1.971;1.19000000;1.10720000;5628368.78890000
SUPERUSDT;1.15980000;-1.971;1.19000000;1.10720000;5628368.78890000
SUPERUSDT;1.15980000;-1.878;1.19000000;1.10720000;5629006.67890000
SUPERUSDT;1.15830000;-1.878;1.19000000;1.10720000;5628983.03890000
SUPERUSDT;1.15830000;-2.005;1.19000000;1.10720000;5629823.96470000
SUPERUSDT;1.15930000;-1.920;1.19000000;1.10720000;5629845.99140000
SUPERUSDT;1.15940000;-1.912;1.19000000;1.10720000;5628970.83680000
SUPERUSDT;1.15940000;-1.887;1.19000000;1.10720000;5628368.01680000
SUPERUSDT;1.15940000;-1.987;1.19000000;1.10720000;5628098.16920000
SUPERUSDT;1.15960000;-2.061;1.19000000;1.10720000;5623131.92340000
SUPERUSDT;1.15920000;-2.095;1.19000000;1.10720000;5604903.44020000
SUPERUSDT;1.15920000;-2.095;1.19000000;1.10720000;5604903.44020000
SUPERUSDT;1.14680000;-2.906;1.19000000;1.10720000;5668651.99260000
SUPERUSDT;1.14690000;-3.068;1.19000000;1.10720000;5664023.52290000
SUPERUSDT;1.14180000;-3.081;1.19000000;1.10720000;5734485.84500000
SUPERUSDT;1.14230000;-2.956;1.19000000;1.10720000;5730710.27870000
