Symbol;Price;Change24;Max24;Min24;Volume24
SUSHIUSDT;9.37100000;0.612;9.99900000;8.78200000;163467886.65360000
SUSHIUSDT;9.37500000;0.785;9.99900000;8.78200000;163451083.40040000
SUSHIUSDT;9.37300000;0.828;9.99900000;8.78200000;163432330.71490000
SUSHIUSDT;9.37600000;0.764;9.99900000;8.78200000;163419808.09210000
SUSHIUSDT;9.37300000;0.893;9.99900000;8.78200000;163411706.03720000
SUSHIUSDT;9.37000000;0.861;9.99900000;8.78200000;163401301.33550000
SUSHIUSDT;9.36800000;0.981;9.99900000;8.78200000;163396134.98170000
SUSHIUSDT;9.36700000;0.807;9.99900000;8.78200000;163363129.98340000
SUSHIUSDT;9.35600000;0.852;9.99900000;8.78200000;163364466.36800000
SUSHIUSDT;9.36300000;0.949;9.99900000;8.78200000;163391723.24680000
SUSHIUSDT;9.36400000;0.797;9.99900000;8.78200000;163385602.41000000
SUSHIUSDT;9.36400000;0.949;9.99900000;8.78200000;163371169.74120000
SUSHIUSDT;9.37000000;1.243;9.99900000;8.78200000;163366861.10170000
SUSHIUSDT;9.36500000;0.938;9.99900000;8.78200000;163359866.06780000
SUSHIUSDT;9.37400000;1.319;9.99900000;8.78200000;163350988.02710000
SUSHIUSDT;9.36300000;1.296;9.99900000;8.78200000;163290102.14520000
SUSHIUSDT;9.36000000;1.222;9.99900000;8.78200000;163272852.51830000
SUSHIUSDT;9.37400000;1.275;9.99900000;8.78200000;163264268.80690000
SUSHIUSDT;9.37100000;1.308;9.99900000;8.78200000;163260692.81240000
SUSHIUSDT;9.34700000;1.103;9.99900000;8.78200000;163254873.60340000
SUSHIUSDT;9.34200000;1.159;9.99900000;8.78200000;163251057.64640000
SUSHIUSDT;9.34900000;1.279;9.99900000;8.78200000;163265396.73140000
SUSHIUSDT;9.34600000;1.312;9.99900000;8.78200000;163273143.63940000
SUSHIUSDT;9.36300000;1.452;9.99900000;8.78200000;163276517.45660000
SUSHIUSDT;9.35800000;1.299;9.99900000;8.78200000;163290315.56240000
SUSHIUSDT;9.35900000;0.938;9.99900000;8.78200000;163248688.12300000
SUSHIUSDT;9.35200000;0.852;9.99900000;8.78200000;163233736.24150000
SUSHIUSDT;9.36400000;0.775;9.99900000;8.78200000;163220591.03270000
SUSHIUSDT;9.36800000;0.883;9.99900000;8.78200000;163207470.43550000
SUSHIUSDT;9.37800000;1.384;9.99900000;8.78200000;163148921.01560000
SUSHIUSDT;9.37400000;1.482;9.99900000;8.78200000;163143518.19840000
SUSHIUSDT;9.37400000;1.462;9.99900000;8.78200000;163133887.80690000
SUSHIUSDT;9.39300000;1.756;9.99900000;8.78200000;163112015.30090000
SUSHIUSDT;9.39300000;1.524;9.99900000;8.78200000;163103861.32870000
SUSHIUSDT;9.39500000;1.612;9.99900000;8.78200000;163096505.12540000
SUSHIUSDT;9.39500000;1.655;9.99900000;8.78200000;163069484.19600000
SUSHIUSDT;9.40400000;1.863;9.99900000;8.78200000;163059182.48770000
SUSHIUSDT;9.40000000;2.030;9.99900000;8.78200000;163022913.03680000
SUSHIUSDT;9.39600000;1.852;9.99900000;8.78200000;162988345.77170000
SUSHIUSDT;9.39300000;1.965;9.99900000;8.78200000;162984550.12800000
SUSHIUSDT;9.40000000;1.943;9.99900000;8.78200000;162974818.94860000
SUSHIUSDT;9.41200000;1.985;9.99900000;8.78200000;162975563.93880000
SUSHIUSDT;9.43000000;2.191;9.99900000;8.78200000;162992121.54770000
SUSHIUSDT;9.41900000;2.500;9.99900000;8.78200000;162920425.65950000
SUSHIUSDT;9.41500000;2.281;9.99900000;8.78200000;162751448.92260000
SUSHIUSDT;9.42600000;2.369;9.99900000;8.78200000;162757559.73410000
SUSHIUSDT;9.41100000;2.393;9.99900000;8.78200000;162746914.75050000
SUSHIUSDT;9.40500000;2.228;9.99900000;8.78200000;162729224.85010000
SUSHIUSDT;9.41400000;2.361;9.99900000;8.78200000;162704775.06950000
SUSHIUSDT;9.41400000;2.326;9.99900000;8.78200000;162677052.11450000
SUSHIUSDT;9.40900000;2.182;9.99900000;8.78200000;162675014.73110000
SUSHIUSDT;9.40600000;2.028;9.99900000;8.78200000;162630711.45280000
SUSHIUSDT;9.40600000;2.139;9.99900000;8.78200000;162618462.30120000
SUSHIUSDT;9.40500000;2.062;9.99900000;8.78200000;162607355.74900000
SUSHIUSDT;9.40500000;1.973;9.99900000;8.78200000;162606406.13330000
SUSHIUSDT;9.40400000;1.885;9.99900000;8.78200000;162608740.82400000
SUSHIUSDT;9.40000000;1.831;9.99900000;8.78200000;162606798.11150000
SUSHIUSDT;9.40200000;1.786;9.99900000;8.78200000;162614995.89330000
SUSHIUSDT;9.40000000;1.688;9.99900000;8.78200000;162607262.14610000
SUSHIUSDT;9.40300000;1.599;9.99900000;8.78200000;162600196.80290000
SUSHIUSDT;9.40200000;1.588;9.99900000;8.78200000;162512688.19640000
SUSHIUSDT;9.39000000;1.623;9.99900000;8.78200000;162358901.84000000
SUSHIUSDT;9.39200000;1.601;9.99900000;8.78200000;162363166.67840000
SUSHIUSDT;9.39300000;1.656;9.99900000;8.78200000;162364451.84380000
SUSHIUSDT;9.38600000;1.591;9.99900000;8.78200000;162365644.90200000
SUSHIUSDT;9.36800000;1.649;9.99900000;8.78200000;162362793.39510000
SUSHIUSDT;9.37400000;1.848;9.99900000;8.78200000;162352353.08160000
SUSHIUSDT;9.37600000;1.858;9.99900000;8.78200000;162341415.81380000
SUSHIUSDT;9.36600000;1.408;9.99900000;8.78200000;162467782.69230000
SUSHIUSDT;9.36300000;1.332;9.99900000;8.78200000;162464000.22920000
SUSHIUSDT;9.35000000;1.355;9.99900000;8.78200000;162443705.13200000
SUSHIUSDT;9.36600000;1.122;9.99900000;8.78200000;162444557.50560000
SUSHIUSDT;9.35600000;1.123;9.99900000;8.78200000;162332037.30870000
SUSHIUSDT;9.35600000;1.266;9.99900000;8.78200000;162288312.00420000
SUSHIUSDT;9.34500000;1.038;9.99900000;8.78200000;162203602.10890000
SUSHIUSDT;9.33100000;1.094;9.99900000;8.78200000;162171887.16960000
SUSHIUSDT;9.32500000;1.128;9.99900000;8.78200000;162162891.74200000
SUSHIUSDT;9.32000000;1.051;9.99900000;8.78200000;162357262.32610000
SUSHIUSDT;9.34200000;1.312;9.99900000;8.78200000;162289780.76380000
SUSHIUSDT;9.32700000;0.952;9.99900000;8.78200000;162352570.33810000
SUSHIUSDT;9.33500000;-0.064;9.99900000;8.78200000;161867192.58590000
SUSHIUSDT;9.33200000;-0.607;9.99900000;8.78200000;161591558.38980000
SUSHIUSDT;9.33200000;-1.768;9.99900000;8.78200000;160783443.24820000
SUSHIUSDT;9.32900000;-1.343;9.99900000;8.78200000;160274486.04040000
SUSHIUSDT;9.34200000;-1.290;9.99900000;8.78200000;160126813.41170000
SUSHIUSDT;9.33500000;-1.478;9.99900000;8.78200000;159884831.51510000
SUSHIUSDT;9.33000000;-2.579;9.99900000;8.78200000;159547394.08420000
SUSHIUSDT;9.32300000;-2.017;9.99900000;8.78200000;159387351.03790000
SUSHIUSDT;9.32300000;-2.203;9.99900000;8.78200000;159283176.28000000
SUSHIUSDT;9.33600000;-1.716;9.99900000;8.78200000;158810178.63100000
SUSHIUSDT;9.33700000;-1.602;9.99900000;8.78200000;158728617.17600000
SUSHIUSDT;9.32900000;-1.738;9.99900000;8.78200000;158641154.61800000
SUSHIUSDT;9.30200000;-2.041;9.99900000;8.78200000;158628281.82260000
SUSHIUSDT;9.30300000;-2.469;9.99900000;8.78200000;158691448.22090000
SUSHIUSDT;9.31000000;-2.401;9.99900000;8.78200000;158636861.58100000
SUSHIUSDT;9.30500000;-2.102;9.99900000;8.78200000;158244245.25450000
SUSHIUSDT;9.30500000;-1.939;9.99900000;8.78200000;158205491.54020000
SUSHIUSDT;9.28500000;-2.262;9.99900000;8.78200000;158305446.04320000
SUSHIUSDT;9.27300000;-2.513;9.99900000;8.78200000;158331048.22340000
SUSHIUSDT;9.27300000;-2.472;9.99900000;8.78200000;158321569.24210000
SUSHIUSDT;9.26400000;-2.566;9.99900000;8.78200000;158325622.35300000
SUSHIUSDT;9.23900000;-2.774;9.99900000;8.78200000;158469574.51030000
SUSHIUSDT;9.25800000;-2.770;9.99900000;8.78200000;158551753.88620000
SUSHIUSDT;9.26100000;-2.875;9.99900000;8.78200000;158494503.81880000
SUSHIUSDT;9.24400000;-3.019;9.99900000;8.78200000;158485717.33820000
SUSHIUSDT;9.25200000;-3.019;9.99900000;8.78200000;158262448.64140000
SUSHIUSDT;9.26000000;-2.969;9.99900000;8.78200000;158216925.31500000
SUSHIUSDT;9.25800000;-2.568;9.99900000;8.78200000;158100792.27300000
SUSHIUSDT;9.27000000;-2.298;9.99900000;8.78200000;158036452.81300000
SUSHIUSDT;9.26700000;-2.433;9.99900000;8.78200000;158006463.09500000
SUSHIUSDT;9.27600000;-2.307;9.99900000;8.78200000;158003466.88930000
SUSHIUSDT;9.26600000;-2.248;9.99900000;8.78200000;157992525.55620000
SUSHIUSDT;9.26600000;-2.405;9.99900000;8.78200000;158003572.23560000
SUSHIUSDT;9.26400000;-2.279;9.99900000;8.78200000;157970249.98480000
SUSHIUSDT;9.26600000;-2.217;9.99900000;8.78200000;157957265.83530000
SUSHIUSDT;9.27500000;-1.923;9.99900000;8.78200000;157888066.21460000
SUSHIUSDT;9.27500000;-1.966;9.99900000;8.78200000;157873603.79420000
SUSHIUSDT;9.28700000;-1.841;9.99900000;8.78200000;157880973.87590000
SUSHIUSDT;9.28900000;-1.891;9.99900000;8.78200000;157804303.28580000
SUSHIUSDT;9.28400000;-2.016;9.99900000;8.78200000;157753912.67240000
SUSHIUSDT;9.29300000;-1.890;9.99900000;8.78200000;157696419.32320000
SUSHIUSDT;9.28200000;-2.511;9.99900000;8.78200000;157660751.11760000
SUSHIUSDT;9.29000000;-2.417;9.99900000;8.78200000;157637477.15930000
SUSHIUSDT;9.28900000;-2.773;9.99900000;8.78200000;157580874.19770000
SUSHIUSDT;9.27400000;-3.627;9.99900000;8.78200000;157222562.13620000
SUSHIUSDT;9.27300000;-3.457;9.99900000;8.78200000;156882069.19190000
SUSHIUSDT;9.27800000;-3.008;9.99900000;8.78200000;156842772.18120000
SUSHIUSDT;9.29100000;-3.098;9.99900000;8.78200000;156811879.00390000
SUSHIUSDT;9.29600000;-3.176;9.99900000;8.78200000;156793095.28620000
SUSHIUSDT;9.30300000;-3.167;9.99900000;8.78200000;156748185.68470000
SUSHIUSDT;9.32000000;-2.857;9.99900000;8.78200000;156730100.79290000
SUSHIUSDT;9.32000000;-2.776;9.99900000;8.78200000;156721081.88130000
SUSHIUSDT;9.33800000;-2.404;9.99900000;8.78200000;156647785.97520000
SUSHIUSDT;9.33700000;-2.394;9.99900000;8.78200000;156636341.74370000
SUSHIUSDT;9.34000000;-2.240;9.99900000;8.78200000;156623499.93080000
SUSHIUSDT;9.34300000;-2.260;9.99900000;8.78200000;156622718.04730000
SUSHIUSDT;9.35100000;-2.452;9.99900000;8.78200000;156607097.07100000
SUSHIUSDT;9.34400000;-2.400;9.99900000;8.78200000;156540202.39750000
SUSHIUSDT;9.35000000;-2.441;9.99900000;8.78200000;156522656.47820000
SUSHIUSDT;9.35000000;-2.936;9.99900000;8.78200000;156558235.32680000
SUSHIUSDT;9.34900000;-3.163;9.99900000;8.78200000;156422992.39990000
SUSHIUSDT;9.34800000;-3.470;9.99900000;8.78200000;156238360.13780000
SUSHIUSDT;9.35500000;-3.027;9.99900000;8.78200000;156110544.88930000
SUSHIUSDT;9.36100000;-3.306;9.99900000;8.78200000;155948983.10680000
SUSHIUSDT;9.37300000;-3.141;9.99900000;8.78200000;155863458.67640000
SUSHIUSDT;9.36700000;-3.352;9.99900000;8.78200000;155729788.93130000
SUSHIUSDT;9.37700000;-3.687;9.99900000;8.78200000;155170175.08250000
SUSHIUSDT;9.38500000;-3.547;9.99900000;8.78200000;155032965.46620000
SUSHIUSDT;9.38500000;-3.367;9.99900000;8.78200000;154741819.23300000
SUSHIUSDT;9.38400000;-3.297;9.99900000;8.78200000;154563303.24060000
SUSHIUSDT;9.39700000;-3.323;9.99900000;8.78200000;154495315.26960000
SUSHIUSDT;9.39500000;-3.224;9.99900000;8.78200000;154440493.31680000
SUSHIUSDT;9.39700000;-3.294;9.99900000;8.78200000;154380899.70160000
SUSHIUSDT;9.40200000;-3.143;9.99900000;8.78200000;154153617.18970000
SUSHIUSDT;9.38700000;-3.246;9.99900000;8.78200000;154073436.39960000
SUSHIUSDT;9.39200000;-3.161;9.99900000;8.78200000;153641771.80880000
SUSHIUSDT;9.39900000;-2.904;9.99900000;8.78200000;153630319.36370000
SUSHIUSDT;9.40700000;-2.661;9.99900000;8.78200000;153279830.61110000
SUSHIUSDT;9.41500000;-2.404;9.99900000;8.78200000;153266590.25510000
SUSHIUSDT;9.41700000;-2.425;9.99900000;8.78200000;153228188.25150000
SUSHIUSDT;9.42700000;-2.147;9.99900000;8.78200000;153202799.28110000
SUSHIUSDT;9.42200000;-2.200;9.99900000;8.78200000;153207782.61360000
SUSHIUSDT;9.40800000;-2.820;9.99900000;8.78200000;152915939.20010000
SUSHIUSDT;9.41000000;-2.810;9.99900000;8.78200000;152899408.57710000
SUSHIUSDT;9.39900000;-2.761;9.99900000;8.78200000;152870876.64900000
SUSHIUSDT;9.40500000;-3.101;9.99900000;8.78200000;152706125.00940000
SUSHIUSDT;9.41500000;-2.988;9.99900000;8.78200000;152576533.13690000
SUSHIUSDT;9.42100000;-2.978;9.99900000;8.78200000;152521991.16090000
SUSHIUSDT;9.42800000;-2.782;9.99900000;8.78200000;152472035.57210000
SUSHIUSDT;9.43200000;-3.063;9.99900000;8.78200000;152296437.60130000
SUSHIUSDT;9.42500000;-2.984;9.99900000;8.78200000;152249267.12020000
SUSHIUSDT;9.42300000;-2.816;9.99900000;8.78200000;152154797.22430000
SUSHIUSDT;9.43100000;-2.624;9.99900000;8.78200000;152121651.06010000
SUSHIUSDT;9.43300000;-2.501;9.99900000;8.78200000;152032563.51840000
SUSHIUSDT;9.42800000;-2.625;9.99900000;8.78200000;151988192.63290000
SUSHIUSDT;9.43100000;-2.773;9.99900000;8.78200000;151950091.66870000
SUSHIUSDT;9.42200000;-2.583;9.99900000;8.78200000;151878480.83680000
SUSHIUSDT;9.41300000;-2.786;9.99900000;8.78200000;151830271.70320000
SUSHIUSDT;9.42500000;-2.634;9.99900000;8.78200000;151827924.11600000
SUSHIUSDT;9.42700000;-2.824;9.99900000;8.78200000;151816063.11810000
SUSHIUSDT;9.42500000;-3.453;9.99900000;8.78200000;151657769.61530000
SUSHIUSDT;9.42200000;-3.363;9.99900000;8.78200000;151523310.76310000
SUSHIUSDT;9.42000000;-3.622;9.99900000;8.78200000;151365357.15470000
SUSHIUSDT;9.42400000;-3.712;9.99900000;8.78200000;151124451.13410000
SUSHIUSDT;9.42000000;-3.650;9.99900000;8.78200000;150434964.92350000
SUSHIUSDT;9.42900000;-3.372;9.99900000;8.78200000;150319659.10620000
SUSHIUSDT;9.46000000;-3.325;9.99900000;8.78200000;150281254.87540000
SUSHIUSDT;9.45200000;-2.993;9.99900000;8.78200000;150270723.75010000
SUSHIUSDT;9.45900000;-3.164;9.99900000;8.78200000;150221182.28600000
SUSHIUSDT;9.47600000;-2.740;9.99900000;8.78200000;150195424.38330000
SUSHIUSDT;9.47300000;-2.692;9.99900000;8.78200000;150154341.29410000
SUSHIUSDT;9.47800000;-2.714;9.99900000;8.78200000;150142206.64110000
SUSHIUSDT;9.47000000;-2.622;9.99900000;8.78200000;150134523.55920000
SUSHIUSDT;9.45300000;-2.875;9.99900000;8.78200000;150063041.91210000
SUSHIUSDT;9.44000000;-2.900;9.99900000;8.78200000;150061271.05450000
SUSHIUSDT;9.40700000;-3.337;9.99900000;8.78200000;150073591.89380000
SUSHIUSDT;9.40200000;-3.349;9.99900000;8.78200000;150087610.00960000
SUSHIUSDT;9.39100000;-3.516;9.99900000;8.78200000;150108972.24230000
SUSHIUSDT;9.40100000;-3.361;9.99900000;8.78200000;150083067.84160000
SUSHIUSDT;9.39400000;-3.373;9.99900000;8.78200000;150034681.21670000
SUSHIUSDT;9.40000000;-3.494;9.99900000;8.78200000;150006902.74910000
SUSHIUSDT;9.40100000;-3.333;9.99900000;8.78200000;149948741.30500000
SUSHIUSDT;9.40600000;-2.970;9.99900000;8.78200000;149874699.15660000
SUSHIUSDT;9.41700000;-2.997;9.99900000;8.78200000;149856881.31790000
SUSHIUSDT;9.41900000;-2.866;9.99900000;8.78200000;149819234.99010000
SUSHIUSDT;9.44000000;-2.810;9.99900000;8.78200000;149779506.67350000
SUSHIUSDT;9.41900000;-2.967;9.99900000;8.78200000;149780269.08700000
SUSHIUSDT;9.41300000;-2.960;9.99900000;8.78200000;149751292.21190000
SUSHIUSDT;9.41500000;-2.857;9.99900000;8.78200000;149662953.29030000
SUSHIUSDT;9.42300000;-2.866;9.99900000;8.78200000;149648339.21280000
SUSHIUSDT;9.43100000;-2.837;9.99900000;8.78200000;149638487.76560000
SUSHIUSDT;9.41700000;-3.206;9.99900000;8.78200000;149563274.72630000
SUSHIUSDT;9.42800000;-2.961;9.99900000;8.78200000;149531906.70670000
SUSHIUSDT;9.44200000;-2.780;9.99900000;8.78200000;149514125.48710000
SUSHIUSDT;9.42400000;-2.995;9.99900000;8.78200000;149638568.83660000
SUSHIUSDT;9.43100000;-2.806;9.99900000;8.78200000;149636409.38600000
SUSHIUSDT;9.40600000;-2.870;9.99900000;8.78200000;149598843.16800000
SUSHIUSDT;9.40200000;-2.891;9.99900000;8.78200000;149579787.46940000
SUSHIUSDT;9.40600000;-2.951;9.99900000;8.78200000;149514580.55200000
SUSHIUSDT;9.39200000;-2.769;9.99900000;8.78200000;149502943.34010000
SUSHIUSDT;9.41700000;-2.871;9.99900000;8.78200000;149480432.55390000
SUSHIUSDT;9.43500000;-2.857;9.99900000;8.78200000;149483555.86750000
SUSHIUSDT;9.42000000;-2.581;9.99900000;8.78200000;149462331.48170000
SUSHIUSDT;9.43100000;-2.715;9.99900000;8.78200000;149517701.34320000
