Symbol;Price;Change24;Max24;Min24;Volume24
TCTUSDT;0.03615000;2.816;0.03780000;0.03417000;6127119.20014000
TCTUSDT;0.03615000;2.816;0.03780000;0.03417000;6127051.62787000
TCTUSDT;0.03615000;2.816;0.03780000;0.03417000;6126769.85676000
TCTUSDT;0.03614000;2.903;0.03780000;0.03417000;6126711.45600000
TCTUSDT;0.03614000;2.758;0.03780000;0.03417000;6126571.31774000
TCTUSDT;0.03616000;2.815;0.03780000;0.03417000;6126923.69694000
TCTUSDT;0.03616000;2.815;0.03780000;0.03417000;6126923.69694000
TCTUSDT;0.03612000;2.873;0.03780000;0.03417000;6126986.65178000
TCTUSDT;0.03611000;2.760;0.03780000;0.03417000;6127816.25594000
TCTUSDT;0.03612000;2.760;0.03780000;0.03417000;6128197.85294000
TCTUSDT;0.03613000;3.017;0.03780000;0.03417000;6130066.14324000
TCTUSDT;0.03609000;2.733;0.03780000;0.03417000;6132211.72611000
TCTUSDT;0.03609000;2.733;0.03780000;0.03417000;6132211.72611000
TCTUSDT;0.03609000;2.821;0.03780000;0.03417000;6130534.73889000
TCTUSDT;0.03607000;2.851;0.03780000;0.03417000;6130689.23427000
TCTUSDT;0.03609000;2.879;0.03780000;0.03417000;6130753.69720000
TCTUSDT;0.03605000;2.997;0.03780000;0.03417000;6124905.51007000
TCTUSDT;0.03605000;3.000;0.03780000;0.03417000;6125345.61404000
TCTUSDT;0.03608000;3.056;0.03780000;0.03417000;6125430.83832000
TCTUSDT;0.03603000;3.001;0.03780000;0.03417000;6123569.76124000
TCTUSDT;0.03604000;3.089;0.03780000;0.03417000;6124191.43782000
TCTUSDT;0.03602000;3.121;0.03780000;0.03417000;6121799.19279000
TCTUSDT;0.03602000;3.003;0.03780000;0.03417000;6121660.34856000
TCTUSDT;0.03604000;3.031;0.03780000;0.03417000;6127839.68317000
TCTUSDT;0.03603000;2.917;0.03780000;0.03417000;6128278.67308000
TCTUSDT;0.03602000;2.738;0.03780000;0.03417000;6123117.82215000
TCTUSDT;0.03602000;2.621;0.03780000;0.03417000;6121964.97423000
TCTUSDT;0.03602000;2.621;0.03780000;0.03417000;6121964.97423000
TCTUSDT;0.03601000;2.593;0.03780000;0.03417000;6122080.67436000
TCTUSDT;0.03601000;2.593;0.03780000;0.03417000;6122080.67436000
