Symbol;Price;Change24;Max24;Min24;Volume24
THETAUSDT;4.91400000;-1.543;5.27900000;4.70700000;64716263.65500000
THETAUSDT;4.91400000;-1.404;5.27900000;4.70700000;64706764.45010000
THETAUSDT;4.91300000;-1.484;5.27900000;4.70700000;64702330.58560000
THETAUSDT;4.90900000;-1.564;5.27900000;4.70700000;64707167.91780000
THETAUSDT;4.90900000;-1.525;5.27900000;4.70700000;64704120.01140000
THETAUSDT;4.91000000;-1.505;5.27900000;4.70700000;64704501.02740000
THETAUSDT;4.91000000;-1.267;5.27900000;4.70700000;64683372.13290000
THETAUSDT;4.90900000;-1.445;5.27900000;4.70700000;64676366.20330000
THETAUSDT;4.90900000;-1.406;5.27900000;4.70700000;64672357.26580000
THETAUSDT;4.90900000;-1.426;5.27900000;4.70700000;64672448.59490000
THETAUSDT;4.90900000;-1.485;5.27900000;4.70700000;64670628.59870000
THETAUSDT;4.90900000;-1.426;5.27900000;4.70700000;64667766.13090000
THETAUSDT;4.90400000;-1.407;5.27900000;4.70700000;64668439.56240000
THETAUSDT;4.90500000;-1.546;5.27900000;4.70700000;64667141.44040000
THETAUSDT;4.90500000;-1.466;5.27900000;4.70700000;64665382.36490000
THETAUSDT;4.90600000;-1.486;5.27900000;4.70700000;64666097.87760000
THETAUSDT;4.90400000;-1.566;5.27900000;4.70700000;64658849.76520000
THETAUSDT;4.90300000;-1.625;5.27900000;4.70700000;64653409.58940000
THETAUSDT;4.90400000;-1.625;5.27900000;4.70700000;64650832.89910000
THETAUSDT;4.89200000;-1.825;5.27900000;4.70700000;64722519.94850000
THETAUSDT;4.89100000;-1.846;5.27900000;4.70700000;64701242.99900000
THETAUSDT;4.89000000;-1.866;5.27900000;4.70700000;64699733.46150000
THETAUSDT;4.89100000;-1.807;5.27900000;4.70700000;64692503.80270000
THETAUSDT;4.89700000;-1.785;5.27900000;4.70700000;64711959.38910000
THETAUSDT;4.89800000;-1.824;5.27900000;4.70700000;64709247.32830000
THETAUSDT;4.89700000;-2.197;5.27900000;4.70700000;64697836.80140000
THETAUSDT;4.89200000;-2.198;5.27900000;4.70700000;64684019.02190000
THETAUSDT;4.89200000;-2.296;5.27900000;4.70700000;64680671.31700000
THETAUSDT;4.89200000;-2.180;5.27900000;4.70700000;64657085.10300000
THETAUSDT;4.89400000;-2.081;5.27900000;4.70700000;64629269.18390000
THETAUSDT;4.89900000;-2.040;5.27900000;4.70700000;64636458.88340000
THETAUSDT;4.89800000;-2.060;5.27900000;4.70700000;64629898.93180000
THETAUSDT;4.90300000;-1.960;5.27900000;4.70700000;64633471.94140000
THETAUSDT;4.90300000;-2.018;5.27900000;4.70700000;64639392.62460000
THETAUSDT;4.90300000;-2.097;5.27900000;4.70700000;64637087.22320000
THETAUSDT;4.89800000;-1.999;5.27900000;4.70700000;64634027.77610000
