Symbol;Price;Change24;Max24;Min24;Volume24
TKOUSDT;1.27400000;1.111;1.29700000;1.21300000;2709715.00960000
TKOUSDT;1.27400000;1.111;1.29700000;1.21300000;2709715.00960000
TKOUSDT;1.27400000;1.111;1.29700000;1.21300000;2709715.00960000
TKOUSDT;1.27400000;1.111;1.29700000;1.21300000;2709715.00960000
TKOUSDT;1.27400000;1.111;1.29700000;1.21300000;2709715.00960000
TKOUSDT;1.27400000;1.191;1.29700000;1.21300000;2708546.14260000
TKOUSDT;1.27400000;1.191;1.29700000;1.21300000;2708546.14260000
TKOUSDT;1.27400000;1.191;1.29700000;1.21300000;2708546.14260000
TKOUSDT;1.27500000;1.271;1.29700000;1.21300000;2709085.20310000
TKOUSDT;1.27500000;1.190;1.29700000;1.21300000;2709072.48720000
TKOUSDT;1.27500000;1.110;1.29700000;1.21300000;2708969.41920000
TKOUSDT;1.27500000;1.110;1.29700000;1.21300000;2708969.41920000
TKOUSDT;1.27500000;1.432;1.29700000;1.21300000;2704262.78740000
TKOUSDT;1.27500000;1.432;1.29700000;1.21300000;2704262.78740000
TKOUSDT;1.27500000;1.432;1.29700000;1.21300000;2704262.78740000
TKOUSDT;1.27500000;1.432;1.29700000;1.21300000;2704262.78740000
TKOUSDT;1.27500000;1.271;1.29700000;1.21300000;2704224.82600000
TKOUSDT;1.27500000;1.271;1.29700000;1.21300000;2704224.82600000
TKOUSDT;1.27500000;1.271;1.29700000;1.21300000;2704224.82600000
TKOUSDT;1.27400000;1.271;1.29700000;1.21300000;2704193.22510000
TKOUSDT;1.27400000;1.191;1.29700000;1.21300000;2708704.03950000
TKOUSDT;1.27300000;1.273;1.29700000;1.21300000;2708492.26470000
TKOUSDT;1.27400000;1.272;1.29700000;1.21300000;2708550.87750000
TKOUSDT;1.27400000;1.272;1.29700000;1.21300000;2708561.83390000
TKOUSDT;1.27400000;1.272;1.29700000;1.21300000;2707939.37550000
TKOUSDT;1.27400000;1.272;1.29700000;1.21300000;2707939.37550000
TKOUSDT;1.27300000;1.191;1.29700000;1.21300000;2707796.59250000
TKOUSDT;1.27300000;1.112;1.29700000;1.21300000;2707812.75960000
TKOUSDT;1.27400000;1.111;1.29700000;1.21300000;2707470.18880000
TKOUSDT;1.27400000;1.111;1.29700000;1.21300000;2707470.18880000
TKOUSDT;1.27300000;0.952;1.29700000;1.21300000;2706642.69250000
TKOUSDT;1.27300000;0.952;1.29700000;1.21300000;2706642.69250000
TKOUSDT;1.27300000;1.032;1.29700000;1.21300000;2706224.74310000
TKOUSDT;1.27400000;1.191;1.29700000;1.21300000;2706211.71050000
TKOUSDT;1.27400000;1.191;1.29700000;1.21300000;2706257.68280000
TKOUSDT;1.27400000;1.191;1.29700000;1.21300000;2706257.68280000
TKOUSDT;1.27400000;1.191;1.29700000;1.21300000;2706257.68280000
TKOUSDT;1.27400000;1.191;1.29700000;1.21300000;2705884.89520000
TKOUSDT;1.27400000;1.191;1.29700000;1.21300000;2705884.89520000
TKOUSDT;1.27400000;1.191;1.29700000;1.21300000;2705281.07880000
TKOUSDT;1.27400000;1.191;1.29700000;1.21300000;2705281.07880000
TKOUSDT;1.27400000;1.272;1.29700000;1.21300000;2704601.26840000
TKOUSDT;1.27400000;1.272;1.29700000;1.21300000;2704601.26840000
TKOUSDT;1.27400000;1.272;1.29700000;1.21300000;2704622.54420000
TKOUSDT;1.27400000;1.272;1.29700000;1.21300000;2704622.54420000
TKOUSDT;1.27400000;1.272;1.29700000;1.21300000;2704472.91370000
TKOUSDT;1.27400000;1.272;1.29700000;1.21300000;2704472.91370000
TKOUSDT;1.27400000;1.272;1.29700000;1.21300000;2704472.91370000
TKOUSDT;1.27400000;1.272;1.29700000;1.21300000;2704472.91370000
TKOUSDT;1.27500000;1.432;1.29700000;1.21300000;2703673.63790000
TKOUSDT;1.27500000;1.432;1.29700000;1.21300000;2703673.63790000
TKOUSDT;1.27300000;1.432;1.29700000;1.21300000;2703673.63790000
TKOUSDT;1.27500000;1.432;1.29700000;1.21300000;2703816.66950000
TKOUSDT;1.27500000;1.432;1.29700000;1.21300000;2703781.72490000
TKOUSDT;1.27300000;1.432;1.29700000;1.21300000;2703761.73860000
TKOUSDT;1.27300000;1.192;1.29700000;1.21300000;2703781.34190000
TKOUSDT;1.27300000;1.273;1.29700000;1.21300000;2703904.14640000
TKOUSDT;1.27300000;1.273;1.29700000;1.21300000;2704154.41820000
TKOUSDT;1.27300000;1.273;1.29700000;1.21300000;2704154.41820000
TKOUSDT;1.27300000;1.273;1.29700000;1.21300000;2704154.41820000
TKOUSDT;1.27300000;1.192;1.29700000;1.21300000;2703743.74120000
TKOUSDT;1.27300000;1.192;1.29700000;1.21300000;2701102.51680000
TKOUSDT;1.27300000;1.192;1.29700000;1.21300000;2701102.51680000
TKOUSDT;1.27300000;1.273;1.29700000;1.21300000;2699702.08440000
TKOUSDT;1.27300000;1.273;1.29700000;1.21300000;2693585.16310000
TKOUSDT;1.27100000;1.599;1.29700000;1.21300000;2687095.30610000
TKOUSDT;1.27100000;1.599;1.29700000;1.21300000;2687095.30610000
TKOUSDT;1.27200000;1.841;1.29700000;1.21300000;2683576.53530000
TKOUSDT;1.27300000;1.840;1.29700000;1.21300000;2683232.90530000
