Symbol;Price;Change24;Max24;Min24;Volume24
TOMOUSDT;1.88700000;-0.106;1.95500000;1.80200000;1668679.65010000
TOMOUSDT;1.88600000;-0.106;1.95500000;1.80200000;1668796.52860000
TOMOUSDT;1.88600000;-0.106;1.95500000;1.80200000;1670016.52820000
TOMOUSDT;1.88900000;0.053;1.95500000;1.80200000;1670048.64120000
TOMOUSDT;1.88900000;0.212;1.95500000;1.80200000;1669397.75440000
TOMOUSDT;1.88900000;0.212;1.95500000;1.80200000;1669360.05970000
TOMOUSDT;1.88900000;0.319;1.95500000;1.80200000;1668914.67270000
TOMOUSDT;1.88600000;0.106;1.95500000;1.80200000;1671630.41320000
TOMOUSDT;1.88600000;0.106;1.95500000;1.80200000;1671425.05720000
TOMOUSDT;1.88400000;-0.106;1.95500000;1.80200000;1671182.96320000
TOMOUSDT;1.88400000;-0.106;1.95500000;1.80200000;1671182.96320000
TOMOUSDT;1.88700000;0.159;1.95500000;1.80200000;1670345.76800000
TOMOUSDT;1.88700000;0.159;1.95500000;1.80200000;1670345.76800000
TOMOUSDT;1.88700000;0.159;1.95500000;1.80200000;1670156.99120000
TOMOUSDT;1.88700000;0.106;1.95500000;1.80200000;1669718.58440000
TOMOUSDT;1.88700000;0.053;1.95500000;1.80200000;1669707.27440000
TOMOUSDT;1.88700000;0.000;1.95500000;1.80200000;1669160.33440000
TOMOUSDT;1.88700000;-0.053;1.95500000;1.80200000;1669186.37500000
TOMOUSDT;1.88700000;-0.053;1.95500000;1.80200000;1669226.94550000
TOMOUSDT;1.88100000;-0.423;1.95500000;1.80200000;1666949.84060000
TOMOUSDT;1.88000000;-0.424;1.95500000;1.80200000;1666235.95920000
TOMOUSDT;1.87900000;-0.477;1.95500000;1.80200000;1666297.97300000
TOMOUSDT;1.87900000;-0.477;1.95500000;1.80200000;1666297.97300000
TOMOUSDT;1.88000000;-0.582;1.95500000;1.80200000;1665932.21660000
TOMOUSDT;1.88000000;-0.582;1.95500000;1.80200000;1665932.21660000
TOMOUSDT;1.88300000;-0.686;1.95500000;1.80200000;1664047.32670000
TOMOUSDT;1.88300000;-0.581;1.95500000;1.80200000;1663715.90590000
TOMOUSDT;1.88100000;-0.633;1.95500000;1.80200000;1661045.19300000
TOMOUSDT;1.88100000;-0.791;1.95500000;1.80200000;1660363.35920000
TOMOUSDT;1.88300000;-0.581;1.95500000;1.80200000;1659424.16130000
TOMOUSDT;1.88300000;-0.581;1.95500000;1.80200000;1659724.12320000
TOMOUSDT;1.88300000;-0.581;1.95500000;1.80200000;1659724.12320000
TOMOUSDT;1.88400000;-0.528;1.95500000;1.80200000;1659569.72230000
TOMOUSDT;1.88400000;-0.633;1.95500000;1.80200000;1659893.04090000
TOMOUSDT;1.88400000;-0.685;1.95500000;1.80200000;1659793.12170000
TOMOUSDT;1.88400000;-0.475;1.95500000;1.80200000;1659300.66110000
TOMOUSDT;1.88400000;-0.475;1.95500000;1.80200000;1659300.66110000
TOMOUSDT;1.88400000;-0.423;1.95500000;1.80200000;1659122.85320000
TOMOUSDT;1.88400000;-0.423;1.95500000;1.80200000;1659122.85320000
TOMOUSDT;1.88600000;-0.422;1.95500000;1.80200000;1658396.09180000
TOMOUSDT;1.88600000;-0.422;1.95500000;1.80200000;1658325.06680000
TOMOUSDT;1.88600000;-0.422;1.95500000;1.80200000;1658033.39080000
TOMOUSDT;1.88600000;-0.422;1.95500000;1.80200000;1658033.39080000
TOMOUSDT;1.88600000;-0.527;1.95500000;1.80200000;1656978.20530000
TOMOUSDT;1.88600000;-0.527;1.95500000;1.80200000;1656978.20530000
TOMOUSDT;1.88600000;-0.475;1.95500000;1.80200000;1656434.37580000
TOMOUSDT;1.88600000;-0.527;1.95500000;1.80200000;1656122.38780000
TOMOUSDT;1.88600000;-0.527;1.95500000;1.80200000;1656122.38780000
TOMOUSDT;1.88600000;-0.527;1.95500000;1.80200000;1656122.38780000
TOMOUSDT;1.88600000;-0.527;1.95500000;1.80200000;1656122.38780000
TOMOUSDT;1.88600000;-0.527;1.95500000;1.80200000;1656122.38780000
TOMOUSDT;1.88600000;-0.475;1.95500000;1.80200000;1656072.15840000
TOMOUSDT;1.88600000;-0.370;1.95500000;1.80200000;1655973.61840000
TOMOUSDT;1.88600000;-0.370;1.95500000;1.80200000;1655973.61840000
TOMOUSDT;1.88800000;-0.422;1.95500000;1.80200000;1655976.44560000
TOMOUSDT;1.88800000;-0.422;1.95500000;1.80200000;1655976.44560000
TOMOUSDT;1.88800000;-0.422;1.95500000;1.80200000;1655976.44560000
TOMOUSDT;1.88800000;-0.527;1.95500000;1.80200000;1655801.25520000
TOMOUSDT;1.88600000;-0.632;1.95500000;1.80200000;1655841.42700000
TOMOUSDT;1.88600000;-0.632;1.95500000;1.80200000;1655841.42700000
TOMOUSDT;1.88600000;-0.737;1.95500000;1.80200000;1652308.42470000
TOMOUSDT;1.88400000;-0.685;1.95500000;1.80200000;1650648.97030000
TOMOUSDT;1.88600000;-0.580;1.95500000;1.80200000;1650762.12180000
TOMOUSDT;1.88600000;-0.475;1.95500000;1.80200000;1649147.46430000
TOMOUSDT;1.88300000;-0.633;1.95500000;1.80200000;1650194.68560000
TOMOUSDT;1.88200000;-0.371;1.95500000;1.80200000;1649352.15300000
TOMOUSDT;1.88200000;-0.265;1.95500000;1.80200000;1649199.25000000
TOMOUSDT;1.88400000;-0.106;1.95500000;1.80200000;1648888.10450000
TOMOUSDT;1.88300000;-0.423;1.95500000;1.80200000;1645771.87910000
TOMOUSDT;1.88300000;-0.423;1.95500000;1.80200000;1645771.87910000
TOMOUSDT;1.88300000;-0.265;1.95500000;1.80200000;1645741.24490000
TOMOUSDT;1.87700000;-0.476;1.95500000;1.80200000;1647257.95410000
TOMOUSDT;1.87500000;-0.689;1.95500000;1.80200000;1685473.29180000
TOMOUSDT;1.87500000;-0.583;1.95500000;1.80200000;1685138.19530000
TOMOUSDT;1.87400000;-0.584;1.95500000;1.80200000;1684392.58140000
TOMOUSDT;1.87400000;-0.584;1.95500000;1.80200000;1684392.58140000
TOMOUSDT;1.87400000;-0.584;1.95500000;1.80200000;1684392.58140000
TOMOUSDT;1.87000000;-0.743;1.95500000;1.80200000;1685293.85510000
TOMOUSDT;1.87400000;-0.531;1.95500000;1.80200000;1685796.98190000
TOMOUSDT;1.87400000;-0.584;1.95500000;1.80200000;1684365.80930000
TOMOUSDT;1.87400000;-0.636;1.95500000;1.80200000;1684326.97830000
TOMOUSDT;1.87400000;-0.636;1.95500000;1.80200000;1684326.97830000
TOMOUSDT;1.87400000;-0.847;1.95500000;1.80200000;1684135.55430000
TOMOUSDT;1.87500000;-0.794;1.95500000;1.80200000;1683926.73380000
TOMOUSDT;1.87500000;-0.794;1.95500000;1.80200000;1683926.73380000
TOMOUSDT;1.87500000;-0.846;1.95500000;1.80200000;1683828.45380000
TOMOUSDT;1.87500000;-0.846;1.95500000;1.80200000;1683828.45380000
TOMOUSDT;1.87500000;-0.846;1.95500000;1.80200000;1683828.45380000
TOMOUSDT;1.87500000;-0.899;1.95500000;1.80200000;1683816.16230000
TOMOUSDT;1.87500000;-0.899;1.95500000;1.80200000;1683816.16230000
TOMOUSDT;1.87500000;-1.055;1.95500000;1.80200000;1682263.84820000
TOMOUSDT;1.87500000;-1.055;1.95500000;1.80200000;1682263.84820000
TOMOUSDT;1.87500000;-1.055;1.95500000;1.80200000;1682263.84820000
TOMOUSDT;1.87500000;-1.055;1.95500000;1.80200000;1682263.84820000
TOMOUSDT;1.87500000;-1.055;1.95500000;1.80200000;1682263.84820000
TOMOUSDT;1.87500000;-1.108;1.95500000;1.80200000;1682089.50820000
TOMOUSDT;1.87500000;-1.108;1.95500000;1.80200000;1682089.50820000
TOMOUSDT;1.87500000;-1.108;1.95500000;1.80200000;1682089.50820000
TOMOUSDT;1.87200000;-1.266;1.95500000;1.80200000;1682137.43140000
TOMOUSDT;1.87000000;-1.266;1.95500000;1.80200000;1682137.43140000
TOMOUSDT;1.86800000;-1.319;1.95500000;1.80200000;1682000.69380000
TOMOUSDT;1.86800000;-1.425;1.95500000;1.80200000;1682238.55460000
TOMOUSDT;1.86900000;-1.372;1.95500000;1.80200000;1682262.66470000
TOMOUSDT;1.86900000;-1.372;1.95500000;1.80200000;1682262.66470000
TOMOUSDT;1.86900000;-1.372;1.95500000;1.80200000;1682262.66470000
TOMOUSDT;1.86900000;-1.372;1.95500000;1.80200000;1682161.09270000
TOMOUSDT;1.86900000;-1.163;1.95500000;1.80200000;1681876.08470000
TOMOUSDT;1.86900000;-1.320;1.95500000;1.80200000;1681955.85790000
TOMOUSDT;1.87000000;-1.267;1.95500000;1.80200000;1682281.23790000
TOMOUSDT;1.87000000;-1.267;1.95500000;1.80200000;1682281.23790000
TOMOUSDT;1.87000000;-1.267;1.95500000;1.80200000;1682281.23790000
TOMOUSDT;1.87000000;-1.267;1.95500000;1.80200000;1682281.23790000
TOMOUSDT;1.87000000;-1.267;1.95500000;1.80200000;1682281.23790000
TOMOUSDT;1.87000000;-1.267;1.95500000;1.80200000;1682538.18910000
TOMOUSDT;1.87000000;-1.267;1.95500000;1.80200000;1683038.41410000
TOMOUSDT;1.87000000;-1.267;1.95500000;1.80200000;1683038.41410000
TOMOUSDT;1.87000000;-1.267;1.95500000;1.80200000;1683038.41410000
TOMOUSDT;1.87000000;-1.163;1.95500000;1.80200000;1682659.61410000
TOMOUSDT;1.87000000;-1.111;1.95500000;1.80200000;1679593.02430000
TOMOUSDT;1.86900000;-1.163;1.95500000;1.80200000;1680003.45670000
TOMOUSDT;1.86900000;-1.163;1.95500000;1.80200000;1680003.45670000
TOMOUSDT;1.87200000;-1.005;1.95500000;1.80200000;1680134.12230000
TOMOUSDT;1.87400000;-0.899;1.95500000;1.80200000;1681271.55970000
TOMOUSDT;1.87400000;-1.108;1.95500000;1.80200000;1681234.68520000
TOMOUSDT;1.87400000;-1.108;1.95500000;1.80200000;1681215.73520000
TOMOUSDT;1.87400000;-1.108;1.95500000;1.80200000;1681167.03370000
TOMOUSDT;1.87100000;-1.319;1.95500000;1.80200000;1681191.82130000
TOMOUSDT;1.87200000;-1.266;1.95500000;1.80200000;1683028.85070000
TOMOUSDT;1.87300000;-1.369;1.95500000;1.80200000;1683245.62510000
TOMOUSDT;1.87300000;-1.317;1.95500000;1.80200000;1683212.39260000
TOMOUSDT;1.87300000;-1.421;1.95500000;1.80200000;1683158.48940000
TOMOUSDT;1.87400000;-1.421;1.95500000;1.80200000;1683201.20560000
TOMOUSDT;1.87400000;-1.368;1.95500000;1.80200000;1683016.57840000
TOMOUSDT;1.87400000;-1.472;1.95500000;1.80200000;1682983.32840000
TOMOUSDT;1.87400000;-1.472;1.95500000;1.80200000;1682996.44640000
TOMOUSDT;1.87400000;-1.524;1.95500000;1.80200000;1682155.45470000
TOMOUSDT;1.87400000;-1.576;1.95500000;1.80200000;1682117.58500000
TOMOUSDT;1.87600000;-1.627;1.95500000;1.80200000;1681565.38850000
TOMOUSDT;1.87600000;-1.522;1.95500000;1.80200000;1681576.26930000
TOMOUSDT;1.87400000;-1.782;1.95500000;1.80200000;1682973.12650000
TOMOUSDT;1.87800000;-1.625;1.95500000;1.80200000;1680984.46610000
TOMOUSDT;1.87800000;-1.624;1.95500000;1.80200000;1681351.20530000
TOMOUSDT;1.88000000;-1.571;1.95500000;1.80200000;1680689.99390000
TOMOUSDT;1.88000000;-1.725;1.95500000;1.80200000;1679186.35390000
TOMOUSDT;1.88200000;-1.571;1.95500000;1.80200000;1679166.65000000
TOMOUSDT;1.88400000;-1.413;1.95500000;1.80200000;1681102.42650000
TOMOUSDT;1.88400000;-1.413;1.95500000;1.80200000;1681102.42650000
TOMOUSDT;1.88400000;-1.567;1.95500000;1.80200000;1680046.72430000
TOMOUSDT;1.88200000;-1.877;1.95500000;1.80200000;1679403.31160000
