Symbol;Price;Change24;Max24;Min24;Volume24
TRIBEUSDT;1.03710000;-0.058;1.04930000;1.02060000;697287.49610000
TRIBEUSDT;1.03710000;-0.058;1.04930000;1.02060000;697287.49610000
TRIBEUSDT;1.03710000;-0.058;1.04930000;1.02060000;697287.49610000
TRIBEUSDT;1.03710000;-0.058;1.04930000;1.02060000;697287.49610000
TRIBEUSDT;1.03710000;-0.058;1.04930000;1.02060000;697287.49610000
TRIBEUSDT;1.03710000;-0.058;1.04930000;1.02060000;697287.49610000
TRIBEUSDT;1.03710000;-0.058;1.04930000;1.02060000;697287.49610000
TRIBEUSDT;1.03710000;-0.058;1.04930000;1.02060000;697287.49610000
TRIBEUSDT;1.03710000;-0.058;1.04930000;1.02060000;697287.49610000
TRIBEUSDT;1.03710000;-0.058;1.04930000;1.02060000;697287.49610000
TRIBEUSDT;1.03710000;-0.288;1.04930000;1.02060000;696481.96880000
TRIBEUSDT;1.03710000;-0.288;1.04930000;1.02060000;696481.96880000
TRIBEUSDT;1.03710000;-0.288;1.04930000;1.02060000;696481.96880000
TRIBEUSDT;1.03710000;-0.288;1.04930000;1.02060000;696481.96880000
TRIBEUSDT;1.03710000;-0.288;1.04930000;1.02060000;696481.96880000
TRIBEUSDT;1.03710000;-0.288;1.04930000;1.02060000;696481.96880000
TRIBEUSDT;1.03710000;-0.355;1.04930000;1.02060000;696471.56780000
TRIBEUSDT;1.03710000;-0.355;1.04930000;1.02060000;696471.56780000
TRIBEUSDT;1.03710000;-0.135;1.04930000;1.02060000;696390.38540000
TRIBEUSDT;1.03710000;-0.135;1.04930000;1.02060000;696390.38540000
TRIBEUSDT;1.03600000;-0.241;1.04930000;1.02060000;696415.24940000
TRIBEUSDT;1.03490000;-0.462;1.04930000;1.02060000;696830.65280000
TRIBEUSDT;1.03490000;-0.462;1.04930000;1.02060000;697458.83710000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.308;1.04930000;1.02060000;698312.90690000
TRIBEUSDT;1.03650000;-0.241;1.04930000;1.02060000;698188.21780000
TRIBEUSDT;1.03430000;-0.241;1.04930000;1.02060000;698188.21780000
TRIBEUSDT;1.03550000;-0.452;1.04930000;1.02060000;699146.04940000
TRIBEUSDT;1.03550000;-0.318;1.04930000;1.02060000;699080.50490000
TRIBEUSDT;1.03550000;-0.279;1.04930000;1.02060000;698955.84890000
TRIBEUSDT;1.03550000;-0.279;1.04930000;1.02060000;698955.84890000
TRIBEUSDT;1.03550000;-0.279;1.04930000;1.02060000;698955.84890000
TRIBEUSDT;1.03550000;-0.279;1.04930000;1.02060000;698955.84890000
TRIBEUSDT;1.03550000;-0.279;1.04930000;1.02060000;698935.08090000
TRIBEUSDT;1.03550000;-0.279;1.04930000;1.02060000;698935.08090000
TRIBEUSDT;1.03550000;-0.279;1.04930000;1.02060000;698935.08090000
TRIBEUSDT;1.03550000;-0.279;1.04930000;1.02060000;698935.08090000
TRIBEUSDT;1.03550000;-0.279;1.04930000;1.02060000;698935.08090000
TRIBEUSDT;1.03550000;-0.279;1.04930000;1.02060000;699524.18140000
TRIBEUSDT;1.03550000;-0.279;1.04930000;1.02060000;699814.09690000
TRIBEUSDT;1.03550000;-0.279;1.04930000;1.02060000;699814.09690000
TRIBEUSDT;1.03380000;-0.443;1.04930000;1.02060000;699846.14470000
TRIBEUSDT;1.03380000;-0.443;1.04930000;1.02060000;699846.14470000
TRIBEUSDT;1.03380000;-0.443;1.04930000;1.02060000;699846.14470000
TRIBEUSDT;1.03380000;-0.443;1.04930000;1.02060000;699846.14470000
TRIBEUSDT;1.03380000;-0.443;1.04930000;1.02060000;699846.14470000
TRIBEUSDT;1.03380000;-0.443;1.04930000;1.02060000;699846.14470000
TRIBEUSDT;1.03380000;-0.443;1.04930000;1.02060000;699846.14470000
TRIBEUSDT;1.03380000;-0.443;1.04930000;1.02060000;699846.14470000
TRIBEUSDT;1.03380000;-0.644;1.04930000;1.02060000;699545.00870000
TRIBEUSDT;1.03380000;-0.644;1.04930000;1.02060000;699545.00870000
TRIBEUSDT;1.03380000;-0.644;1.04930000;1.02060000;699545.00870000
TRIBEUSDT;1.03380000;-0.644;1.04930000;1.02060000;699545.00870000
TRIBEUSDT;1.03380000;-0.644;1.04930000;1.02060000;699545.00870000
TRIBEUSDT;1.03380000;-0.644;1.04930000;1.02060000;699545.00870000
TRIBEUSDT;1.03380000;-0.644;1.04930000;1.02060000;699545.00870000
TRIBEUSDT;1.03380000;-0.424;1.04930000;1.02060000;697550.51850000
TRIBEUSDT;1.03380000;-0.424;1.04930000;1.02060000;697550.51850000
TRIBEUSDT;1.03380000;-0.424;1.04930000;1.02060000;697550.51850000
TRIBEUSDT;1.03170000;-0.626;1.04930000;1.02060000;695967.22830000
TRIBEUSDT;1.03170000;-0.617;1.04930000;1.02060000;696076.58850000
TRIBEUSDT;1.03170000;-0.617;1.04930000;1.02060000;696076.58850000
TRIBEUSDT;1.03450000;-0.347;1.04930000;1.02060000;696215.21150000
TRIBEUSDT;1.03450000;-0.347;1.04930000;1.02060000;696215.21150000
TRIBEUSDT;1.03450000;-0.347;1.04930000;1.02060000;696215.21150000
TRIBEUSDT;1.03450000;-0.347;1.04930000;1.02060000;696215.21150000
TRIBEUSDT;1.03450000;-0.280;1.04930000;1.02060000;696204.83050000
TRIBEUSDT;1.03450000;-0.106;1.04930000;1.02060000;696151.97130000
TRIBEUSDT;1.03390000;-0.164;1.04930000;1.02060000;696213.90410000
TRIBEUSDT;1.03390000;-0.164;1.04930000;1.02060000;696213.90410000
TRIBEUSDT;1.03390000;0.048;1.04930000;1.02060000;695799.63010000
TRIBEUSDT;1.03390000;0.048;1.04930000;1.02060000;695799.63010000
TRIBEUSDT;1.03390000;0.048;1.04930000;1.02060000;695799.63010000
TRIBEUSDT;1.03390000;0.048;1.04930000;1.02060000;695799.63010000
TRIBEUSDT;1.03390000;0.048;1.04930000;1.02060000;695799.63010000
TRIBEUSDT;1.03390000;0.048;1.04930000;1.02060000;695799.63010000
TRIBEUSDT;1.03390000;0.048;1.04930000;1.02060000;695799.63010000
TRIBEUSDT;1.03390000;0.048;1.04930000;1.02060000;695799.63010000
TRIBEUSDT;1.03390000;0.048;1.04930000;1.02060000;695799.63010000
TRIBEUSDT;1.03390000;0.048;1.04930000;1.02060000;695799.63010000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.174;1.04930000;1.02060000;696023.49620000
TRIBEUSDT;1.03160000;-0.386;1.04930000;1.02060000;695873.65320000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695885.00520000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695885.00520000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695885.00520000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695885.00520000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695885.00520000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695885.00520000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695885.00520000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695885.00520000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695885.00520000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695885.00520000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695888.10120000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695888.10120000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695888.10120000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695888.10120000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695888.10120000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695888.10120000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695888.10120000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695888.10120000
TRIBEUSDT;1.03200000;-0.348;1.04930000;1.02060000;695888.10120000
TRIBEUSDT;1.03200000;-0.145;1.04930000;1.02060000;695588.81020000
TRIBEUSDT;1.03200000;-0.145;1.04930000;1.02060000;695588.81020000
TRIBEUSDT;1.03200000;-0.145;1.04930000;1.02060000;695588.81020000
TRIBEUSDT;1.03200000;-0.145;1.04930000;1.02060000;695588.81020000
TRIBEUSDT;1.03200000;-0.145;1.04930000;1.02060000;695588.81020000
TRIBEUSDT;1.03200000;-0.145;1.04930000;1.02060000;695588.81020000
TRIBEUSDT;1.03200000;-0.145;1.04930000;1.02060000;695588.81020000
TRIBEUSDT;1.03200000;-0.145;1.04930000;1.02060000;695588.81020000
TRIBEUSDT;1.03200000;-0.097;1.04930000;1.02060000;695509.23070000
TRIBEUSDT;1.03200000;-0.097;1.04930000;1.02060000;695509.23070000
TRIBEUSDT;1.03200000;-0.097;1.04930000;1.02060000;695509.23070000
TRIBEUSDT;1.03200000;-0.097;1.04930000;1.02060000;695509.23070000
TRIBEUSDT;1.03200000;-0.116;1.04930000;1.02060000;694579.57240000
TRIBEUSDT;1.03200000;-0.116;1.04930000;1.02060000;694579.57240000
TRIBEUSDT;1.03200000;-0.116;1.04930000;1.02060000;694579.57240000
TRIBEUSDT;1.03300000;-0.164;1.04930000;1.02060000;693990.64540000
TRIBEUSDT;1.03300000;-0.164;1.04930000;1.02060000;693990.64540000
TRIBEUSDT;1.03300000;-0.241;1.04930000;1.02060000;691133.75420000
TRIBEUSDT;1.03300000;-0.241;1.04930000;1.02060000;691133.75420000
TRIBEUSDT;1.03300000;-0.241;1.04930000;1.02060000;691133.75420000
TRIBEUSDT;1.03300000;-0.241;1.04930000;1.02060000;691133.75420000
TRIBEUSDT;1.03300000;-0.241;1.04930000;1.02060000;691133.75420000
TRIBEUSDT;1.03300000;-0.241;1.04930000;1.02060000;691133.75420000
TRIBEUSDT;1.03300000;-0.241;1.04930000;1.02060000;691133.75420000
TRIBEUSDT;1.03300000;-0.241;1.04930000;1.02060000;691133.75420000
TRIBEUSDT;1.03300000;-0.241;1.04930000;1.02060000;691133.75420000
TRIBEUSDT;1.03300000;-0.241;1.04930000;1.02060000;691133.75420000
TRIBEUSDT;1.03300000;-0.241;1.04930000;1.02060000;691133.75420000
TRIBEUSDT;1.03300000;-0.241;1.04930000;1.02060000;691133.75420000
TRIBEUSDT;1.03300000;-0.644;1.04930000;1.02060000;687428.60280000
TRIBEUSDT;1.03300000;-0.644;1.04930000;1.02060000;687428.60280000
TRIBEUSDT;1.03300000;-0.644;1.04930000;1.02060000;687428.60280000
TRIBEUSDT;1.03300000;-0.644;1.04930000;1.02060000;687428.60280000
TRIBEUSDT;1.03300000;-0.644;1.04930000;1.02060000;687428.60280000
TRIBEUSDT;1.03300000;-0.768;1.04930000;1.02060000;687376.61780000
TRIBEUSDT;1.03300000;-0.768;1.04930000;1.02060000;687376.61780000
TRIBEUSDT;1.03300000;-0.768;1.04930000;1.02060000;687376.61780000
TRIBEUSDT;1.03300000;-0.768;1.04930000;1.02060000;687376.61780000
TRIBEUSDT;1.03300000;-0.768;1.04930000;1.02060000;687376.61780000
TRIBEUSDT;1.03300000;-0.768;1.04930000;1.02060000;687376.61780000
TRIBEUSDT;1.03300000;-0.768;1.04930000;1.02060000;687376.61780000
TRIBEUSDT;1.03300000;-0.768;1.04930000;1.02060000;687376.61780000
TRIBEUSDT;1.03300000;-0.768;1.04930000;1.02060000;687376.61780000
TRIBEUSDT;1.03300000;-0.768;1.04930000;1.02060000;687376.61780000
TRIBEUSDT;1.03460000;-0.748;1.04930000;1.02060000;687157.82720000
TRIBEUSDT;1.03460000;-0.500;1.04930000;1.02060000;687077.56240000
TRIBEUSDT;1.03460000;-0.500;1.04930000;1.02060000;687077.56240000
TRIBEUSDT;1.03460000;-0.500;1.04930000;1.02060000;687077.56240000
TRIBEUSDT;1.03460000;-0.500;1.04930000;1.02060000;687077.56240000
TRIBEUSDT;1.03460000;-0.500;1.04930000;1.02060000;687077.56240000
TRIBEUSDT;1.03460000;-0.500;1.04930000;1.02060000;687077.56240000
TRIBEUSDT;1.03230000;-0.893;1.04930000;1.02060000;685785.69760000
TRIBEUSDT;1.03230000;-0.893;1.04930000;1.02060000;685785.69760000
TRIBEUSDT;1.03230000;-0.893;1.04930000;1.02060000;685785.69760000
TRIBEUSDT;1.03230000;-0.893;1.04930000;1.02060000;685785.69760000
TRIBEUSDT;1.03230000;-0.893;1.04930000;1.02060000;685785.69760000
TRIBEUSDT;1.03230000;-0.893;1.04930000;1.02060000;685785.69760000
TRIBEUSDT;1.03460000;-0.893;1.04930000;1.02060000;685785.69760000
TRIBEUSDT;1.03460000;-0.672;1.04930000;1.02060000;686820.29760000
TRIBEUSDT;1.03460000;-0.672;1.04930000;1.02060000;686820.29760000
TRIBEUSDT;1.03510000;-0.624;1.04930000;1.02060000;686860.66650000
TRIBEUSDT;1.03510000;-0.624;1.04930000;1.02060000;686860.66650000
TRIBEUSDT;1.03510000;-0.624;1.04930000;1.02060000;686860.66650000
TRIBEUSDT;1.03510000;-0.624;1.04930000;1.02060000;686860.66650000
TRIBEUSDT;1.03510000;-0.624;1.04930000;1.02060000;686860.66650000
TRIBEUSDT;1.03510000;-0.624;1.04930000;1.02060000;686860.66650000
TRIBEUSDT;1.03510000;-0.624;1.04930000;1.02060000;686860.66650000
TRIBEUSDT;1.03510000;-0.624;1.04930000;1.02060000;686860.66650000
TRIBEUSDT;1.03510000;-0.624;1.04930000;1.02060000;686860.66650000
TRIBEUSDT;1.03190000;-0.931;1.04930000;1.02060000;689376.86200000
TRIBEUSDT;1.03160000;-0.931;1.04930000;1.02060000;689376.86200000
TRIBEUSDT;1.03160000;-0.960;1.04930000;1.02060000;689556.36040000
TRIBEUSDT;1.03160000;-0.960;1.04930000;1.02060000;689556.36040000
TRIBEUSDT;1.03160000;-0.960;1.04930000;1.02060000;689556.36040000
TRIBEUSDT;1.03160000;-0.960;1.04930000;1.02060000;689575.96080000
TRIBEUSDT;1.03160000;-0.960;1.04930000;1.02060000;689575.96080000
TRIBEUSDT;1.03160000;-0.960;1.04930000;1.02060000;689575.96080000
TRIBEUSDT;1.03160000;-0.960;1.04930000;1.02060000;689575.96080000
TRIBEUSDT;1.03160000;-0.960;1.04930000;1.02060000;689575.96080000
TRIBEUSDT;1.03160000;-0.960;1.04930000;1.02060000;689575.96080000
TRIBEUSDT;1.03160000;-0.960;1.04930000;1.02060000;689575.96080000
TRIBEUSDT;1.03160000;-0.960;1.04930000;1.02060000;689575.96080000
TRIBEUSDT;1.03000000;-1.114;1.04930000;1.02060000;689600.68270000
TRIBEUSDT;1.03080000;-1.037;1.04930000;1.02060000;689612.02150000
