Symbol;Price;Change24;Max24;Min24;Volume24
TRUUSDT;0.32660000;-6.872;0.35160000;0.30920000;4124296.68520000
TRUUSDT;0.32660000;-6.766;0.35160000;0.30920000;4123217.23060000
TRUUSDT;0.32630000;-6.851;0.35160000;0.30920000;4133006.72230000
TRUUSDT;0.32630000;-6.825;0.35160000;0.30920000;4131826.39470000
TRUUSDT;0.32630000;-6.718;0.35160000;0.30920000;4127612.50790000
TRUUSDT;0.32630000;-6.718;0.35160000;0.30920000;4127420.46770000
TRUUSDT;0.32630000;-6.611;0.35160000;0.30920000;4114810.50340000
TRUUSDT;0.32560000;-7.025;0.35100000;0.30920000;4096775.50270000
TRUUSDT;0.32560000;-6.971;0.35100000;0.30920000;4105766.43170000
TRUUSDT;0.32560000;-6.544;0.35100000;0.30920000;4101755.53210000
TRUUSDT;0.32640000;-6.583;0.35100000;0.30920000;4103054.43510000
TRUUSDT;0.32650000;-6.554;0.35100000;0.30920000;4117324.14090000
TRUUSDT;0.32650000;-6.420;0.35100000;0.30920000;4117613.40120000
TRUUSDT;0.32650000;-6.420;0.35100000;0.30920000;4117613.40120000
TRUUSDT;0.32680000;-6.388;0.35100000;0.30920000;4111571.66780000
TRUUSDT;0.32680000;-6.119;0.35100000;0.30920000;4105903.33810000
TRUUSDT;0.32690000;-6.225;0.35100000;0.30920000;4094194.78490000
TRUUSDT;0.32680000;-6.011;0.35100000;0.30920000;4093366.68070000
TRUUSDT;0.32680000;-5.794;0.35100000;0.30920000;4092733.11580000
TRUUSDT;0.32620000;-5.903;0.35100000;0.30920000;4092538.30870000
TRUUSDT;0.32620000;-5.967;0.35100000;0.30920000;4090625.71030000
TRUUSDT;0.32680000;-5.769;0.35100000;0.30920000;4090148.20270000
TRUUSDT;0.32680000;-5.740;0.35100000;0.30920000;4089799.05630000
TRUUSDT;0.32680000;-5.876;0.35100000;0.30920000;4089350.84790000
TRUUSDT;0.32560000;-5.740;0.35100000;0.30920000;4088699.73850000
TRUUSDT;0.32560000;-6.221;0.35100000;0.30920000;4083136.75560000
TRUUSDT;0.32600000;-5.933;0.35100000;0.30920000;4086389.82910000
TRUUSDT;0.32600000;-6.106;0.35100000;0.30920000;4086471.65510000
TRUUSDT;0.32590000;-6.027;0.35100000;0.30920000;4085807.10840000
TRUUSDT;0.32430000;-6.488;0.35100000;0.30920000;4111921.94800000
TRUUSDT;0.32490000;-6.396;0.35100000;0.30920000;4112212.08100000
TRUUSDT;0.32490000;-6.369;0.35100000;0.30920000;4108805.70190000
TRUUSDT;0.32490000;-6.567;0.35100000;0.30920000;4105737.32640000
TRUUSDT;0.32490000;-6.611;0.35100000;0.30920000;4097090.27010000
TRUUSDT;0.32490000;-6.611;0.35100000;0.30920000;4097090.27010000
TRUUSDT;0.32490000;-6.396;0.35100000;0.30920000;4096511.34200000
TRUUSDT;0.32500000;-6.124;0.35100000;0.30920000;4090321.02150000
TRUUSDT;0.32420000;-5.811;0.35100000;0.30920000;4071665.90680000
TRUUSDT;0.32420000;-5.811;0.35100000;0.30920000;4071665.90680000
