Symbol;Price;Change24;Max24;Min24;Volume24
TUSDUSDT;0.99990000;0.010;1.00000000;0.99990000;31721722.73620000
TUSDUSDT;1.00000000;0.010;1.00000000;0.99990000;31721322.76220000
TUSDUSDT;0.99990000;0.000;1.00000000;0.99990000;31723266.56610000
TUSDUSDT;0.99990000;0.010;1.00000000;0.99990000;31721889.73440000
TUSDUSDT;0.99990000;0.000;1.00000000;0.99990000;31721213.80200000
TUSDUSDT;1.00000000;0.010;1.00000000;0.99990000;31721127.80640000
TUSDUSDT;0.99990000;0.010;1.00000000;0.99990000;31718775.04170000
TUSDUSDT;0.99990000;-0.010;1.00000000;0.99990000;31720280.89110000
TUSDUSDT;0.99990000;0.000;1.00000000;0.99990000;31716190.04200000
TUSDUSDT;1.00000000;0.010;1.00000000;0.99990000;31718154.04200000
TUSDUSDT;0.99990000;0.000;1.00000000;0.99990000;31716802.00560000
TUSDUSDT;0.99990000;0.000;1.00000000;0.99990000;31716556.03720000
TUSDUSDT;0.99990000;0.000;1.00000000;0.99990000;31716556.03720000
TUSDUSDT;0.99990000;0.000;1.00000000;0.99990000;31714893.26010000
TUSDUSDT;1.00000000;-0.010;1.00000000;0.99990000;31715188.23060000
TUSDUSDT;0.99990000;0.000;1.00000000;0.99990000;31717707.01260000
TUSDUSDT;1.00000000;0.010;1.00000000;0.99990000;31715886.18790000
TUSDUSDT;1.00000000;-0.010;1.00000000;0.99990000;31715948.18170000
TUSDUSDT;0.99990000;0.000;1.00000000;0.99990000;31713820.38830000
TUSDUSDT;1.00000000;0.000;1.00000000;0.99990000;31713451.20340000
TUSDUSDT;0.99990000;-0.010;1.00000000;0.99990000;31719067.85770000
TUSDUSDT;1.00000000;0.000;1.00000000;0.99990000;31722840.02780000
TUSDUSDT;1.00000000;-0.010;1.00000000;0.99990000;31725319.77980000
TUSDUSDT;0.99990000;-0.010;1.00000000;0.99990000;31725567.77550000
TUSDUSDT;1.00000000;0.000;1.00000000;0.99990000;31722994.99190000
TUSDUSDT;0.99990000;0.010;1.00000000;0.99990000;31723329.79500000
TUSDUSDT;1.00000000;0.010;1.00000000;0.99990000;31720882.83570000
TUSDUSDT;1.00000000;0.010;1.00000000;0.99990000;31720882.83570000
