Symbol;Price;Change24;Max24;Min24;Volume24
TVKUSDT;0.20530000;-0.532;0.21440000;0.19320000;4186798.36740000
TVKUSDT;0.20530000;-0.677;0.21440000;0.19320000;4190271.57030000
TVKUSDT;0.20530000;-0.677;0.21440000;0.19320000;4189236.00330000
TVKUSDT;0.20550000;-0.581;0.21440000;0.19320000;4199383.27810000
TVKUSDT;0.20560000;-0.484;0.21440000;0.19320000;4198892.36560000
TVKUSDT;0.20560000;-0.436;0.21440000;0.19320000;4198987.35280000
TVKUSDT;0.20560000;-0.436;0.21440000;0.19320000;4197054.13370000
TVKUSDT;0.20560000;-0.484;0.21440000;0.19320000;4194231.26960000
TVKUSDT;0.20560000;-0.484;0.21440000;0.19320000;4194231.26960000
TVKUSDT;0.20560000;-0.484;0.21440000;0.19320000;4194231.26960000
TVKUSDT;0.20560000;-0.484;0.21440000;0.19320000;4194231.26960000
TVKUSDT;0.20530000;-0.581;0.21440000;0.19320000;4194924.78150000
TVKUSDT;0.20490000;-0.727;0.21440000;0.19320000;4196387.88810000
TVKUSDT;0.20490000;-0.727;0.21440000;0.19320000;4196387.88810000
TVKUSDT;0.20520000;-0.727;0.21440000;0.19320000;4196387.88810000
TVKUSDT;0.20520000;-0.533;0.21440000;0.19320000;4197374.57510000
TVKUSDT;0.20520000;-0.437;0.21440000;0.19320000;4197418.95500000
TVKUSDT;0.20520000;-0.485;0.21440000;0.19320000;4197405.87810000
TVKUSDT;0.20520000;-0.485;0.21440000;0.19320000;4198183.64510000
TVKUSDT;0.20490000;-0.630;0.21440000;0.19320000;4198534.52270000
TVKUSDT;0.20500000;-0.727;0.21440000;0.19320000;4198524.34480000
TVKUSDT;0.20500000;-0.726;0.21440000;0.19320000;4197606.91010000
TVKUSDT;0.20500000;-0.774;0.21440000;0.19320000;4195613.29870000
TVKUSDT;0.20500000;-0.870;0.21440000;0.19320000;4192947.79720000
TVKUSDT;0.20430000;-0.918;0.21440000;0.19320000;4192506.30220000
TVKUSDT;0.20480000;-1.063;0.21440000;0.19320000;4194153.75430000
TVKUSDT;0.20480000;-0.967;0.21440000;0.19320000;4193193.42650000
TVKUSDT;0.20480000;-0.967;0.21440000;0.19320000;4193193.42650000
TVKUSDT;0.20480000;-0.967;0.21440000;0.19320000;4193493.25370000
TVKUSDT;0.20480000;-0.967;0.21440000;0.19320000;4193493.25370000
TVKUSDT;0.20480000;-1.063;0.21440000;0.19320000;4190087.19960000
TVKUSDT;0.20480000;-1.111;0.21440000;0.19320000;4190366.95000000
TVKUSDT;0.20480000;-1.063;0.21440000;0.19320000;4190348.51810000
TVKUSDT;0.20480000;-1.063;0.21440000;0.19320000;4190348.51810000
TVKUSDT;0.20480000;-1.063;0.21440000;0.19320000;4191079.24450000
TVKUSDT;0.20480000;-1.063;0.21440000;0.19320000;4191134.54050000
TVKUSDT;0.20480000;-1.063;0.21440000;0.19320000;4191134.54050000
TVKUSDT;0.20490000;-0.775;0.21440000;0.19320000;4180067.40710000
TVKUSDT;0.20490000;-0.775;0.21440000;0.19320000;4180067.40710000
TVKUSDT;0.20490000;-0.871;0.21440000;0.19320000;4178859.92010000
TVKUSDT;0.20490000;-0.871;0.21440000;0.19320000;4178859.92010000
TVKUSDT;0.20480000;-0.823;0.21440000;0.19320000;4179158.10530000
TVKUSDT;0.20490000;-0.823;0.21440000;0.19320000;4179158.10530000
TVKUSDT;0.20490000;-0.775;0.21440000;0.19320000;4178997.65330000
TVKUSDT;0.20490000;-0.871;0.21440000;0.19320000;4177184.51390000
TVKUSDT;0.20490000;-0.871;0.21440000;0.19320000;4175401.11340000
TVKUSDT;0.20490000;-0.871;0.21440000;0.19320000;4175401.11340000
TVKUSDT;0.20500000;-0.871;0.21440000;0.19320000;4175401.11340000
TVKUSDT;0.20500000;-0.678;0.21440000;0.19320000;4175355.76900000
TVKUSDT;0.20500000;-0.678;0.21440000;0.19320000;4175355.76900000
TVKUSDT;0.20490000;-0.775;0.21440000;0.19320000;4174787.57910000
TVKUSDT;0.20490000;-0.775;0.21440000;0.19320000;4174787.57910000
TVKUSDT;0.20470000;-0.872;0.21440000;0.19320000;4175183.65390000
TVKUSDT;0.20470000;-0.824;0.21440000;0.19320000;4173936.33050000
TVKUSDT;0.20480000;-0.775;0.21440000;0.19320000;4173992.24090000
TVKUSDT;0.20480000;-0.775;0.21440000;0.19320000;4173992.24090000
TVKUSDT;0.20480000;-0.967;0.21440000;0.19320000;4167991.77990000
TVKUSDT;0.20480000;-0.967;0.21440000;0.19320000;4167991.77990000
TVKUSDT;0.20480000;-0.967;0.21440000;0.19320000;4167991.77990000
TVKUSDT;0.20480000;-0.967;0.21440000;0.19320000;4167458.23590000
TVKUSDT;0.20570000;-0.628;0.21440000;0.19320000;4173084.57500000
TVKUSDT;0.20580000;-0.339;0.21440000;0.19320000;4159220.98530000
TVKUSDT;0.20580000;-0.339;0.21440000;0.19320000;4159220.98530000
TVKUSDT;0.20550000;-0.484;0.21440000;0.19320000;4158798.60030000
TVKUSDT;0.20560000;-0.436;0.21440000;0.19320000;4159348.84250000
TVKUSDT;0.20530000;-0.437;0.21440000;0.19320000;4157740.73890000
TVKUSDT;0.20530000;-0.194;0.21440000;0.19320000;4156073.74170000
TVKUSDT;0.20510000;-0.146;0.21440000;0.19320000;4155844.18050000
TVKUSDT;0.20540000;-0.243;0.21440000;0.19320000;4153764.27470000
TVKUSDT;0.20480000;-0.486;0.21440000;0.19320000;4157197.17840000
TVKUSDT;0.20490000;-0.437;0.21440000;0.19320000;4157285.69520000
TVKUSDT;0.20450000;-0.583;0.21440000;0.19320000;4147809.57080000
TVKUSDT;0.20420000;-0.729;0.21440000;0.19320000;4148854.62500000
TVKUSDT;0.20440000;-0.632;0.21440000;0.19320000;4149533.64180000
TVKUSDT;0.20450000;-0.390;0.21440000;0.19320000;4143305.95150000
TVKUSDT;0.20460000;-0.292;0.21440000;0.19320000;4142907.82070000
TVKUSDT;0.20460000;-0.292;0.21440000;0.19320000;4142907.82070000
TVKUSDT;0.20440000;-0.341;0.21440000;0.19320000;4142209.75490000
TVKUSDT;0.20450000;-0.341;0.21440000;0.19320000;4141811.66550000
TVKUSDT;0.20420000;-0.439;0.21440000;0.19320000;4142816.32370000
TVKUSDT;0.20440000;-0.390;0.21440000;0.19320000;4143257.02450000
TVKUSDT;0.20430000;-0.390;0.21440000;0.19320000;4143257.02450000
TVKUSDT;0.20430000;-0.536;0.21440000;0.19320000;4141592.23620000
TVKUSDT;0.20430000;-0.536;0.21440000;0.19320000;4141592.23620000
TVKUSDT;0.20430000;-0.536;0.21440000;0.19320000;4141592.23620000
TVKUSDT;0.20430000;-0.487;0.21440000;0.19320000;4141391.97120000
TVKUSDT;0.20440000;-0.438;0.21440000;0.19320000;4141402.19120000
TVKUSDT;0.20440000;-0.438;0.21440000;0.19320000;4141402.19120000
TVKUSDT;0.20440000;-0.584;0.21440000;0.19320000;4141389.25730000
TVKUSDT;0.20440000;-0.584;0.21440000;0.19320000;4141458.14010000
TVKUSDT;0.20440000;-0.584;0.21440000;0.19320000;4141458.14010000
TVKUSDT;0.20440000;-0.584;0.21440000;0.19320000;4141458.14010000
TVKUSDT;0.20440000;-0.632;0.21440000;0.19320000;4141007.05370000
TVKUSDT;0.20440000;-0.632;0.21440000;0.19320000;4141007.05370000
TVKUSDT;0.20430000;-0.681;0.21440000;0.19320000;4141021.86260000
TVKUSDT;0.20430000;-0.681;0.21440000;0.19320000;4141021.86260000
TVKUSDT;0.20430000;-0.681;0.21440000;0.19320000;4141021.86260000
TVKUSDT;0.20430000;-0.681;0.21440000;0.19320000;4136316.93860000
TVKUSDT;0.20440000;-0.632;0.21440000;0.19320000;4134916.19680000
TVKUSDT;0.20440000;-0.632;0.21440000;0.19320000;4134916.19680000
TVKUSDT;0.20410000;-0.874;0.21440000;0.19320000;4135114.52970000
TVKUSDT;0.20410000;-0.874;0.21440000;0.19320000;4133895.83010000
TVKUSDT;0.20390000;-0.826;0.21440000;0.19320000;4133817.59780000
TVKUSDT;0.20350000;-0.875;0.21440000;0.19320000;4138383.27150000
TVKUSDT;0.20350000;-1.118;0.21440000;0.19320000;4138659.29300000
TVKUSDT;0.20350000;-1.070;0.21440000;0.19320000;4138818.83700000
TVKUSDT;0.20370000;-0.924;0.21440000;0.19320000;4138884.94030000
TVKUSDT;0.20370000;-0.924;0.21440000;0.19320000;4138884.94030000
TVKUSDT;0.20370000;-0.924;0.21440000;0.19320000;4138884.94030000
TVKUSDT;0.20370000;-0.924;0.21440000;0.19320000;4138884.94030000
TVKUSDT;0.20370000;-0.924;0.21440000;0.19320000;4138884.94030000
TVKUSDT;0.20370000;-0.924;0.21440000;0.19320000;4138884.94030000
TVKUSDT;0.20370000;-0.972;0.21440000;0.19320000;4137004.10460000
TVKUSDT;0.20370000;-0.972;0.21440000;0.19320000;4134543.74610000
TVKUSDT;0.20370000;-0.972;0.21440000;0.19320000;4134617.28180000
TVKUSDT;0.20370000;-1.020;0.21440000;0.19320000;4133897.34370000
TVKUSDT;0.20370000;-1.020;0.21440000;0.19320000;4133897.34370000
TVKUSDT;0.20370000;-1.020;0.21440000;0.19320000;4133897.34370000
TVKUSDT;0.20370000;-0.828;0.21440000;0.19320000;4133504.80420000
