Symbol;Price;Change24;Max24;Min24;Volume24
TWTUSDT;0.73470000;2.557;0.75000000;0.68380000;4251452.33170000
TWTUSDT;0.73470000;2.497;0.75000000;0.68380000;4251090.55480000
TWTUSDT;0.73470000;2.497;0.75000000;0.68380000;4251090.55480000
TWTUSDT;0.73470000;2.727;0.75000000;0.68380000;4250211.31030000
TWTUSDT;0.73470000;2.727;0.75000000;0.68380000;4250211.31030000
TWTUSDT;0.73470000;2.727;0.75000000;0.68380000;4250211.31030000
TWTUSDT;0.73470000;2.727;0.75000000;0.68380000;4250211.31030000
TWTUSDT;0.73410000;2.727;0.75000000;0.68380000;4250211.31030000
TWTUSDT;0.73410000;2.743;0.75000000;0.68380000;4249660.45080000
TWTUSDT;0.73380000;2.586;0.75000000;0.68380000;4245789.62510000
TWTUSDT;0.73380000;2.586;0.75000000;0.68380000;4245440.55870000
TWTUSDT;0.73380000;2.773;0.75000000;0.68380000;4245389.05710000
TWTUSDT;0.73380000;2.773;0.75000000;0.68380000;4245389.05710000
TWTUSDT;0.73380000;2.773;0.75000000;0.68380000;4245389.05710000
TWTUSDT;0.73360000;2.558;0.75000000;0.68380000;4246760.15240000
TWTUSDT;0.73400000;2.558;0.75000000;0.68380000;4246760.15240000
TWTUSDT;0.73370000;2.744;0.75000000;0.68380000;4247152.80470000
TWTUSDT;0.73400000;2.744;0.75000000;0.68380000;4247988.60910000
TWTUSDT;0.73400000;2.744;0.75000000;0.68380000;4247988.60910000
TWTUSDT;0.73320000;2.674;0.75000000;0.68380000;4250388.12280000
TWTUSDT;0.73320000;2.761;0.75000000;0.68380000;4248433.24240000
TWTUSDT;0.73320000;2.761;0.75000000;0.68380000;4248433.24240000
TWTUSDT;0.73320000;2.761;0.75000000;0.68380000;4248433.24240000
TWTUSDT;0.73320000;2.848;0.75000000;0.68380000;4243922.80450000
TWTUSDT;0.73320000;2.632;0.75000000;0.68380000;4242208.22950000
TWTUSDT;0.73320000;2.632;0.75000000;0.68380000;4241918.89750000
TWTUSDT;0.73320000;2.502;0.75000000;0.68380000;4240446.51070000
TWTUSDT;0.73320000;2.502;0.75000000;0.68380000;4240446.51070000
TWTUSDT;0.73320000;2.502;0.75000000;0.68380000;4240446.51070000
TWTUSDT;0.73320000;2.502;0.75000000;0.68380000;4240446.51070000
TWTUSDT;0.73320000;2.588;0.75000000;0.68380000;4239485.50530000
TWTUSDT;0.73300000;2.561;0.75000000;0.68380000;4239689.33680000
TWTUSDT;0.73410000;2.561;0.75000000;0.68380000;4239689.33680000
TWTUSDT;0.73410000;2.285;0.75000000;0.68380000;4232118.52840000
TWTUSDT;0.73410000;2.285;0.75000000;0.68380000;4232118.52840000
TWTUSDT;0.73410000;2.385;0.75000000;0.68380000;4232099.15050000
TWTUSDT;0.73390000;2.428;0.75000000;0.68380000;4231866.84250000
TWTUSDT;0.73410000;2.585;0.75000000;0.68380000;4231190.19120000
TWTUSDT;0.73410000;2.585;0.75000000;0.68380000;4231190.19120000
TWTUSDT;0.73410000;2.471;0.75000000;0.68380000;4231036.93930000
TWTUSDT;0.73400000;2.471;0.75000000;0.68380000;4231072.28730000
TWTUSDT;0.73400000;2.471;0.75000000;0.68380000;4231072.28730000
TWTUSDT;0.73350000;2.385;0.75000000;0.68380000;4232110.10460000
TWTUSDT;0.73410000;2.371;0.75000000;0.68380000;4232715.55910000
TWTUSDT;0.73430000;2.371;0.75000000;0.68380000;4232715.55910000
TWTUSDT;0.73590000;2.399;0.75000000;0.68380000;4232827.17270000
TWTUSDT;0.73500000;2.654;0.75000000;0.68380000;4238735.84760000
TWTUSDT;0.73500000;2.654;0.75000000;0.68380000;4238735.84760000
TWTUSDT;0.73430000;2.585;0.75000000;0.68380000;4237553.44530000
TWTUSDT;0.73510000;2.582;0.75000000;0.68380000;4237724.90300000
TWTUSDT;0.73500000;2.553;0.75000000;0.68380000;4237290.22120000
TWTUSDT;0.73500000;2.668;0.75000000;0.68380000;4236233.11260000
TWTUSDT;0.73500000;2.668;0.75000000;0.68380000;4236233.11260000
TWTUSDT;0.73400000;2.668;0.75000000;0.68380000;4236220.94230000
TWTUSDT;0.73400000;2.528;0.75000000;0.68380000;4236253.97230000
TWTUSDT;0.73430000;2.570;0.75000000;0.68380000;4236284.07860000
TWTUSDT;0.73310000;2.360;0.75000000;0.68380000;4234654.54010000
TWTUSDT;0.73410000;2.499;0.75000000;0.68380000;4233459.42980000
TWTUSDT;0.73410000;2.499;0.75000000;0.68380000;4233459.42980000
TWTUSDT;0.73450000;2.555;0.75000000;0.68380000;4233576.21530000
TWTUSDT;0.73530000;2.581;0.75000000;0.68380000;4231387.55730000
TWTUSDT;0.73740000;2.974;0.75000000;0.68380000;4220812.02660000
TWTUSDT;0.73820000;3.086;0.75000000;0.68380000;4221614.37760000
TWTUSDT;0.73760000;3.002;0.75000000;0.68380000;4220766.60360000
TWTUSDT;0.73760000;3.002;0.75000000;0.68380000;4220766.60360000
TWTUSDT;0.73900000;3.588;0.75000000;0.68380000;4223908.63610000
TWTUSDT;0.73900000;3.588;0.75000000;0.68380000;4223908.63610000
TWTUSDT;0.73810000;3.651;0.75000000;0.68380000;4224162.88290000
TWTUSDT;0.73860000;3.547;0.75000000;0.68380000;4224964.64080000
TWTUSDT;0.73900000;3.603;0.75000000;0.68380000;4225083.62630000
TWTUSDT;0.73900000;3.603;0.75000000;0.68380000;4225096.92830000
TWTUSDT;0.73860000;3.576;0.75000000;0.68380000;4227433.59860000
TWTUSDT;0.73830000;3.534;0.75000000;0.68380000;4227215.83370000
TWTUSDT;0.73830000;3.534;0.75000000;0.68380000;4227215.83370000
TWTUSDT;0.73780000;3.073;0.75000000;0.68380000;4234354.41990000
TWTUSDT;0.73780000;3.073;0.75000000;0.68380000;4234354.41990000
TWTUSDT;0.73780000;3.073;0.75000000;0.68380000;4234354.41990000
TWTUSDT;0.73780000;3.088;0.75000000;0.68380000;4224120.15810000
TWTUSDT;0.73750000;3.203;0.75000000;0.68380000;4222661.35830000
TWTUSDT;0.73710000;3.048;0.75000000;0.68380000;4223507.74870000
TWTUSDT;0.73710000;2.947;0.75000000;0.68380000;4223455.43540000
TWTUSDT;0.73710000;2.947;0.75000000;0.68380000;4223455.43540000
TWTUSDT;0.73730000;2.846;0.75000000;0.68380000;4223551.88560000
TWTUSDT;0.73730000;2.846;0.75000000;0.68380000;4223551.88560000
TWTUSDT;0.73740000;2.646;0.75000000;0.68380000;4221137.87450000
TWTUSDT;0.73880000;3.040;0.75000000;0.68380000;4221109.46960000
TWTUSDT;0.73880000;2.997;0.75000000;0.68380000;4220711.75360000
TWTUSDT;0.73770000;2.844;0.75000000;0.68380000;4221831.00410000
TWTUSDT;0.73790000;2.844;0.75000000;0.68380000;4221831.00410000
TWTUSDT;0.73780000;2.872;0.75000000;0.68380000;4221853.87900000
TWTUSDT;0.73780000;2.729;0.75000000;0.68380000;4221951.71980000
TWTUSDT;0.73780000;2.729;0.75000000;0.68380000;4221951.71980000
