Symbol;Price;Change24;Max24;Min24;Volume24
UMAUSDT;9.41400000;-0.170;9.92600000;9.16100000;2335958.00150000
UMAUSDT;9.41400000;-0.170;9.92600000;9.16100000;2335958.00150000
UMAUSDT;9.41400000;-0.170;9.92600000;9.16100000;2335958.00150000
UMAUSDT;9.41400000;-0.021;9.92600000;9.16100000;2331701.25180000
UMAUSDT;9.42800000;-0.021;9.92600000;9.16100000;2331701.25180000
UMAUSDT;9.43100000;0.223;9.92600000;9.16100000;2331797.53830000
UMAUSDT;9.43600000;0.266;9.92600000;9.16100000;2331399.89670000
UMAUSDT;9.43600000;0.266;9.92600000;9.16100000;2331399.89670000
UMAUSDT;9.43600000;0.372;9.92600000;9.16100000;2331385.78020000
UMAUSDT;9.43600000;0.372;9.92600000;9.16100000;2331385.78020000
UMAUSDT;9.43600000;0.372;9.92600000;9.16100000;2320695.00100000
UMAUSDT;9.43600000;0.372;9.92600000;9.16100000;2320712.92940000
UMAUSDT;9.43600000;0.223;9.92600000;9.16100000;2320442.82070000
UMAUSDT;9.43600000;0.223;9.92600000;9.16100000;2320442.82070000
UMAUSDT;9.43600000;0.223;9.92600000;9.16100000;2320442.82070000
UMAUSDT;9.43600000;0.223;9.92600000;9.16100000;2320442.82070000
UMAUSDT;9.43600000;0.426;9.92600000;9.16100000;2320415.51720000
UMAUSDT;9.43600000;0.255;9.92600000;9.16100000;2320127.99960000
UMAUSDT;9.43600000;0.255;9.92600000;9.16100000;2320127.99960000
UMAUSDT;9.41300000;0.011;9.92600000;9.16100000;2320262.60910000
UMAUSDT;9.41800000;0.064;9.92600000;9.16100000;2320273.91070000
UMAUSDT;9.41800000;0.064;9.92600000;9.16100000;2320273.91070000
UMAUSDT;9.41800000;0.096;9.92600000;9.16100000;2320201.45930000
UMAUSDT;9.41800000;0.096;9.92600000;9.16100000;2320201.45930000
UMAUSDT;9.41800000;0.128;9.92600000;9.16100000;2320136.54780000
UMAUSDT;9.41800000;0.021;9.92600000;9.16100000;2307914.35870000
UMAUSDT;9.42600000;0.021;9.92600000;9.16100000;2307914.35870000
UMAUSDT;9.42600000;0.106;9.92600000;9.16100000;2307924.72730000
UMAUSDT;9.41900000;-0.042;9.92600000;9.16100000;2307953.92050000
UMAUSDT;9.41900000;-0.042;9.92600000;9.16100000;2307953.92050000
UMAUSDT;9.41600000;-0.074;9.92600000;9.16100000;2307967.10290000
UMAUSDT;9.41600000;-0.074;9.92600000;9.16100000;2307979.34370000
UMAUSDT;9.41600000;-0.170;9.92600000;9.16100000;2307502.98990000
UMAUSDT;9.41600000;-0.011;9.92600000;9.16100000;2307480.35310000
UMAUSDT;9.41600000;-0.011;9.92600000;9.16100000;2307480.35310000
UMAUSDT;9.46800000;0.702;9.92600000;9.16100000;2311828.55510000
UMAUSDT;9.46900000;0.713;9.92600000;9.16100000;2314033.61200000
UMAUSDT;9.45100000;0.543;9.92600000;9.16100000;2312084.21620000
UMAUSDT;9.45100000;0.543;9.92600000;9.16100000;2311431.77670000
UMAUSDT;9.45100000;0.543;9.92600000;9.16100000;2311431.77670000
UMAUSDT;9.44800000;0.553;9.92600000;9.16100000;2311644.44870000
UMAUSDT;9.44800000;0.553;9.92600000;9.16100000;2311644.44870000
UMAUSDT;9.44800000;0.361;9.92600000;9.16100000;2311368.20630000
