Symbol;Price;Change24;Max24;Min24;Volume24
UNFIUSDT;8.10600000;1.199;8.26800000;7.65000000;7136462.39520000
UNFIUSDT;8.10700000;1.211;8.26800000;7.65000000;7137338.01620000
UNFIUSDT;8.10700000;1.186;8.26800000;7.65000000;7128103.95340000
UNFIUSDT;8.10700000;1.236;8.26800000;7.65000000;7126197.55160000
UNFIUSDT;8.10700000;1.262;8.26800000;7.65000000;7124256.38410000
UNFIUSDT;8.10900000;1.337;8.26800000;7.65000000;7121334.72710000
UNFIUSDT;8.10900000;1.451;8.26800000;7.65000000;7121107.54430000
UNFIUSDT;8.10900000;1.223;8.26800000;7.65000000;7117930.75060000
UNFIUSDT;8.10900000;1.324;8.26800000;7.65000000;7115492.79400000
UNFIUSDT;8.10900000;1.085;8.26800000;7.65000000;7109957.33250000
UNFIUSDT;8.10900000;1.034;8.26800000;7.65000000;7109435.90250000
UNFIUSDT;8.10900000;1.085;8.26800000;7.65000000;7105849.40660000
UNFIUSDT;8.10300000;1.111;8.26800000;7.65000000;7098603.00220000
UNFIUSDT;8.09600000;0.922;8.26800000;7.65000000;7098252.97330000
UNFIUSDT;8.09600000;0.985;8.26800000;7.65000000;7098437.60050000
UNFIUSDT;8.09600000;0.985;8.26800000;7.65000000;7098437.60050000
UNFIUSDT;8.09600000;0.897;8.26800000;7.65000000;7097395.00050000
UNFIUSDT;8.08900000;0.810;8.26800000;7.65000000;7097509.05540000
UNFIUSDT;8.09600000;0.897;8.26800000;7.65000000;7098561.53540000
UNFIUSDT;8.09600000;0.998;8.26800000;7.65000000;7097490.32970000
UNFIUSDT;8.09600000;0.998;8.26800000;7.65000000;7096030.04890000
UNFIUSDT;8.09600000;1.086;8.26800000;7.65000000;7091873.34330000
UNFIUSDT;8.09600000;1.086;8.26800000;7.65000000;7091873.34330000
UNFIUSDT;8.09600000;0.897;8.26800000;7.65000000;7089370.01860000
UNFIUSDT;8.09600000;0.860;8.26800000;7.65000000;7088326.70360000
UNFIUSDT;8.10000000;0.634;8.26800000;7.65000000;7080493.18920000
UNFIUSDT;8.09900000;0.509;8.26800000;7.65000000;7078468.85950000
UNFIUSDT;8.09200000;0.472;8.26800000;7.65000000;7078607.28030000
UNFIUSDT;8.09200000;0.547;8.26800000;7.65000000;7074625.84830000
UNFIUSDT;8.09200000;0.434;8.26800000;7.65000000;7066472.00090000
UNFIUSDT;8.09500000;0.459;8.26800000;7.65000000;7062261.07250000
UNFIUSDT;8.09500000;0.360;8.26800000;7.65000000;7061737.30250000
UNFIUSDT;8.09500000;0.422;8.26800000;7.65000000;7060677.49650000
UNFIUSDT;8.09500000;-0.197;8.26800000;7.65000000;7032745.76630000
UNFIUSDT;8.09500000;-0.197;8.26800000;7.65000000;7032745.76630000
UNFIUSDT;8.10000000;-0.283;8.26800000;7.65000000;7017048.12670000
UNFIUSDT;8.10000000;-0.185;8.26800000;7.65000000;7014288.22270000
UNFIUSDT;8.11000000;-0.160;8.26800000;7.65000000;7009172.73070000
UNFIUSDT;8.10600000;-0.613;8.26800000;7.65000000;6978489.95530000
UNFIUSDT;8.10600000;-0.418;8.26800000;7.65000000;6975129.11040000
UNFIUSDT;8.10200000;-1.111;8.26800000;7.65000000;6960111.62740000
UNFIUSDT;8.10200000;-0.881;8.26800000;7.65000000;6955720.35960000
UNFIUSDT;8.11500000;-0.832;8.26800000;7.65000000;6948803.24520000
UNFIUSDT;8.11500000;-0.576;8.26800000;7.65000000;6945994.08130000
UNFIUSDT;8.11500000;-0.454;8.26800000;7.65000000;6940132.30980000
UNFIUSDT;8.11500000;-0.478;8.26800000;7.65000000;6938956.25890000
UNFIUSDT;8.11500000;-0.393;8.26800000;7.65000000;6937495.71040000
UNFIUSDT;8.11500000;-0.442;8.26800000;7.65000000;6931054.63300000
UNFIUSDT;8.11500000;-0.466;8.26800000;7.65000000;6928499.86450000
UNFIUSDT;8.11500000;-0.564;8.26800000;7.65000000;6925844.62500000
UNFIUSDT;8.11900000;-0.454;8.26800000;7.65000000;6916898.29850000
UNFIUSDT;8.11900000;-0.478;8.26800000;7.65000000;6917426.03350000
UNFIUSDT;8.11900000;-0.356;8.26800000;7.65000000;6913138.67160000
UNFIUSDT;8.11900000;-0.368;8.26800000;7.65000000;6908777.11730000
UNFIUSDT;8.11900000;-0.429;8.26800000;7.65000000;6904004.31910000
UNFIUSDT;8.11900000;-0.649;8.26800000;7.65000000;6888328.58880000
UNFIUSDT;8.11900000;-0.636;8.26800000;7.65000000;6887113.76520000
UNFIUSDT;8.11900000;-0.794;8.26800000;7.65000000;6879310.84840000
UNFIUSDT;8.11200000;-0.868;8.26800000;7.65000000;6878921.20190000
UNFIUSDT;8.10700000;-0.977;8.26800000;7.65000000;6870781.26350000
UNFIUSDT;8.11200000;-1.013;8.26800000;7.65000000;6860057.40660000
UNFIUSDT;8.11200000;-1.097;8.26800000;7.65000000;6821580.63690000
UNFIUSDT;8.11200000;-1.097;8.26800000;7.65000000;6821580.63690000
UNFIUSDT;8.10700000;-1.182;8.26800000;7.65000000;6807135.43010000
UNFIUSDT;8.10300000;-1.231;8.26800000;7.65000000;6806067.10660000
UNFIUSDT;8.10500000;-0.820;8.26800000;7.65000000;6797927.95030000
UNFIUSDT;8.10500000;-0.686;8.26800000;7.65000000;6796334.73530000
UNFIUSDT;8.10500000;-0.711;8.26800000;7.65000000;6795872.75840000
UNFIUSDT;8.10700000;-0.868;8.26800000;7.65000000;6773690.57180000
UNFIUSDT;8.10800000;-0.747;8.26800000;7.65000000;6774740.19180000
UNFIUSDT;8.10800000;-0.649;8.26800000;7.65000000;6774209.20680000
UNFIUSDT;8.10500000;-0.674;8.26800000;7.65000000;6750831.88940000
UNFIUSDT;8.08100000;-0.468;8.26800000;7.65000000;6741147.10200000
UNFIUSDT;8.08600000;-0.308;8.26800000;7.65000000;6740732.75880000
UNFIUSDT;8.08000000;-0.296;8.26800000;7.65000000;6725959.53350000
UNFIUSDT;8.08000000;-0.198;8.26800000;7.65000000;6725352.12350000
UNFIUSDT;8.08000000;-0.062;8.26800000;7.65000000;6718166.99020000
UNFIUSDT;8.08100000;0.012;8.26800000;7.65000000;6714982.64470000
UNFIUSDT;8.10000000;0.161;8.26800000;7.65000000;6709028.67070000
UNFIUSDT;8.09200000;0.099;8.26800000;7.65000000;6703614.09660000
UNFIUSDT;8.09200000;-0.086;8.26800000;7.65000000;6697809.64780000
UNFIUSDT;8.09200000;-0.160;8.26800000;7.65000000;6696756.77780000
UNFIUSDT;8.09200000;-0.259;8.26800000;7.65000000;6695702.86780000
UNFIUSDT;8.09800000;-0.037;8.26800000;7.65000000;6693938.75780000
UNFIUSDT;8.10700000;-0.037;8.26800000;7.65000000;6693938.75780000
UNFIUSDT;8.10100000;0.074;8.26800000;7.65000000;6694934.59980000
UNFIUSDT;8.10100000;-0.099;8.26800000;7.65000000;6693035.14040000
UNFIUSDT;8.10100000;-0.025;8.26800000;7.65000000;6690356.27880000
UNFIUSDT;8.10100000;-0.025;8.26800000;7.65000000;6690356.27880000
UNFIUSDT;8.09800000;-0.025;8.26800000;7.65000000;6690356.27880000
UNFIUSDT;8.09800000;-0.062;8.26800000;7.65000000;6690222.54530000
UNFIUSDT;8.09800000;-0.074;8.26800000;7.65000000;6688551.81080000
UNFIUSDT;8.09800000;-0.074;8.26800000;7.65000000;6689604.55080000
UNFIUSDT;8.09800000;-0.074;8.26800000;7.65000000;6689604.55080000
UNFIUSDT;8.09500000;-0.148;8.26800000;7.65000000;6689187.88280000
UNFIUSDT;8.09700000;-0.148;8.26800000;7.65000000;6688782.53280000
UNFIUSDT;8.09700000;-0.148;8.26800000;7.65000000;6688323.59260000
UNFIUSDT;8.09700000;-0.197;8.26800000;7.65000000;6687796.50760000
UNFIUSDT;8.09300000;-0.234;8.26800000;7.65000000;6689982.31740000
UNFIUSDT;8.09300000;-0.247;8.26800000;7.65000000;6689049.53740000
UNFIUSDT;8.08200000;-0.407;8.26800000;7.65000000;6688698.70640000
UNFIUSDT;8.08200000;-0.407;8.26800000;7.65000000;6687643.62640000
UNFIUSDT;8.08400000;-0.345;8.26800000;7.65000000;6688869.56470000
UNFIUSDT;8.07600000;-0.345;8.26800000;7.65000000;6688869.56470000
UNFIUSDT;8.07600000;-0.431;8.26800000;7.65000000;6690893.05420000
UNFIUSDT;8.07700000;-0.235;8.26800000;7.65000000;6689864.94170000
UNFIUSDT;8.07800000;-0.259;8.26800000;7.65000000;6689792.93810000
UNFIUSDT;8.07800000;-0.222;8.26800000;7.65000000;6688918.20310000
UNFIUSDT;8.08500000;-0.136;8.26800000;7.65000000;6689740.31760000
UNFIUSDT;8.07800000;-0.222;8.26800000;7.65000000;6690494.22980000
UNFIUSDT;8.07800000;-0.222;8.26800000;7.65000000;6690494.22980000
UNFIUSDT;8.08500000;-0.161;8.26800000;7.65000000;6688825.10220000
UNFIUSDT;8.08500000;-0.161;8.26800000;7.65000000;6688825.10220000
UNFIUSDT;8.08700000;-0.148;8.26800000;7.65000000;6690401.80720000
UNFIUSDT;8.08300000;-0.210;8.26800000;7.65000000;6691977.14720000
