Symbol;Price;Change24;Max24;Min24;Volume24
USDCUSDT;0.99980000;-0.040;1.00010000;0.99960000;114659117.42600000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114624300.43790000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114627924.18710000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114632662.89120000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114623903.42450000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114622923.37950000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114766764.62780000
USDCUSDT;0.99970000;-0.020;1.00010000;0.99960000;114772230.62730000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114762574.99230000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114756674.20510000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114743452.54190000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114747962.20750000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114736389.85460000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114741387.10610000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114739426.81130000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114700975.90750000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114703460.12010000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114701051.41170000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114702862.93460000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114710753.16530000
USDCUSDT;0.99970000;-0.020;1.00010000;0.99960000;114727651.24730000
USDCUSDT;0.99970000;-0.040;1.00010000;0.99960000;114732846.86360000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114728533.81820000
USDCUSDT;0.99980000;-0.040;1.00010000;0.99960000;114730640.91470000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114732146.35240000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114745061.89440000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114752672.44890000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114749959.41880000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114742719.58070000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114737262.89390000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114746849.50500000
USDCUSDT;0.99970000;-0.020;1.00010000;0.99960000;114741708.62790000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114747800.62840000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114756861.71950000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114759781.03160000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114760858.61530000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114769254.50110000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114746812.00620000
USDCUSDT;0.99970000;-0.020;1.00010000;0.99960000;114747542.56790000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114743394.89830000
USDCUSDT;0.99970000;-0.020;1.00010000;0.99960000;114743046.71390000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114745943.01320000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114738409.75870000
USDCUSDT;0.99970000;-0.020;1.00010000;0.99960000;114770016.04030000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114744049.86860000
USDCUSDT;0.99970000;-0.020;1.00010000;0.99960000;114750543.61310000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114753581.25660000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114756694.34140000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114759774.70540000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114759248.60680000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114764654.93370000
USDCUSDT;0.99970000;-0.020;1.00010000;0.99960000;114765285.75070000
USDCUSDT;0.99970000;-0.040;1.00010000;0.99960000;114771297.77640000
USDCUSDT;0.99970000;-0.040;1.00010000;0.99960000;114775576.42090000
USDCUSDT;0.99970000;-0.020;1.00010000;0.99960000;114777767.70340000
USDCUSDT;0.99970000;-0.040;1.00010000;0.99960000;114779918.82330000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114782255.53230000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114771329.16550000
USDCUSDT;0.99970000;-0.040;1.00010000;0.99960000;114765673.62410000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114752449.33030000
USDCUSDT;0.99970000;-0.040;1.00010000;0.99960000;114972107.44440000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;115037183.87430000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114993012.59370000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;114998956.44310000
USDCUSDT;0.99970000;-0.020;1.00010000;0.99960000;115015084.66460000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;115076222.37900000
USDCUSDT;0.99980000;-0.020;1.00010000;0.99960000;115072788.83260000
USDCUSDT;0.99970000;-0.020;1.00010000;0.99960000;115072333.66940000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114990600.18030000
USDCUSDT;0.99970000;-0.040;1.00010000;0.99960000;114987441.78860000
USDCUSDT;0.99970000;-0.040;1.00010000;0.99960000;114969113.58460000
USDCUSDT;0.99970000;-0.040;1.00010000;0.99960000;114951906.56980000
USDCUSDT;0.99970000;-0.030;1.00010000;0.99960000;114939480.80240000
USDCUSDT;0.99980000;-0.040;1.00010000;0.99960000;114935272.57080000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114931778.90060000
USDCUSDT;0.99980000;-0.030;1.00010000;0.99960000;114931547.68330000
USDCUSDT;0.99970000;-0.040;1.00010000;0.99960000;114920802.25760000
USDCUSDT;0.99970000;-0.040;1.00010000;0.99960000;114759836.93730000
