Symbol;Price;Change24;Max24;Min24;Volume24
USDTBIDR;14352.00;-0.306;14400.00;14342.00;153829795537.50
USDTBIDR;14351.00;-0.306;14400.00;14342.00;153833790205.90
USDTBIDR;14352.00;-0.306;14400.00;14342.00;153835394686.00
USDTBIDR;14351.00;-0.306;14400.00;14342.00;153805080912.00
USDTBIDR;14352.00;-0.306;14400.00;14342.00;153807004871.90
USDTBIDR;14352.00;-0.306;14400.00;14342.00;153807653626.90
USDTBIDR;14351.00;-0.313;14400.00;14342.00;153807904238.80
USDTBIDR;14352.00;-0.306;14400.00;14342.00;153782870925.90
USDTBIDR;14352.00;-0.306;14400.00;14342.00;153772906165.10
USDTBIDR;14354.00;-0.292;14400.00;14342.00;153775912267.10
USDTBIDR;14354.00;-0.292;14400.00;14342.00;153776137356.90
USDTBIDR;14354.00;-0.292;14400.00;14342.00;153777946027.10
USDTBIDR;14354.00;-0.278;14400.00;14342.00;153783064772.40
USDTBIDR;14355.00;-0.271;14400.00;14342.00;153782050094.10
USDTBIDR;14355.00;-0.292;14400.00;14342.00;153770381126.10
USDTBIDR;14355.00;-0.285;14400.00;14342.00;153755998962.70
USDTBIDR;14355.00;-0.292;14400.00;14342.00;153718605284.20
USDTBIDR;14352.00;-0.285;14400.00;14342.00;153715649762.40
USDTBIDR;14352.00;-0.313;14400.00;14342.00;153727493725.50
USDTBIDR;14355.00;-0.292;14400.00;14342.00;153752244906.00
USDTBIDR;14355.00;-0.271;14400.00;14342.00;153746708430.30
USDTBIDR;14355.00;-0.285;14400.00;14342.00;153754070311.80
USDTBIDR;14355.00;-0.292;14400.00;14342.00;153714826977.10
USDTBIDR;14355.00;-0.292;14400.00;14342.00;153737966113.00
USDTBIDR;14355.00;-0.285;14400.00;14342.00;153723584911.60
USDTBIDR;14352.00;-0.292;14400.00;14342.00;153693804972.50
USDTBIDR;14355.00;-0.285;14400.00;14342.00;153859405365.50
USDTBIDR;14352.00;-0.285;14400.00;14342.00;153859643519.10
USDTBIDR;14352.00;-0.292;14400.00;14342.00;153847896574.30
USDTBIDR;14352.00;-0.306;14400.00;14342.00;153856857629.20
USDTBIDR;14355.00;-0.285;14400.00;14342.00;153857340595.90
USDTBIDR;14355.00;-0.278;14400.00;14342.00;153855818911.00
USDTBIDR;14355.00;-0.285;14400.00;14342.00;153852764120.00
USDTBIDR;14355.00;-0.299;14400.00;14342.00;153850035065.80
USDTBIDR;14355.00;-0.292;14400.00;14342.00;153856862209.80
USDTBIDR;14355.00;-0.285;14400.00;14342.00;153856021658.70
USDTBIDR;14353.00;-0.299;14400.00;14342.00;153867283802.90
USDTBIDR;14355.00;-0.285;14400.00;14342.00;153824685014.20
USDTBIDR;14354.00;-0.292;14400.00;14342.00;153818866980.60
USDTBIDR;14353.00;-0.299;14400.00;14342.00;153815840532.80
USDTBIDR;14354.00;-0.292;14400.00;14342.00;153795647488.70
USDTBIDR;14356.00;-0.285;14400.00;14342.00;153794718542.50
USDTBIDR;14356.00;-0.278;14400.00;14342.00;153795867922.20
USDTBIDR;14356.00;-0.278;14400.00;14342.00;153796136191.40
USDTBIDR;14355.00;-0.285;14400.00;14342.00;153783193353.70
USDTBIDR;14355.00;-0.278;14400.00;14342.00;153782299362.10
USDTBIDR;14354.00;-0.292;14400.00;14342.00;153789525396.60
USDTBIDR;14354.00;-0.285;14400.00;14342.00;153787255299.10
USDTBIDR;14355.00;-0.278;14400.00;14342.00;153788231259.00
USDTBIDR;14354.00;-0.278;14400.00;14342.00;153790860600.80
USDTBIDR;14358.00;-0.257;14400.00;14342.00;153789309464.10
USDTBIDR;14355.00;-0.278;14400.00;14342.00;153789898523.60
USDTBIDR;14357.00;-0.257;14400.00;14342.00;153756095104.80
USDTBIDR;14355.00;-0.243;14400.00;14342.00;153756408087.40
