Symbol;Price;Change24;Max24;Min24;Volume24
USDTBRL;5.66000000;-0.667;5.75600000;5.65800000;132409503.59540000
USDTBRL;5.66000000;-0.667;5.75600000;5.65800000;132434341.14110000
USDTBRL;5.66000000;-0.702;5.75600000;5.65800000;132436960.26870000
USDTBRL;5.65500000;-0.702;5.75600000;5.65700000;132440295.26900000
USDTBRL;5.65300000;-0.790;5.75600000;5.65300000;132464543.98550000
USDTBRL;5.65400000;-0.772;5.75600000;5.65300000;132487454.48990000
USDTBRL;5.65300000;-0.772;5.75600000;5.65300000;132463787.95400000
USDTBRL;5.65400000;-0.772;5.75600000;5.65300000;132470993.20780000
USDTBRL;5.65400000;-0.772;5.75600000;5.65300000;132477333.06650000
USDTBRL;5.65400000;-0.772;5.75600000;5.65300000;132468509.72890000
USDTBRL;5.65400000;-0.755;5.75600000;5.65300000;132370144.45100000
USDTBRL;5.65400000;-0.755;5.75600000;5.65300000;132379664.66700000
USDTBRL;5.65200000;-0.772;5.75600000;5.65300000;132358306.46380000
USDTBRL;5.65400000;-0.772;5.75600000;5.65200000;132352575.06880000
USDTBRL;5.65200000;-0.790;5.75600000;5.65200000;132327517.57850000
USDTBRL;5.65300000;-0.790;5.75600000;5.65200000;132354625.32630000
USDTBRL;5.65200000;-0.790;5.75600000;5.65200000;132345226.32290000
USDTBRL;5.65200000;-0.772;5.75600000;5.65200000;132324099.69090000
USDTBRL;5.65200000;-0.790;5.75600000;5.65200000;132341057.83680000
USDTBRL;5.65200000;-0.807;5.75600000;5.65100000;132352245.89320000
USDTBRL;5.65200000;-0.825;5.75600000;5.65100000;132290982.90540000
USDTBRL;5.65100000;-0.825;5.75600000;5.65100000;132282437.34590000
USDTBRL;5.65100000;-0.807;5.75600000;5.65100000;132259487.66090000
USDTBRL;5.65200000;-0.790;5.75600000;5.65100000;132272210.76000000
USDTBRL;5.65200000;-0.790;5.75600000;5.65100000;132254630.16630000
USDTBRL;5.65100000;-0.842;5.75600000;5.65000000;132306570.50090000
USDTBRL;5.65000000;-0.825;5.75600000;5.65000000;132371733.58830000
USDTBRL;5.65100000;-0.825;5.75600000;5.65000000;132390145.30450000
USDTBRL;5.65100000;-0.842;5.75600000;5.65000000;132367782.57230000
USDTBRL;5.65100000;-0.825;5.75600000;5.65000000;132323668.04990000
USDTBRL;5.65100000;-0.825;5.75600000;5.65000000;132316190.54700000
USDTBRL;5.65100000;-0.842;5.75600000;5.65000000;132355585.93070000
USDTBRL;5.65100000;-0.825;5.75600000;5.65000000;132379122.12660000
USDTBRL;5.65000000;-0.807;5.75600000;5.65000000;132372867.94550000
USDTBRL;5.65100000;-0.825;5.75600000;5.65000000;132382892.78290000
USDTBRL;5.65100000;-0.790;5.75600000;5.65000000;132068007.60220000
USDTBRL;5.65100000;-0.807;5.75600000;5.65000000;131952440.13510000
USDTBRL;5.65000000;-0.825;5.75600000;5.65000000;131815453.31200000
USDTBRL;5.64900000;-0.808;5.75600000;5.65000000;132074601.98870000
USDTBRL;5.64800000;-0.843;5.75600000;5.64900000;132071181.06630000
USDTBRL;5.64700000;-0.912;5.75600000;5.64700000;132076335.48330000
USDTBRL;5.64600000;-0.895;5.75600000;5.64600000;132073375.16700000
USDTBRL;5.64600000;-0.947;5.75600000;5.64600000;132092004.01950000
USDTBRL;5.64400000;-0.965;5.75600000;5.64500000;132110087.35140000
USDTBRL;5.64400000;-0.965;5.75600000;5.64400000;132124307.41730000
USDTBRL;5.64500000;-0.965;5.75600000;5.64400000;132098886.35470000
USDTBRL;5.64500000;-0.965;5.75600000;5.64400000;132104630.63090000
USDTBRL;5.64500000;-0.982;5.75600000;5.64400000;132092090.71950000
USDTBRL;5.64500000;-0.982;5.75600000;5.64400000;132078134.69190000
USDTBRL;5.64500000;-0.965;5.75600000;5.64400000;132070460.47690000
USDTBRL;5.64400000;-1.000;5.75600000;5.64400000;132074896.11970000
USDTBRL;5.64300000;-1.017;5.75600000;5.64200000;132089042.98200000
USDTBRL;5.63800000;-1.017;5.75600000;5.64200000;132080994.35610000
USDTBRL;5.63500000;-1.158;5.75600000;5.63500000;132204930.60220000
USDTBRL;5.63500000;-1.158;5.75600000;5.63400000;132229743.03130000
USDTBRL;5.63500000;-1.228;5.75600000;5.63100000;132249798.33390000
USDTBRL;5.63100000;-1.210;5.75600000;5.63100000;132258096.30300000
USDTBRL;5.63100000;-1.228;5.75600000;5.63100000;132245935.95520000
USDTBRL;5.63000000;-1.228;5.75600000;5.63000000;132251068.86080000
USDTBRL;5.63100000;-1.228;5.75600000;5.63000000;132320309.88680000
USDTBRL;5.63000000;-1.245;5.75600000;5.62900000;132353055.01630000
USDTBRL;5.63100000;-1.228;5.75600000;5.62900000;132242471.26000000
USDTBRL;5.63000000;-1.211;5.75600000;5.62900000;132242306.52800000
