Symbol;Price;Change24;Max24;Min24;Volume24
USDTIDRT;14326.00;-0.438;14390.00;14300.00;5922268979.00
USDTIDRT;14326.00;-0.438;14390.00;14300.00;5922268979.00
USDTIDRT;14326.00;-0.438;14390.00;14300.00;5922268979.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5925773231.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5925773231.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5925773231.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5925773231.00
USDTIDRT;14309.00;-0.528;14390.00;14300.00;5919715462.00
USDTIDRT;14309.00;-0.528;14390.00;14300.00;5919715462.00
USDTIDRT;14309.00;-0.528;14390.00;14300.00;5919715462.00
USDTIDRT;14309.00;-0.528;14390.00;14300.00;5919715462.00
USDTIDRT;14309.00;-0.528;14390.00;14300.00;5919715462.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5911645477.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5911429642.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5911429642.00
USDTIDRT;14324.00;-0.452;14390.00;14300.00;5911816390.00
USDTIDRT;14324.00;-0.452;14390.00;14300.00;5909729985.00
USDTIDRT;14324.00;-0.452;14390.00;14300.00;5909729985.00
USDTIDRT;14324.00;-0.452;14390.00;14300.00;5909729985.00
USDTIDRT;14324.00;-0.452;14390.00;14300.00;5909283926.00
USDTIDRT;14324.00;-0.452;14390.00;14300.00;5909283926.00
USDTIDRT;14324.00;-0.452;14390.00;14300.00;5909283926.00
USDTIDRT;14324.00;-0.452;14390.00;14300.00;5909283926.00
USDTIDRT;14324.00;-0.452;14390.00;14300.00;5909283926.00
USDTIDRT;14324.00;-0.452;14390.00;14300.00;5909283926.00
USDTIDRT;14324.00;-0.431;14390.00;14300.00;5837008646.00
USDTIDRT;14324.00;-0.431;14390.00;14300.00;5837008646.00
USDTIDRT;14324.00;-0.431;14390.00;14300.00;5836922330.00
USDTIDRT;14324.00;-0.431;14390.00;14300.00;5836922330.00
USDTIDRT;14324.00;-0.431;14390.00;14300.00;5836922330.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5835607946.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5835607946.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5835607946.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5835607946.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5835808272.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5835808272.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5835808272.00
USDTIDRT;14326.00;-0.438;14390.00;14300.00;5835894228.00
USDTIDRT;14309.00;-0.556;14390.00;14300.00;5835994391.00
