Symbol;Price;Change24;Max24;Min24;Volume24
USDTTRY;13.05200000;2.200;13.35000000;12.50800000;2606873607.73500000
USDTTRY;13.05200000;2.160;13.35000000;12.50800000;2606715968.79900000
USDTTRY;13.05300000;2.088;13.35000000;12.50800000;2606145649.60200000
USDTTRY;13.05300000;2.017;13.35000000;12.50800000;2605261171.70000000
USDTTRY;13.05300000;1.985;13.35000000;12.50800000;2604384408.50200000
USDTTRY;13.05800000;2.008;13.35000000;12.50800000;2604172167.99200000
USDTTRY;13.05800000;2.015;13.35000000;12.50800000;2604018037.91900000
USDTTRY;13.05900000;2.015;13.35000000;12.50800000;2603859830.12400000
USDTTRY;13.05900000;2.008;13.35000000;12.50800000;2603618036.77400000
USDTTRY;13.05800000;2.000;13.35000000;12.50800000;2603643460.60000000
USDTTRY;13.05900000;2.007;13.35000000;12.50800000;2603222952.96100000
USDTTRY;13.06000000;2.007;13.35000000;12.50800000;2603417509.04300000
USDTTRY;13.06200000;1.880;13.35000000;12.50800000;2602640903.41700000
USDTTRY;13.06100000;1.896;13.35000000;12.50800000;2602361452.32000000
USDTTRY;13.06000000;1.896;13.35000000;12.50800000;2602746722.89600000
USDTTRY;13.06200000;1.896;13.35000000;12.50800000;2601758862.91500000
USDTTRY;13.06100000;1.872;13.35000000;12.50800000;2599680571.68600000
USDTTRY;13.06000000;1.856;13.35000000;12.50800000;2599252032.86200000
USDTTRY;13.06100000;1.856;13.35000000;12.50800000;2598929363.39100000
USDTTRY;13.06200000;1.903;13.35000000;12.50800000;2599002399.01100000
USDTTRY;13.06800000;1.926;13.35000000;12.50800000;2599925560.60700000
USDTTRY;13.08000000;2.044;13.35000000;12.50800000;2599668757.84900000
USDTTRY;13.07800000;2.036;13.35000000;12.50800000;2599566162.99600000
USDTTRY;13.07800000;2.052;13.35000000;12.50800000;2599516919.24500000
USDTTRY;13.07900000;2.116;13.35000000;12.50800000;2599357082.25800000
USDTTRY;13.08300000;2.164;13.35000000;12.50800000;2598461028.80600000
USDTTRY;13.08200000;2.140;13.35000000;12.50800000;2598218341.57900000
USDTTRY;13.08100000;2.155;13.35000000;12.50800000;2598256815.10800000
USDTTRY;13.08200000;2.171;13.35000000;12.50800000;2597584167.80900000
USDTTRY;13.08100000;2.171;13.35000000;12.50800000;2597364482.69600000
USDTTRY;13.08000000;2.172;13.35000000;12.50800000;2597446928.32000000
USDTTRY;13.08100000;2.211;13.35000000;12.50800000;2597272832.45800000
USDTTRY;13.07300000;2.291;13.35000000;12.50800000;2596888309.23700000
USDTTRY;13.06600000;2.229;13.35000000;12.50800000;2596923903.16700000
USDTTRY;13.06200000;2.183;13.35000000;12.50800000;2596522825.33200000
USDTTRY;13.06300000;2.214;13.35000000;12.50800000;2596355576.45700000
USDTTRY;13.06300000;2.271;13.35000000;12.50800000;2595579011.27700000
USDTTRY;13.06200000;2.294;13.35000000;12.50800000;2595063517.57700000
USDTTRY;13.06100000;2.295;13.35000000;12.50800000;2594368833.54600000
USDTTRY;13.06100000;2.287;13.35000000;12.50800000;2594424523.47900000
USDTTRY;13.06200000;2.287;13.35000000;12.50800000;2594108400.08800000
USDTTRY;13.06200000;2.279;13.35000000;12.50800000;2594099068.92500000
USDTTRY;13.06100000;2.287;13.35000000;12.50800000;2594175769.68600000
USDTTRY;13.06100000;2.279;13.35000000;12.50800000;2594368690.73900000
USDTTRY;13.06200000;2.279;13.35000000;12.50800000;2594607436.53800000
USDTTRY;13.06300000;2.302;13.35000000;12.50800000;2594966119.03300000
USDTTRY;13.06400000;2.294;13.35000000;12.50800000;2595092553.67700000
USDTTRY;13.06400000;2.294;13.35000000;12.50800000;2595176339.34000000
USDTTRY;13.06300000;2.302;13.35000000;12.50800000;2595697949.82900000
USDTTRY;13.06400000;2.294;13.35000000;12.50800000;2595533490.15600000
USDTTRY;13.06300000;2.294;13.35000000;12.50800000;2595440748.84100000
USDTTRY;13.06300000;2.278;13.35000000;12.50800000;2595266321.37400000
USDTTRY;13.06100000;2.231;13.35000000;12.50800000;2595373108.97500000
USDTTRY;13.06300000;2.214;13.35000000;12.50800000;2595328552.12200000
USDTTRY;13.06400000;2.222;13.35000000;12.50800000;2595027943.41800000
USDTTRY;13.06500000;2.222;13.35000000;12.50800000;2594609558.32700000
