Symbol;Price;Change24;Max24;Min24;Volume24
USTUSDT;1.00170000;0.000;1.00580000;1.00050000;13117095.89900000
USTUSDT;1.00170000;0.000;1.00580000;1.00050000;13116536.95040000
USTUSDT;1.00170000;0.000;1.00580000;1.00050000;13116536.95040000
USTUSDT;1.00170000;0.000;1.00580000;1.00050000;13116536.95040000
USTUSDT;1.00170000;0.000;1.00580000;1.00050000;13116536.95040000
USTUSDT;1.00070000;0.010;1.00580000;1.00050000;13117188.39650000
USTUSDT;1.00070000;0.010;1.00580000;1.00050000;13117188.39650000
USTUSDT;1.00160000;0.010;1.00580000;1.00050000;13117188.39650000
USTUSDT;1.00160000;0.100;1.00580000;1.00050000;13117243.48450000
USTUSDT;1.00160000;0.100;1.00580000;1.00050000;13117243.48450000
USTUSDT;1.00160000;0.100;1.00580000;1.00050000;13117243.48450000
USTUSDT;1.00160000;0.100;1.00580000;1.00050000;13117263.51650000
USTUSDT;1.00160000;0.100;1.00580000;1.00050000;13117263.51650000
USTUSDT;1.00160000;0.100;1.00580000;1.00050000;13117263.51650000
USTUSDT;1.00170000;0.010;1.00580000;1.00050000;13117318.55500000
USTUSDT;1.00170000;0.010;1.00580000;1.00050000;13115374.44970000
USTUSDT;1.00170000;0.010;1.00580000;1.00050000;13115374.44970000
USTUSDT;1.00170000;0.010;1.00580000;1.00050000;13115374.44970000
USTUSDT;1.00170000;0.010;1.00580000;1.00050000;13115374.44970000
USTUSDT;1.00170000;0.000;1.00580000;1.00050000;13114921.72950000
USTUSDT;1.00170000;0.000;1.00580000;1.00050000;13114921.72950000
USTUSDT;1.00170000;0.000;1.00580000;1.00050000;13114921.72950000
USTUSDT;1.00170000;0.000;1.00580000;1.00050000;13114921.72950000
USTUSDT;1.00170000;0.000;1.00580000;1.00050000;13114921.72950000
USTUSDT;1.00100000;0.000;1.00580000;1.00050000;13114793.51190000
USTUSDT;1.00080000;-0.090;1.00580000;1.00050000;13115175.88430000
USTUSDT;1.00080000;-0.090;1.00580000;1.00050000;13115175.88430000
