Symbol;Price;Change24;Max24;Min24;Volume24
UTKUSDT;0.32060000;-1.777;0.33660000;0.31520000;2373680.79830000
UTKUSDT;0.32060000;-1.957;0.33660000;0.31520000;2372232.45420000
UTKUSDT;0.32060000;-2.286;0.33660000;0.31520000;2366955.33450000
UTKUSDT;0.32030000;-2.286;0.33660000;0.31520000;2366955.33450000
UTKUSDT;0.32000000;-2.377;0.33660000;0.31520000;2366933.80840000
UTKUSDT;0.32000000;-2.469;0.33660000;0.31520000;2367061.82600000
UTKUSDT;0.32000000;-2.469;0.33660000;0.31520000;2367061.82600000
UTKUSDT;0.32000000;-2.051;0.33660000;0.31520000;2366920.91510000
UTKUSDT;0.32000000;-2.051;0.33660000;0.31520000;2366920.91510000
UTKUSDT;0.32030000;-1.959;0.33660000;0.31520000;2366952.62480000
UTKUSDT;0.32030000;-1.959;0.33660000;0.31520000;2366952.62480000
UTKUSDT;0.32030000;-1.959;0.33660000;0.31520000;2366952.62480000
UTKUSDT;0.32030000;-1.264;0.33660000;0.31520000;2360698.63230000
UTKUSDT;0.32060000;-1.296;0.33660000;0.31520000;2361502.07490000
UTKUSDT;0.32060000;-1.141;0.33660000;0.31520000;2363154.91110000
UTKUSDT;0.32020000;-1.264;0.33660000;0.31520000;2363203.90170000
UTKUSDT;0.32010000;-1.447;0.33660000;0.31520000;2363167.54930000
UTKUSDT;0.31990000;-1.447;0.33660000;0.31520000;2363423.30920000
UTKUSDT;0.32010000;-1.447;0.33660000;0.31520000;2367768.82760000
UTKUSDT;0.31980000;-1.327;0.33660000;0.31520000;2367671.29280000
UTKUSDT;0.32000000;-1.235;0.33660000;0.31520000;2367468.95610000
UTKUSDT;0.31990000;-1.265;0.33660000;0.31520000;2368247.27280000
UTKUSDT;0.31970000;-1.236;0.33660000;0.31520000;2366580.11460000
UTKUSDT;0.31970000;-1.236;0.33660000;0.31520000;2366305.61700000
UTKUSDT;0.31970000;-1.236;0.33660000;0.31520000;2366305.61700000
UTKUSDT;0.31970000;-1.479;0.33660000;0.31520000;2364820.15770000
UTKUSDT;0.31970000;-1.479;0.33660000;0.31520000;2364820.15770000
UTKUSDT;0.31950000;-1.479;0.33660000;0.31520000;2364820.15770000
UTKUSDT;0.31950000;-1.541;0.33660000;0.31520000;2366410.70380000
UTKUSDT;0.31950000;-1.541;0.33660000;0.31520000;2366410.70380000
UTKUSDT;0.31980000;-1.294;0.33660000;0.31520000;2367019.96820000
