Symbol;Price;Change24;Max24;Min24;Volume24
VGXUSDT;3.09800000;3.195;3.13500000;2.81600000;3365041.00590000
VGXUSDT;3.09800000;2.889;3.13500000;2.81600000;3365037.02870000
VGXUSDT;3.09800000;2.889;3.13500000;2.81600000;3365037.02870000
VGXUSDT;3.09800000;2.889;3.13500000;2.81600000;3365037.02870000
VGXUSDT;3.09800000;2.889;3.13500000;2.81600000;3365037.02870000
VGXUSDT;3.09800000;2.889;3.13500000;2.81600000;3365037.02870000
VGXUSDT;3.09800000;3.095;3.13500000;2.81600000;3364997.88570000
VGXUSDT;3.09800000;3.095;3.13500000;2.81600000;3364997.88570000
VGXUSDT;3.09800000;2.889;3.13500000;2.81600000;3364760.19020000
VGXUSDT;3.09100000;2.657;3.13500000;2.81600000;3366586.20530000
VGXUSDT;3.09000000;2.624;3.13500000;2.81600000;3367473.18610000
VGXUSDT;3.09000000;2.624;3.13500000;2.81600000;3367473.18610000
VGXUSDT;3.09300000;2.689;3.13500000;2.81600000;3367198.32450000
VGXUSDT;3.09300000;2.689;3.13500000;2.81600000;3367198.32450000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3365417.00340000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3365417.00340000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3365417.00340000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3365417.00340000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3365417.00340000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3365144.44160000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3365144.44160000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3365144.44160000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3365144.44160000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3365144.44160000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3365144.44160000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3365144.44160000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3364927.33070000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3364927.33070000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3364927.33070000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3364927.33070000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3364927.33070000
VGXUSDT;3.09300000;2.113;3.13500000;2.81600000;3364927.33070000
VGXUSDT;3.09300000;2.214;3.13500000;2.81600000;3364928.97330000
VGXUSDT;3.09300000;2.214;3.13500000;2.81600000;3364932.99420000
VGXUSDT;3.08400000;1.950;3.13500000;2.81600000;3367493.56860000
VGXUSDT;3.08400000;1.917;3.13500000;2.81600000;3367938.89820000
VGXUSDT;3.08600000;1.949;3.13500000;2.81600000;3367909.55540000
VGXUSDT;3.08600000;1.949;3.13500000;2.81600000;3367909.55540000
VGXUSDT;3.08600000;2.185;3.13500000;2.81600000;3367609.27700000
VGXUSDT;3.08600000;2.185;3.13500000;2.81600000;3367609.27700000
VGXUSDT;3.08100000;2.020;3.13500000;2.81600000;3367639.47080000
VGXUSDT;3.08100000;2.020;3.13500000;2.81600000;3367639.47080000
VGXUSDT;3.08100000;2.020;3.13500000;2.81600000;3367639.47080000
VGXUSDT;3.08100000;2.020;3.13500000;2.81600000;3368231.94710000
