Symbol;Price;Change24;Max24;Min24;Volume24
VIDTUSDT;0.81680000;2.343;0.84000000;0.77360000;2534783.62160000
VIDTUSDT;0.81530000;2.155;0.84000000;0.77360000;2535862.40211000
VIDTUSDT;0.81470000;2.155;0.84000000;0.77360000;2535862.40211000
VIDTUSDT;0.81470000;2.080;0.84000000;0.77360000;2536116.34410000
VIDTUSDT;0.81470000;2.080;0.84000000;0.77360000;2536116.34410000
VIDTUSDT;0.81460000;2.017;0.84000000;0.77360000;2536137.51460000
VIDTUSDT;0.81460000;2.157;0.84000000;0.77360000;2531565.50372000
VIDTUSDT;0.81460000;2.157;0.84000000;0.77360000;2531565.50372000
VIDTUSDT;0.81310000;2.161;0.84000000;0.77360000;2530506.68123000
VIDTUSDT;0.81300000;2.149;0.84000000;0.77360000;2530541.80283000
VIDTUSDT;0.81650000;2.524;0.84000000;0.77360000;2530046.92292000
VIDTUSDT;0.81650000;2.524;0.84000000;0.77360000;2530046.92292000
VIDTUSDT;0.81650000;2.524;0.84000000;0.77360000;2530046.92292000
VIDTUSDT;0.81460000;2.285;0.84000000;0.77360000;2529317.65531000
VIDTUSDT;0.81300000;2.084;0.84000000;0.77360000;2530426.75819000
VIDTUSDT;0.81300000;2.084;0.84000000;0.77360000;2530426.75819000
VIDTUSDT;0.81460000;2.350;0.84000000;0.77360000;2529803.06143000
VIDTUSDT;0.81510000;2.528;0.84000000;0.77360000;2528881.13122000
VIDTUSDT;0.81510000;2.528;0.84000000;0.77360000;2528881.13122000
VIDTUSDT;0.81510000;2.477;0.84000000;0.77360000;2527777.71848000
VIDTUSDT;0.81300000;2.380;0.84000000;0.77360000;2527884.49712000
VIDTUSDT;0.81300000;2.380;0.84000000;0.77360000;2527884.49712000
VIDTUSDT;0.81300000;2.380;0.84000000;0.77360000;2527884.49712000
VIDTUSDT;0.81300000;2.380;0.84000000;0.77360000;2527884.49712000
VIDTUSDT;0.81140000;2.024;0.84000000;0.77360000;2527514.02840000
VIDTUSDT;0.81140000;1.935;0.84000000;0.77360000;2527247.70039000
VIDTUSDT;0.81150000;1.845;0.84000000;0.77360000;2527400.73609000
VIDTUSDT;0.81360000;2.108;0.84000000;0.77360000;2528316.46923000
VIDTUSDT;0.81360000;2.108;0.84000000;0.77360000;2528316.46923000
VIDTUSDT;0.81320000;2.058;0.84000000;0.77360000;2528345.14799000
VIDTUSDT;0.81320000;2.058;0.84000000;0.77360000;2528345.14799000
VIDTUSDT;0.81270000;1.995;0.84000000;0.77360000;2528371.80455000
VIDTUSDT;0.81110000;1.795;0.84000000;0.77360000;2534778.37185000
VIDTUSDT;0.81300000;1.795;0.84000000;0.77360000;2534778.37185000
VIDTUSDT;0.81230000;1.945;0.84000000;0.77360000;2535439.84791000
VIDTUSDT;0.81230000;1.945;0.84000000;0.77360000;2535439.84791000
VIDTUSDT;0.81230000;1.945;0.84000000;0.77360000;2535439.84791000
VIDTUSDT;0.81230000;1.945;0.84000000;0.77360000;2535439.84791000
