Symbol;Price;Change24;Max24;Min24;Volume24
WANUSDT;0.72360000;7.936;0.75500000;0.66740000;4147138.65960000
WANUSDT;0.72360000;7.871;0.75500000;0.66740000;4147103.12840000
WANUSDT;0.72360000;7.711;0.75500000;0.66740000;4147080.32120000
WANUSDT;0.72300000;7.621;0.75500000;0.66740000;4147126.60070000
WANUSDT;0.72410000;7.881;0.75500000;0.66740000;4147501.63150000
WANUSDT;0.72410000;7.689;0.75500000;0.66740000;4147479.48190000
WANUSDT;0.72410000;7.689;0.75500000;0.66740000;4148210.09880000
WANUSDT;0.72410000;7.689;0.75500000;0.66740000;4148281.77470000
WANUSDT;0.72410000;7.689;0.75500000;0.66740000;4148281.77470000
WANUSDT;0.72410000;7.881;0.75500000;0.66740000;4146304.45810000
WANUSDT;0.72410000;7.881;0.75500000;0.66740000;4146304.45810000
WANUSDT;0.72410000;7.881;0.75500000;0.66740000;4144985.09940000
WANUSDT;0.72400000;7.915;0.75500000;0.66740000;4144972.37700000
WANUSDT;0.72400000;7.915;0.75500000;0.66740000;4144972.37700000
WANUSDT;0.72310000;7.781;0.75500000;0.66740000;4145080.11890000
WANUSDT;0.72360000;7.781;0.75500000;0.66740000;4145080.11890000
WANUSDT;0.72360000;7.952;0.75500000;0.66740000;4145071.89990000
WANUSDT;0.72370000;7.967;0.75500000;0.66740000;4145152.16200000
WANUSDT;0.72360000;7.807;0.75500000;0.66740000;4145644.65970000
WANUSDT;0.72370000;7.852;0.75500000;0.66740000;4145659.86160000
WANUSDT;0.72360000;8.071;0.75500000;0.66740000;4146217.19410000
WANUSDT;0.72290000;7.862;0.75500000;0.66740000;4150997.30660000
WANUSDT;0.72500000;7.847;0.75500000;0.66740000;4154557.07150000
WANUSDT;0.72500000;8.112;0.75500000;0.66740000;4154287.45830000
WANUSDT;0.72480000;8.066;0.75500000;0.66740000;4155729.25810000
WANUSDT;0.72480000;8.066;0.75500000;0.66740000;4155477.67750000
WANUSDT;0.72470000;8.051;0.75500000;0.66740000;4155506.66550000
WANUSDT;0.72470000;8.051;0.75500000;0.66740000;4155506.66550000
WANUSDT;0.72500000;7.712;0.75500000;0.66740000;4155779.05550000
WANUSDT;0.72490000;7.488;0.75500000;0.66740000;4155230.71670000
WANUSDT;0.72350000;7.281;0.75500000;0.66740000;4158791.19540000
WANUSDT;0.72470000;7.458;0.75500000;0.66740000;4158812.93640000
WANUSDT;0.72400000;7.355;0.75500000;0.66740000;4158827.43640000
WANUSDT;0.72480000;7.537;0.75500000;0.66740000;4158684.52760000
WANUSDT;0.72500000;7.567;0.75500000;0.66740000;4159618.07560000
WANUSDT;0.72510000;7.582;0.75500000;0.66740000;4159644.17670000
WANUSDT;0.72510000;7.124;0.75500000;0.66740000;4159659.75130000
WANUSDT;0.72500000;7.615;0.75500000;0.66740000;4159407.87920000
WANUSDT;0.72490000;7.456;0.75500000;0.66740000;4159636.36130000
WANUSDT;0.72500000;7.439;0.75500000;0.66740000;4159433.96760000
WANUSDT;0.72490000;7.424;0.75500000;0.66740000;4159468.03790000
WANUSDT;0.72490000;7.424;0.75500000;0.66740000;4159497.03390000
WANUSDT;0.72490000;7.504;0.75500000;0.66740000;4157649.83540000
WANUSDT;0.72490000;7.568;0.75500000;0.66740000;4158010.32430000
WANUSDT;0.72490000;7.494;0.75500000;0.66740000;4158048.00660000
WANUSDT;0.72490000;7.568;0.75500000;0.66740000;4158071.20340000
WANUSDT;0.72490000;7.568;0.75500000;0.66740000;4158092.95040000
WANUSDT;0.72490000;7.568;0.75500000;0.66740000;4158115.42230000
WANUSDT;0.72480000;7.537;0.75500000;0.66740000;4157925.67370000
WANUSDT;0.72490000;7.536;0.75500000;0.66740000;4157930.27940000
WANUSDT;0.72340000;7.536;0.75500000;0.66740000;4157957.10070000
WANUSDT;0.72490000;7.329;0.75500000;0.66740000;4157954.51900000
WANUSDT;0.72480000;7.329;0.75500000;0.66740000;4158138.35200000
WANUSDT;0.72480000;7.537;0.75500000;0.66740000;4157637.68940000
WANUSDT;0.72490000;7.393;0.75500000;0.66740000;4157657.28440000
WANUSDT;0.72340000;7.170;0.75500000;0.66740000;4157783.93790000
WANUSDT;0.72490000;7.393;0.75500000;0.66740000;4157813.65880000
WANUSDT;0.72490000;7.393;0.75500000;0.66740000;4157836.85560000
WANUSDT;0.72470000;7.252;0.75500000;0.66740000;4157866.55530000
WANUSDT;0.72480000;7.473;0.75500000;0.66740000;4158799.09710000
WANUSDT;0.72350000;7.011;0.75500000;0.66740000;4155798.85060000
WANUSDT;0.72370000;7.072;0.75500000;0.66740000;4155514.27990000
WANUSDT;0.72370000;7.072;0.75500000;0.66740000;4155514.27990000
WANUSDT;0.72400000;7.037;0.75500000;0.66740000;4156438.52150000
WANUSDT;0.72320000;6.919;0.75500000;0.66740000;4157120.65930000
WANUSDT;0.72300000;6.874;0.75500000;0.66740000;4157687.98950000
WANUSDT;0.72300000;6.874;0.75500000;0.66740000;4157687.98950000
WANUSDT;0.72300000;6.889;0.75500000;0.66740000;4157660.24250000
WANUSDT;0.72170000;6.681;0.75500000;0.66740000;4158019.78250000
WANUSDT;0.72150000;6.652;0.75500000;0.66740000;4158218.91650000
WANUSDT;0.72150000;6.652;0.75500000;0.66740000;4158218.91650000
WANUSDT;0.72170000;6.729;0.75500000;0.66740000;4158354.88900000
WANUSDT;0.72180000;6.997;0.75500000;0.66740000;4159111.40720000
WANUSDT;0.72180000;6.997;0.75500000;0.66740000;4159111.40720000
WANUSDT;0.72120000;6.844;0.75500000;0.66740000;4159238.25910000
WANUSDT;0.72120000;6.844;0.75500000;0.66740000;4159913.99790000
WANUSDT;0.72110000;6.830;0.75500000;0.66740000;4159952.21620000
WANUSDT;0.72120000;6.797;0.75500000;0.66740000;4160069.86840000
WANUSDT;0.72140000;6.795;0.75500000;0.66740000;4161034.22940000
WANUSDT;0.72130000;6.795;0.75500000;0.66740000;4161144.40010000
WANUSDT;0.72140000;6.763;0.75500000;0.66740000;4161180.73250000
WANUSDT;0.72110000;6.719;0.75500000;0.66740000;4161192.27010000
WANUSDT;0.72110000;6.719;0.75500000;0.66740000;4161192.27010000
WANUSDT;0.72110000;6.719;0.75500000;0.66740000;4161192.27010000
WANUSDT;0.72140000;6.763;0.75500000;0.66740000;4161205.25530000
WANUSDT;0.72140000;6.763;0.75500000;0.66740000;4161205.25530000
WANUSDT;0.72080000;6.675;0.75500000;0.66740000;4161565.69510000
WANUSDT;0.72000000;6.675;0.75500000;0.66740000;4161565.69510000
WANUSDT;0.72000000;6.556;0.75500000;0.66740000;4162396.00130000
WANUSDT;0.71930000;6.556;0.75500000;0.66740000;4162487.24170000
WANUSDT;0.71930000;6.453;0.75500000;0.66740000;4164162.60160000
WANUSDT;0.72060000;6.645;0.75500000;0.66740000;4164175.57240000
WANUSDT;0.72060000;6.645;0.75500000;0.66740000;4164175.57240000
WANUSDT;0.72060000;6.550;0.75500000;0.66740000;4164117.85270000
WANUSDT;0.72060000;6.550;0.75500000;0.66740000;4164117.85270000
WANUSDT;0.72060000;6.550;0.75500000;0.66740000;4164117.85270000
WANUSDT;0.72060000;6.550;0.75500000;0.66740000;4164139.46930000
WANUSDT;0.71930000;6.550;0.75500000;0.66740000;4164139.46930000
WANUSDT;0.71980000;6.228;0.75500000;0.66740000;4165011.84510000
WANUSDT;0.71980000;6.228;0.75500000;0.66740000;4165011.84510000
WANUSDT;0.71980000;6.181;0.75500000;0.66740000;4164891.18760000
WANUSDT;0.71980000;6.181;0.75500000;0.66740000;4164891.18760000
WANUSDT;0.71980000;6.165;0.75500000;0.66740000;4164887.23090000
WANUSDT;0.71770000;5.885;0.75500000;0.66740000;4165295.73410000
WANUSDT;0.71770000;5.855;0.75500000;0.66740000;4165720.61030000
WANUSDT;0.71770000;6.310;0.75500000;0.66740000;4165440.10350000
WANUSDT;0.71770000;6.405;0.75500000;0.66740000;4165413.09950000
WANUSDT;0.71890000;6.567;0.75500000;0.66740000;4165238.60900000
WANUSDT;0.71770000;6.389;0.75500000;0.66740000;4165532.14830000
WANUSDT;0.71770000;6.389;0.75500000;0.66740000;4165532.14830000
WANUSDT;0.71770000;6.468;0.75500000;0.66740000;4165614.58450000
WANUSDT;0.71760000;6.542;0.75500000;0.66740000;4165633.97590000
WANUSDT;0.71760000;6.469;0.75500000;0.66740000;4165651.78630000
WANUSDT;0.71760000;6.469;0.75500000;0.66740000;4165815.39910000
WANUSDT;0.71760000;6.469;0.75500000;0.66740000;4165815.39910000
WANUSDT;0.71750000;6.596;0.75500000;0.66740000;4165729.78430000
WANUSDT;0.71750000;6.596;0.75500000;0.66740000;4165838.12680000
WANUSDT;0.71750000;6.565;0.75500000;0.66740000;4165822.03990000
WANUSDT;0.71750000;6.565;0.75500000;0.66740000;4165862.21990000
WANUSDT;0.71730000;6.409;0.75500000;0.66740000;4166073.84700000
WANUSDT;0.71730000;6.409;0.75500000;0.66740000;4166073.84700000
WANUSDT;0.71730000;6.409;0.75500000;0.66740000;4166138.40400000
WANUSDT;0.71710000;6.505;0.75500000;0.66740000;4165898.50910000
WANUSDT;0.71710000;6.505;0.75500000;0.66740000;4165898.50910000
WANUSDT;0.71710000;6.221;0.75500000;0.66740000;4165935.61800000
WANUSDT;0.71710000;6.221;0.75500000;0.66740000;4165935.61800000
WANUSDT;0.71710000;6.221;0.75500000;0.66740000;4165975.77560000
WANUSDT;0.71710000;6.221;0.75500000;0.66740000;4166128.51790000
WANUSDT;0.71900000;6.096;0.75500000;0.66740000;4165524.63210000
WANUSDT;0.71900000;6.345;0.75500000;0.66740000;4165840.78090000
WANUSDT;0.71840000;6.256;0.75500000;0.66740000;4165883.18050000
WANUSDT;0.71930000;6.390;0.75500000;0.66740000;4165904.04020000
WANUSDT;0.71900000;6.267;0.75500000;0.66740000;4165894.50960000
WANUSDT;0.71890000;6.252;0.75500000;0.66740000;4165918.23330000
WANUSDT;0.71890000;6.252;0.75500000;0.66740000;4165966.39600000
WANUSDT;0.71880000;6.236;0.75500000;0.66740000;4165919.71060000
WANUSDT;0.71880000;6.221;0.75500000;0.66740000;4165975.77700000
WANUSDT;0.71860000;6.097;0.75500000;0.66740000;4166027.38570000
WANUSDT;0.71740000;6.097;0.75500000;0.66740000;4166083.43950000
WANUSDT;0.71870000;6.097;0.75500000;0.66740000;4166153.79800000
WANUSDT;0.71870000;6.097;0.75500000;0.66740000;4166194.76390000
WANUSDT;0.71860000;6.082;0.75500000;0.66740000;4166298.97500000
WANUSDT;0.71720000;5.875;0.75500000;0.66740000;4167303.19290000
WANUSDT;0.71860000;5.890;0.75500000;0.66740000;4168896.22810000
WANUSDT;0.71850000;6.082;0.75500000;0.66740000;4169003.15390000
WANUSDT;0.71810000;5.993;0.75500000;0.66740000;4169030.22230000
WANUSDT;0.71760000;5.919;0.75500000;0.66740000;4169106.35720000
WANUSDT;0.71770000;5.700;0.75500000;0.66740000;4168887.73750000
WANUSDT;0.71840000;5.927;0.75500000;0.66740000;4168546.15640000
WANUSDT;0.71880000;5.846;0.75500000;0.66740000;4167931.62420000
WANUSDT;0.71880000;5.846;0.75500000;0.66740000;4167099.85500000
WANUSDT;0.71880000;5.597;0.75500000;0.66740000;4165953.42430000
WANUSDT;0.71880000;5.442;0.75500000;0.66740000;4165471.95860000
WANUSDT;0.71980000;5.496;0.75500000;0.66740000;4164139.98690000
WANUSDT;0.72180000;6.116;0.75500000;0.66740000;4161559.77790000
