Symbol;Price;Change24;Max24;Min24;Volume24
WAXPUSDT;0.45590000;2.773;0.47800000;0.43350000;11726752.41400000
WAXPUSDT;0.45630000;2.796;0.47800000;0.43350000;11725573.68150000
WAXPUSDT;0.45600000;2.956;0.47800000;0.43350000;11724376.10400000
WAXPUSDT;0.45600000;2.750;0.47800000;0.43350000;11723049.02130000
WAXPUSDT;0.45560000;2.844;0.47800000;0.43350000;11716894.89330000
WAXPUSDT;0.45560000;2.821;0.47800000;0.43350000;11716845.27210000
WAXPUSDT;0.45600000;2.937;0.47800000;0.43350000;11717807.58810000
WAXPUSDT;0.45600000;2.911;0.47800000;0.43350000;11718218.39280000
WAXPUSDT;0.45570000;2.981;0.47800000;0.43350000;11717865.72570000
WAXPUSDT;0.45600000;2.981;0.47800000;0.43350000;11718788.15070000
WAXPUSDT;0.45590000;3.028;0.47800000;0.43350000;11719960.78140000
WAXPUSDT;0.45590000;2.935;0.47800000;0.43350000;11719106.79450000
WAXPUSDT;0.45560000;3.075;0.47800000;0.43350000;11720902.85770000
WAXPUSDT;0.45540000;2.985;0.47800000;0.43350000;11722798.87630000
WAXPUSDT;0.45570000;3.006;0.47800000;0.43350000;11722760.25270000
WAXPUSDT;0.45540000;2.939;0.47800000;0.43350000;11724402.96420000
WAXPUSDT;0.45540000;2.915;0.47800000;0.43350000;11728012.45480000
WAXPUSDT;0.45540000;2.985;0.47800000;0.43350000;11727848.10280000
WAXPUSDT;0.45570000;2.846;0.47800000;0.43350000;11727779.52880000
WAXPUSDT;0.45520000;2.913;0.47800000;0.43350000;11728130.75020000
WAXPUSDT;0.45520000;2.963;0.47800000;0.43350000;11732235.58780000
WAXPUSDT;0.45520000;2.963;0.47800000;0.43350000;11733183.16100000
WAXPUSDT;0.45500000;2.686;0.47800000;0.43350000;11733100.29040000
WAXPUSDT;0.45500000;2.776;0.47800000;0.43350000;11734100.34880000
WAXPUSDT;0.45520000;2.731;0.47800000;0.43350000;11741882.45810000
WAXPUSDT;0.45500000;2.570;0.47800000;0.43350000;11739735.73320000
WAXPUSDT;0.45480000;2.614;0.47800000;0.43350000;11740567.04890000
WAXPUSDT;0.45540000;2.501;0.47800000;0.43350000;11740682.98870000
WAXPUSDT;0.45480000;2.225;0.47800000;0.43350000;11715936.19230000
WAXPUSDT;0.45480000;2.202;0.47800000;0.43350000;11713262.56390000
WAXPUSDT;0.45500000;2.247;0.47800000;0.43350000;11715420.74890000
WAXPUSDT;0.45500000;2.247;0.47800000;0.43350000;11714722.84790000
WAXPUSDT;0.45520000;2.224;0.47800000;0.43350000;11713520.82730000
WAXPUSDT;0.45520000;2.200;0.47800000;0.43350000;11712733.51400000
WAXPUSDT;0.45580000;2.427;0.47800000;0.43350000;11712730.83840000
WAXPUSDT;0.45580000;2.450;0.47800000;0.43350000;11712385.57740000
