Symbol;Price;Change24;Max24;Min24;Volume24
WTCUSDT;1.01240000;-0.978;1.04330000;0.95830000;5704948.48290000
WTCUSDT;1.01220000;-0.978;1.04330000;0.95830000;5704564.23830000
WTCUSDT;1.01260000;-0.929;1.04330000;0.95830000;5702975.70910000
WTCUSDT;1.01170000;-1.027;1.04330000;0.95830000;5710937.10220000
WTCUSDT;1.01170000;-1.027;1.04330000;0.95830000;5711792.61190000
WTCUSDT;1.01240000;-0.949;1.04330000;0.95830000;5711675.75210000
WTCUSDT;1.01240000;-0.354;1.04330000;0.95830000;5698110.31310000
WTCUSDT;1.01140000;-0.658;1.04330000;0.95830000;5697794.43540000
WTCUSDT;1.01080000;-0.629;1.04330000;0.95830000;5697518.55940000
WTCUSDT;1.01130000;-0.649;1.04330000;0.95830000;5711647.27760000
WTCUSDT;1.01030000;-0.912;1.04330000;0.95830000;5712218.65040000
WTCUSDT;1.01030000;-0.717;1.04330000;0.95830000;5709946.49490000
WTCUSDT;1.01030000;-0.873;1.04330000;0.95830000;5708751.32790000
WTCUSDT;1.01030000;-0.786;1.04330000;0.95830000;5710475.10670000
WTCUSDT;1.01030000;-0.776;1.04330000;0.95830000;5709112.18460000
WTCUSDT;1.01030000;-0.776;1.04330000;0.95830000;5709112.18460000
WTCUSDT;1.01020000;-1.077;1.04330000;0.95830000;5701828.34610000
WTCUSDT;1.01020000;-1.077;1.04330000;0.95830000;5701828.34610000
WTCUSDT;1.01020000;-1.077;1.04330000;0.95830000;5701828.34610000
WTCUSDT;1.01020000;-1.106;1.04330000;0.95830000;5696299.69020000
WTCUSDT;1.01020000;-1.097;1.04330000;0.95830000;5732984.84140000
WTCUSDT;1.01020000;-1.097;1.04330000;0.95830000;5732984.84140000
WTCUSDT;1.01020000;-1.164;1.04330000;0.95830000;5731371.62900000
WTCUSDT;1.01030000;-0.980;1.04330000;0.95830000;5731007.08710000
WTCUSDT;1.01040000;-1.135;1.04330000;0.95830000;5729986.92810000
WTCUSDT;1.01050000;-1.212;1.04330000;0.95830000;5723042.81720000
WTCUSDT;1.01020000;-1.251;1.04330000;0.95830000;5722159.61490000
WTCUSDT;1.01020000;-1.386;1.04330000;0.95830000;5716586.62130000
WTCUSDT;1.01050000;-1.328;1.04330000;0.95830000;5713274.68590000
WTCUSDT;1.01050000;-1.328;1.04330000;0.95830000;5713274.68590000
WTCUSDT;1.01070000;-1.183;1.04330000;0.95830000;5705956.22320000
WTCUSDT;1.01110000;-1.318;1.04330000;0.95830000;5705119.97130000
WTCUSDT;1.01300000;-1.548;1.04330000;0.95830000;5699452.15700000
