Symbol;Price;Change24;Max24;Min24;Volume24
XLMUSDT;0.27300000;-0.256;0.27900000;0.26060000;22287048.58300000
XLMUSDT;0.27300000;-0.183;0.27900000;0.26060000;22282873.68230000
XLMUSDT;0.27310000;-0.183;0.27900000;0.26060000;22279602.20140000
XLMUSDT;0.27290000;-0.219;0.27900000;0.26060000;22276712.39210000
XLMUSDT;0.27310000;-0.146;0.27900000;0.26060000;22278444.25590000
XLMUSDT;0.27290000;-0.146;0.27900000;0.26060000;22278058.20410000
XLMUSDT;0.27310000;0.000;0.27900000;0.26060000;22275948.69080000
XLMUSDT;0.27300000;-0.110;0.27900000;0.26060000;22275695.48500000
XLMUSDT;0.27290000;-0.110;0.27900000;0.26060000;22273592.48610000
XLMUSDT;0.27300000;-0.110;0.27900000;0.26060000;22272454.23220000
XLMUSDT;0.27300000;-0.183;0.27900000;0.26060000;22271470.36540000
XLMUSDT;0.27300000;-0.146;0.27900000;0.26060000;22271228.51130000
XLMUSDT;0.27260000;-0.146;0.27900000;0.26060000;22273115.11380000
XLMUSDT;0.27250000;-0.256;0.27900000;0.26060000;22272361.16040000
XLMUSDT;0.27250000;-0.220;0.27900000;0.26060000;22276757.42370000
XLMUSDT;0.27240000;-0.366;0.27900000;0.26060000;22279098.51800000
XLMUSDT;0.27240000;-0.402;0.27900000;0.26060000;22278044.46940000
XLMUSDT;0.27240000;-0.439;0.27900000;0.26060000;22278567.44210000
XLMUSDT;0.27240000;-0.402;0.27900000;0.26060000;22278160.85140000
XLMUSDT;0.27200000;-0.475;0.27900000;0.26060000;22279036.41100000
XLMUSDT;0.27200000;-0.476;0.27900000;0.26060000;22292236.10160000
XLMUSDT;0.27200000;-0.512;0.27900000;0.26060000;22291039.31270000
XLMUSDT;0.27220000;-0.439;0.27900000;0.26060000;22285645.91600000
XLMUSDT;0.27240000;-0.366;0.27900000;0.26060000;22280277.29030000
XLMUSDT;0.27220000;-0.366;0.27900000;0.26060000;22280058.67860000
XLMUSDT;0.27230000;-0.729;0.27900000;0.26060000;22233444.30600000
XLMUSDT;0.27220000;-0.874;0.27900000;0.26060000;22232209.69980000
XLMUSDT;0.27230000;-0.838;0.27900000;0.26060000;22229881.37330000
XLMUSDT;0.27220000;-0.838;0.27900000;0.26060000;22226575.17890000
XLMUSDT;0.27190000;-0.839;0.27900000;0.26060000;22220778.11550000
XLMUSDT;0.27230000;-0.584;0.27900000;0.26060000;22228762.73120000
XLMUSDT;0.27240000;-0.620;0.27900000;0.26060000;22222508.68250000
XLMUSDT;0.27240000;-0.475;0.27900000;0.26060000;22221415.48120000
XLMUSDT;0.27240000;-0.511;0.27900000;0.26060000;22216839.12290000
XLMUSDT;0.27240000;-0.620;0.27900000;0.26060000;22215804.82920000
XLMUSDT;0.27240000;-0.475;0.27900000;0.26060000;22214155.81090000
XLMUSDT;0.27240000;-0.402;0.27900000;0.26060000;22213368.59060000
XLMUSDT;0.27240000;-0.329;0.27900000;0.26060000;22207432.70980000
XLMUSDT;0.27230000;-0.548;0.27900000;0.26060000;22200849.24810000
XLMUSDT;0.27230000;-0.475;0.27900000;0.26060000;22204441.45630000
XLMUSDT;0.27240000;-0.293;0.27900000;0.26060000;22203280.01520000
XLMUSDT;0.27240000;-0.329;0.27900000;0.26060000;22201695.65570000
XLMUSDT;0.27240000;-0.402;0.27900000;0.26060000;22199441.02130000
XLMUSDT;0.27250000;-0.329;0.27900000;0.26060000;22199205.71110000
XLMUSDT;0.27240000;-0.402;0.27900000;0.26060000;22200336.93660000
XLMUSDT;0.27270000;-0.293;0.27900000;0.26060000;22210526.55900000
XLMUSDT;0.27260000;-0.110;0.27900000;0.26060000;22205253.28800000
XLMUSDT;0.27270000;-0.110;0.27900000;0.26060000;22201542.50590000
XLMUSDT;0.27270000;-0.146;0.27900000;0.26060000;22201541.57470000
XLMUSDT;0.27270000;-0.220;0.27900000;0.26060000;22198508.43480000
XLMUSDT;0.27250000;-0.293;0.27900000;0.26060000;22199087.67160000
XLMUSDT;0.27260000;-0.293;0.27900000;0.26060000;22199344.56690000
XLMUSDT;0.27260000;-0.256;0.27900000;0.26060000;22199553.39320000
XLMUSDT;0.27260000;-0.220;0.27900000;0.26060000;22198861.55570000
XLMUSDT;0.27260000;-0.293;0.27900000;0.26060000;22198496.21120000
XLMUSDT;0.27250000;-0.329;0.27900000;0.26060000;22198757.54870000
XLMUSDT;0.27270000;-0.293;0.27900000;0.26060000;22199037.65670000
XLMUSDT;0.27260000;-0.329;0.27900000;0.26060000;22197400.05780000
XLMUSDT;0.27260000;-0.402;0.27900000;0.26060000;22198603.49420000
XLMUSDT;0.27260000;-0.475;0.27900000;0.26060000;22196946.62450000
XLMUSDT;0.27300000;-0.510;0.27900000;0.26060000;22194007.92060000
XLMUSDT;0.27290000;-0.583;0.27900000;0.26060000;22154312.13000000
XLMUSDT;0.27280000;-0.655;0.27900000;0.26060000;22153887.29080000
XLMUSDT;0.27280000;-0.510;0.27900000;0.26060000;22149465.34080000
XLMUSDT;0.27270000;-0.620;0.27900000;0.26060000;22150881.87420000
XLMUSDT;0.27230000;-0.402;0.27900000;0.26060000;22137693.25260000
XLMUSDT;0.27240000;-0.256;0.27900000;0.26060000;22129803.87640000
XLMUSDT;0.27240000;-0.256;0.27900000;0.26060000;22116825.48900000
XLMUSDT;0.27260000;-0.402;0.27900000;0.26060000;22058492.54880000
XLMUSDT;0.27260000;-0.438;0.27900000;0.26060000;22058172.19320000
XLMUSDT;0.27250000;-0.438;0.27900000;0.26060000;22059949.29820000
XLMUSDT;0.27240000;-0.873;0.27900000;0.26060000;22032168.91180000
XLMUSDT;0.27180000;-0.911;0.27900000;0.26060000;22043988.79940000
XLMUSDT;0.27180000;-0.803;0.27900000;0.26060000;22038984.14010000
XLMUSDT;0.27190000;-0.875;0.27900000;0.26060000;22041615.58010000
XLMUSDT;0.27190000;-0.875;0.27900000;0.26060000;22043617.87880000
XLMUSDT;0.27180000;-0.912;0.27900000;0.26060000;22042266.16220000
XLMUSDT;0.27180000;-0.694;0.27900000;0.26060000;22026952.17520000
XLMUSDT;0.27200000;-0.548;0.27900000;0.26060000;22023787.50510000
XLMUSDT;0.27210000;-0.585;0.27900000;0.26060000;22013215.60060000
XLMUSDT;0.27230000;-0.620;0.27900000;0.26060000;22005085.15540000
XLMUSDT;0.27230000;-0.657;0.27900000;0.26060000;22005089.38160000
XLMUSDT;0.27230000;-0.693;0.27900000;0.26060000;22005203.11140000
XLMUSDT;0.27230000;-0.693;0.27900000;0.26060000;22004271.16030000
XLMUSDT;0.27220000;-0.693;0.27900000;0.26060000;22003589.34410000
XLMUSDT;0.27240000;-0.729;0.27900000;0.26060000;22005322.39530000
XLMUSDT;0.27240000;-0.765;0.27900000;0.26060000;22004725.63000000
XLMUSDT;0.27210000;-0.838;0.27900000;0.26060000;22003467.65510000
XLMUSDT;0.27220000;-0.838;0.27900000;0.26060000;22005589.85700000
XLMUSDT;0.27220000;-0.874;0.27900000;0.26060000;22007602.52340000
XLMUSDT;0.27220000;-0.874;0.27900000;0.26060000;22013287.77750000
XLMUSDT;0.27220000;-0.874;0.27900000;0.26060000;22013872.86710000
XLMUSDT;0.27200000;-0.910;0.27900000;0.26060000;22013888.01650000
XLMUSDT;0.27180000;-0.948;0.27900000;0.26060000;22022882.29710000
XLMUSDT;0.27180000;-1.020;0.27900000;0.26060000;22022489.92400000
XLMUSDT;0.27170000;-1.092;0.27900000;0.26060000;22021362.78900000
XLMUSDT;0.27190000;-1.092;0.27900000;0.26060000;22020231.88400000
XLMUSDT;0.27160000;-1.200;0.27900000;0.26060000;22021733.35240000
XLMUSDT;0.27150000;-1.344;0.27900000;0.26060000;22014900.96190000
XLMUSDT;0.27140000;-1.416;0.27900000;0.26060000;22007719.29660000
XLMUSDT;0.27130000;-1.525;0.27900000;0.26060000;22011757.63930000
XLMUSDT;0.27130000;-1.560;0.27900000;0.26060000;22012806.96530000
XLMUSDT;0.27150000;-1.559;0.27900000;0.26060000;22012603.98300000
XLMUSDT;0.27130000;-1.523;0.27900000;0.26060000;22010383.18040000
XLMUSDT;0.27130000;-1.596;0.27900000;0.26060000;22011592.18300000
XLMUSDT;0.27140000;-1.417;0.27900000;0.26060000;22005962.57540000
XLMUSDT;0.27130000;-1.417;0.27900000;0.26060000;22011578.03180000
XLMUSDT;0.27130000;-1.452;0.27900000;0.26060000;22009565.96140000
XLMUSDT;0.27150000;-1.452;0.27900000;0.26060000;22009934.56410000
XLMUSDT;0.27170000;-1.451;0.27900000;0.26060000;22013207.51800000
XLMUSDT;0.27170000;-1.451;0.27900000;0.26060000;22015296.77960000
XLMUSDT;0.27160000;-1.379;0.27900000;0.26060000;22015480.29540000
XLMUSDT;0.27160000;-1.380;0.27900000;0.26060000;22019466.23490000
XLMUSDT;0.27170000;-1.308;0.27900000;0.26060000;22020662.16650000
XLMUSDT;0.27180000;-1.307;0.27900000;0.26060000;22025678.08610000
XLMUSDT;0.27190000;-1.199;0.27900000;0.26060000;22026213.84470000
XLMUSDT;0.27180000;-1.200;0.27900000;0.26060000;22026830.17930000
XLMUSDT;0.27180000;-1.128;0.27900000;0.26060000;22027125.92890000
XLMUSDT;0.27180000;-1.092;0.27900000;0.26060000;22023921.93170000
XLMUSDT;0.27190000;-1.127;0.27900000;0.26060000;22024036.97870000
XLMUSDT;0.27200000;-1.019;0.27900000;0.26060000;22025011.77770000
XLMUSDT;0.27180000;-1.092;0.27900000;0.26060000;22023969.93530000
XLMUSDT;0.27180000;-1.020;0.27900000;0.26060000;22024708.19230000
XLMUSDT;0.27170000;-1.164;0.27900000;0.26060000;22026894.68210000
XLMUSDT;0.27170000;-1.200;0.27900000;0.26060000;22027354.68650000
XLMUSDT;0.27170000;-1.272;0.27900000;0.26060000;22025178.60600000
XLMUSDT;0.27180000;-1.200;0.27900000;0.26060000;22025584.56980000
XLMUSDT;0.27180000;-1.164;0.27900000;0.26060000;22024455.91580000
XLMUSDT;0.27230000;-1.126;0.27900000;0.26060000;22027257.34350000
XLMUSDT;0.27230000;-1.162;0.27900000;0.26060000;22019995.75160000
XLMUSDT;0.27210000;-1.162;0.27900000;0.26060000;22020126.21700000
XLMUSDT;0.27230000;-1.090;0.27900000;0.26060000;22011104.05190000
XLMUSDT;0.27220000;-1.126;0.27900000;0.26060000;22018550.44830000
XLMUSDT;0.27220000;-1.126;0.27900000;0.26060000;22018553.55290000
XLMUSDT;0.27240000;-1.162;0.27900000;0.26060000;22022125.46250000
XLMUSDT;0.27250000;-1.125;0.27900000;0.26060000;22022355.36810000
XLMUSDT;0.27230000;-1.126;0.27900000;0.26060000;22022809.19580000
XLMUSDT;0.27230000;-1.089;0.27900000;0.26060000;22026791.88430000
XLMUSDT;0.27220000;-1.198;0.27900000;0.26060000;22028469.26840000
XLMUSDT;0.27240000;-1.161;0.27900000;0.26060000;22029801.36360000
XLMUSDT;0.27280000;-1.233;0.27900000;0.26060000;22000265.62260000
XLMUSDT;0.27260000;-1.232;0.27900000;0.26060000;22000890.78690000
XLMUSDT;0.27280000;-1.267;0.27900000;0.26060000;21999049.27960000
XLMUSDT;0.27280000;-1.267;0.27900000;0.26060000;22004328.34750000
XLMUSDT;0.27280000;-1.195;0.27900000;0.26060000;22003442.96270000
XLMUSDT;0.27280000;-1.088;0.27900000;0.26060000;21994030.00100000
XLMUSDT;0.27280000;-1.123;0.27900000;0.26060000;21991007.45690000
XLMUSDT;0.27290000;-1.302;0.27900000;0.26060000;21987464.23760000
XLMUSDT;0.27290000;-1.409;0.27900000;0.26060000;21981400.98850000
XLMUSDT;0.27290000;-1.231;0.27900000;0.26060000;21963180.87350000
XLMUSDT;0.27270000;-1.302;0.27900000;0.26060000;21955436.46300000
XLMUSDT;0.27280000;-1.410;0.27900000;0.26060000;21948135.17410000
XLMUSDT;0.27270000;-1.517;0.27900000;0.26060000;21944119.50840000
XLMUSDT;0.27270000;-1.517;0.27900000;0.26060000;21933430.07560000
XLMUSDT;0.27270000;-1.517;0.27900000;0.26060000;21926987.33890000
XLMUSDT;0.27240000;-1.554;0.27900000;0.26060000;21944560.80890000
XLMUSDT;0.27230000;-1.626;0.27900000;0.26060000;21944710.01390000
XLMUSDT;0.27260000;-1.518;0.27900000;0.26060000;21940802.52630000
XLMUSDT;0.27260000;-1.446;0.27900000;0.26060000;21930466.92690000
