Symbol;Price;Change24;Max24;Min24;Volume24
XMRUSDT;225.30000000;8.683;227.70000000;206.80000000;21620335.02240000
XMRUSDT;225.20000000;8.683;227.70000000;206.80000000;21622086.01910000
XMRUSDT;225.20000000;8.635;227.70000000;206.80000000;21622107.63830000
XMRUSDT;225.20000000;8.687;227.70000000;206.80000000;21621920.79570000
XMRUSDT;225.20000000;8.687;227.70000000;206.80000000;21621889.92290000
XMRUSDT;225.20000000;8.740;227.70000000;206.80000000;21617751.79020000
XMRUSDT;225.20000000;8.792;227.70000000;206.80000000;21611764.11580000
XMRUSDT;225.10000000;8.639;227.70000000;206.80000000;21610209.88580000
XMRUSDT;225.20000000;8.744;227.70000000;206.80000000;21610454.93430000
XMRUSDT;225.10000000;8.792;227.70000000;206.80000000;21610860.53470000
XMRUSDT;225.10000000;8.687;227.70000000;206.80000000;21589615.48480000
XMRUSDT;225.10000000;8.797;227.70000000;206.80000000;21585149.70310000
XMRUSDT;225.30000000;8.946;227.70000000;206.80000000;21587458.99360000
XMRUSDT;225.40000000;8.946;227.70000000;206.80000000;21586581.03110000
XMRUSDT;225.40000000;8.942;227.70000000;206.90000000;21592757.15510000
XMRUSDT;225.40000000;8.942;227.70000000;206.90000000;21592803.81290000
XMRUSDT;225.40000000;8.784;227.70000000;207.00000000;21587376.33570000
XMRUSDT;225.40000000;8.784;227.70000000;207.00000000;21586516.66290000
XMRUSDT;225.70000000;8.981;227.70000000;207.00000000;21597485.90490000
XMRUSDT;225.70000000;8.981;227.70000000;207.00000000;21597915.71300000
XMRUSDT;225.90000000;8.977;227.70000000;207.00000000;21627350.27830000
XMRUSDT;225.90000000;8.977;227.70000000;207.00000000;21632824.36910000
XMRUSDT;226.00000000;9.073;227.70000000;207.20000000;21631021.94730000
XMRUSDT;226.30000000;9.073;227.70000000;207.20000000;21631024.55750000
XMRUSDT;226.30000000;9.065;227.70000000;207.20000000;21676459.38500000
XMRUSDT;226.40000000;8.742;227.70000000;207.20000000;21643334.74900000
XMRUSDT;226.40000000;8.794;227.70000000;207.20000000;21643192.11100000
XMRUSDT;226.40000000;8.794;227.70000000;207.20000000;21642083.08880000
XMRUSDT;226.50000000;8.846;227.70000000;207.20000000;21642016.69780000
XMRUSDT;226.50000000;8.947;227.70000000;207.20000000;21631142.95460000
XMRUSDT;226.40000000;9.003;227.70000000;207.20000000;21630045.36850000
XMRUSDT;226.00000000;8.710;227.70000000;207.20000000;21644270.56780000
XMRUSDT;226.20000000;8.855;227.70000000;207.20000000;21655232.88770000
XMRUSDT;226.40000000;8.951;227.70000000;207.20000000;21682223.12550000
XMRUSDT;226.40000000;8.951;227.70000000;207.20000000;21682223.12550000
XMRUSDT;226.40000000;9.104;227.70000000;207.20000000;21678940.51950000
XMRUSDT;226.40000000;9.056;227.70000000;207.20000000;21679898.43620000
XMRUSDT;226.40000000;9.108;227.70000000;207.40000000;21679263.45960000
XMRUSDT;226.30000000;9.008;227.70000000;207.40000000;21675576.84920000
XMRUSDT;226.10000000;8.911;227.70000000;207.40000000;21679788.99030000
XMRUSDT;226.10000000;8.911;227.70000000;207.40000000;21679351.16190000
XMRUSDT;226.20000000;9.012;227.70000000;207.40000000;21684349.07990000
XMRUSDT;226.20000000;9.012;227.70000000;207.40000000;21684349.07990000
XMRUSDT;226.00000000;9.012;227.70000000;207.40000000;21684349.07990000
XMRUSDT;226.00000000;8.968;227.70000000;207.40000000;21682198.36280000
XMRUSDT;226.00000000;8.968;227.70000000;207.40000000;21682757.26080000
XMRUSDT;226.00000000;8.968;227.70000000;207.40000000;21685446.27780000
XMRUSDT;226.00000000;8.968;227.70000000;207.40000000;21684576.23480000
XMRUSDT;225.80000000;8.819;227.70000000;207.50000000;21683702.83460000
XMRUSDT;225.80000000;8.819;227.70000000;207.50000000;21683702.83460000
XMRUSDT;225.70000000;8.714;227.70000000;207.50000000;21681072.09720000
XMRUSDT;225.70000000;8.666;227.70000000;207.50000000;21681717.92320000
XMRUSDT;225.70000000;8.666;227.70000000;207.50000000;21674722.17380000
XMRUSDT;225.70000000;8.666;227.70000000;207.50000000;21674722.17380000
XMRUSDT;225.50000000;8.566;227.70000000;207.50000000;21674322.18220000
XMRUSDT;225.40000000;8.518;227.70000000;207.50000000;21676802.24490000
XMRUSDT;225.40000000;8.470;227.70000000;207.50000000;21677066.43760000
XMRUSDT;225.20000000;8.369;227.70000000;207.50000000;21677372.07380000
XMRUSDT;225.30000000;8.369;227.70000000;207.50000000;21677613.79680000
XMRUSDT;225.20000000;8.265;227.70000000;207.50000000;21676952.15900000
XMRUSDT;225.60000000;8.050;227.70000000;207.50000000;21655204.48620000
XMRUSDT;225.60000000;8.253;227.70000000;207.50000000;21678543.76190000
XMRUSDT;225.60000000;8.253;227.70000000;207.50000000;21676555.67070000
XMRUSDT;225.60000000;8.253;227.70000000;207.50000000;21676676.54470000
XMRUSDT;225.50000000;8.205;227.70000000;207.50000000;21681052.37220000
XMRUSDT;225.40000000;8.261;227.70000000;207.50000000;21676294.19060000
XMRUSDT;225.20000000;8.426;227.70000000;207.50000000;21674894.02520000
XMRUSDT;225.20000000;8.426;227.70000000;207.50000000;21674853.10830000
XMRUSDT;225.20000000;8.373;227.70000000;207.50000000;21669799.99820000
XMRUSDT;225.20000000;8.321;227.70000000;207.50000000;21669428.51340000
XMRUSDT;225.10000000;8.273;227.70000000;207.50000000;21668622.43640000
XMRUSDT;224.70000000;8.125;227.70000000;207.50000000;21669126.92360000
XMRUSDT;223.70000000;7.707;227.70000000;207.50000000;21783461.94240000
XMRUSDT;223.90000000;7.855;227.70000000;207.50000000;21793905.24920000
XMRUSDT;224.20000000;7.944;227.70000000;207.50000000;21815552.41400000
XMRUSDT;224.20000000;7.892;227.70000000;207.50000000;21815105.02820000
XMRUSDT;224.20000000;7.944;227.70000000;207.50000000;21811116.28600000
XMRUSDT;224.20000000;7.996;227.70000000;207.50000000;21812546.15500000
XMRUSDT;224.00000000;7.900;227.70000000;207.50000000;21824901.83020000
XMRUSDT;224.10000000;7.844;227.70000000;207.50000000;21828209.89210000
XMRUSDT;224.00000000;7.744;227.70000000;207.50000000;21830032.57810000
XMRUSDT;224.00000000;7.744;227.70000000;207.50000000;21830032.57810000
XMRUSDT;223.80000000;7.692;227.70000000;207.50000000;21829856.69470000
XMRUSDT;223.80000000;7.596;227.70000000;207.50000000;21836955.21130000
XMRUSDT;223.90000000;7.596;227.70000000;207.50000000;21836749.26970000
XMRUSDT;223.50000000;7.596;227.70000000;207.50000000;21840739.19610000
