Symbol;Price;Change24;Max24;Min24;Volume24
XRPDOWNUSDT;0.00091780;-2.610;0.00102570;0.00088000;1339880.24482931
XRPDOWNUSDT;0.00091780;-2.610;0.00102570;0.00088000;1339997.33414635
XRPDOWNUSDT;0.00091780;-2.610;0.00102570;0.00088000;1340029.79165691
XRPDOWNUSDT;0.00091780;-2.610;0.00102570;0.00088000;1340029.79165691
XRPDOWNUSDT;0.00091780;-2.621;0.00102570;0.00088000;1340001.95911688
XRPDOWNUSDT;0.00091780;-2.621;0.00102570;0.00088000;1340001.95911688
XRPDOWNUSDT;0.00091780;-2.621;0.00102570;0.00088000;1340001.95911688
XRPDOWNUSDT;0.00091780;-2.878;0.00102570;0.00088000;1338659.02109205
XRPDOWNUSDT;0.00091780;-2.878;0.00102570;0.00088000;1338659.02109205
XRPDOWNUSDT;0.00091790;-2.868;0.00102570;0.00088000;1338691.99315235
XRPDOWNUSDT;0.00091790;-2.703;0.00102570;0.00088000;1338477.03133255
XRPDOWNUSDT;0.00091790;-2.703;0.00102570;0.00088000;1338477.03133255
XRPDOWNUSDT;0.00092100;-2.374;0.00102570;0.00088000;1340221.33335907
XRPDOWNUSDT;0.00092420;-2.035;0.00102570;0.00088000;1340630.67595929
XRPDOWNUSDT;0.00092420;-2.035;0.00102570;0.00088000;1340630.67595929
XRPDOWNUSDT;0.00092400;-2.056;0.00102570;0.00088000;1341014.36779089
XRPDOWNUSDT;0.00092530;-1.952;0.00102570;0.00088000;1340914.36779656
XRPDOWNUSDT;0.00092530;-1.804;0.00102570;0.00088000;1340930.67635159
XRPDOWNUSDT;0.00092530;-1.804;0.00102570;0.00088000;1340930.67635159
XRPDOWNUSDT;0.00092530;-1.804;0.00102570;0.00088000;1342027.65098029
XRPDOWNUSDT;0.00092530;-1.804;0.00102570;0.00088000;1342156.82828254
XRPDOWNUSDT;0.00092530;-1.919;0.00102570;0.00088000;1340634.42098981
XRPDOWNUSDT;0.00092530;-1.794;0.00102570;0.00088000;1340264.97020653
XRPDOWNUSDT;0.00092530;-1.794;0.00102570;0.00088000;1340264.97020653
XRPDOWNUSDT;0.00092400;-1.744;0.00102570;0.00088000;1340505.02595433
XRPDOWNUSDT;0.00091990;-2.076;0.00102570;0.00088000;1340090.87711916
XRPDOWNUSDT;0.00091990;-1.898;0.00102570;0.00088000;1339051.91723071
XRPDOWNUSDT;0.00092040;-2.106;0.00102570;0.00088000;1339423.55205292
XRPDOWNUSDT;0.00092040;-1.887;0.00102570;0.00088000;1335787.56017189
XRPDOWNUSDT;0.00092270;-1.558;0.00102570;0.00088000;1335722.73461690
XRPDOWNUSDT;0.00092270;-1.558;0.00102570;0.00088000;1335722.73461690
XRPDOWNUSDT;0.00091770;-1.305;0.00102570;0.00088000;1335103.21387070
XRPDOWNUSDT;0.00091800;-1.797;0.00102570;0.00088000;1335378.53278661
