Symbol;Price;Change24;Max24;Min24;Volume24
XRPUPUSDT;2.25730000;2.140;2.32690000;2.04920000;1809729.32848300
XRPUPUSDT;2.25730000;2.140;2.32690000;2.04920000;1809729.32848300
XRPUPUSDT;2.25730000;2.011;2.32690000;2.04920000;1809700.90788300
XRPUPUSDT;2.25730000;2.372;2.32690000;2.04920000;1809639.39204300
XRPUPUSDT;2.25730000;2.372;2.32690000;2.04920000;1809639.39204300
XRPUPUSDT;2.25730000;2.372;2.32690000;2.04920000;1809639.39204300
XRPUPUSDT;2.25730000;2.372;2.32690000;2.04920000;1809639.39204300
XRPUPUSDT;2.25730000;2.122;2.32690000;2.04920000;1804262.20595800
XRPUPUSDT;2.25730000;2.122;2.32690000;2.04920000;1804262.20595800
XRPUPUSDT;2.25730000;2.270;2.32690000;2.04920000;1800322.70058000
XRPUPUSDT;2.25730000;2.256;2.32690000;2.04920000;1797858.50421700
XRPUPUSDT;2.25730000;2.150;2.32690000;2.04920000;1796607.59397700
XRPUPUSDT;2.24820000;2.605;2.32690000;2.04920000;1793005.26166600
XRPUPUSDT;2.24710000;1.909;2.32690000;2.04920000;1790773.98599900
XRPUPUSDT;2.24710000;2.048;2.32690000;2.04920000;1788406.43190800
XRPUPUSDT;2.24710000;2.003;2.32690000;2.04920000;1787248.71723000
XRPUPUSDT;2.24240000;1.717;2.32690000;2.04920000;1788449.22491300
XRPUPUSDT;2.24480000;1.727;2.32690000;2.04920000;1788727.48313700
XRPUPUSDT;2.24380000;1.681;2.32690000;2.04920000;1791033.89115500
XRPUPUSDT;2.24000000;1.681;2.32690000;2.04920000;1791033.89115500
XRPUPUSDT;2.24060000;1.536;2.32690000;2.04920000;1794541.19722500
XRPUPUSDT;2.24060000;1.536;2.32690000;2.04920000;1794541.19722500
XRPUPUSDT;2.24060000;1.536;2.32690000;2.04920000;1793009.96809500
XRPUPUSDT;2.24060000;1.412;2.32690000;2.04920000;1792739.20600500
XRPUPUSDT;2.24060000;1.385;2.32690000;2.04920000;1792488.09719500
XRPUPUSDT;2.24400000;1.140;2.32690000;2.04920000;1789698.08477400
XRPUPUSDT;2.25000000;1.493;2.32690000;2.04920000;1787798.00596200
XRPUPUSDT;2.25000000;1.654;2.32690000;2.04920000;1787565.23146200
XRPUPUSDT;2.25000000;1.709;2.32690000;2.04920000;1786817.55370400
XRPUPUSDT;2.25000000;1.709;2.32690000;2.04920000;1786817.55370400
XRPUPUSDT;2.24550000;1.094;2.32690000;2.04920000;1786911.16927400
XRPUPUSDT;2.24550000;1.258;2.32690000;2.04920000;1786791.87023600
XRPUPUSDT;2.25320000;1.573;2.32690000;2.04920000;1786738.43274800
XRPUPUSDT;2.25320000;1.573;2.32690000;2.04920000;1786738.43274800
XRPUPUSDT;2.25320000;1.550;2.32690000;2.04920000;1786658.04155600
XRPUPUSDT;2.25320000;1.550;2.32690000;2.04920000;1786658.04155600
XRPUPUSDT;2.25320000;1.587;2.32690000;2.04920000;1786425.06755600
XRPUPUSDT;2.25480000;1.659;2.32690000;2.04920000;1786456.47692000
