Symbol;Price;Change24;Max24;Min24;Volume24
XRPUSDT;0.84020000;0.973;0.85300000;0.80200000;228352515.68050000
XRPUSDT;0.84030000;1.070;0.85300000;0.80200000;228224906.93130000
XRPUSDT;0.84040000;1.070;0.85300000;0.80200000;228168356.55040000
XRPUSDT;0.84020000;1.022;0.85300000;0.80200000;228148532.15440000
XRPUSDT;0.84010000;1.071;0.85300000;0.80200000;228193537.64670000
XRPUSDT;0.84000000;1.107;0.85300000;0.80200000;228178454.34860000
XRPUSDT;0.84000000;1.205;0.85300000;0.80200000;228156833.44440000
XRPUSDT;0.83960000;1.023;0.85300000;0.80200000;228119253.63180000
XRPUSDT;0.83960000;1.083;0.85300000;0.80200000;228110673.20560000
XRPUSDT;0.84000000;1.059;0.85300000;0.80200000;228110705.93520000
XRPUSDT;0.83980000;1.047;0.85300000;0.80200000;228087483.81420000
XRPUSDT;0.83960000;1.071;0.85300000;0.80200000;228032173.86540000
XRPUSDT;0.83900000;1.096;0.85300000;0.80200000;228074217.73540000
XRPUSDT;0.83870000;0.927;0.85300000;0.80200000;228086413.54970000
XRPUSDT;0.83840000;0.988;0.85300000;0.80200000;228044168.52060000
XRPUSDT;0.83860000;0.975;0.85300000;0.80200000;228096951.94450000
XRPUSDT;0.83760000;0.782;0.85300000;0.80200000;228177114.33180000
XRPUSDT;0.83810000;0.745;0.85300000;0.80200000;228179679.69400000
XRPUSDT;0.83830000;0.842;0.85300000;0.80200000;228209980.88280000
XRPUSDT;0.83710000;0.722;0.85300000;0.80200000;228203624.20790000
XRPUSDT;0.83780000;0.818;0.85300000;0.80200000;228161420.04810000
XRPUSDT;0.83780000;0.843;0.85300000;0.80200000;228206182.82370000
XRPUSDT;0.83780000;0.867;0.85300000;0.80200000;228226839.79360000
XRPUSDT;0.83810000;0.879;0.85300000;0.80200000;228219460.40210000
XRPUSDT;0.83860000;0.878;0.85300000;0.80200000;228207647.29430000
XRPUSDT;0.83880000;0.720;0.85300000;0.80200000;228129971.61570000
XRPUSDT;0.83850000;0.648;0.85300000;0.80200000;228109205.65960000
XRPUSDT;0.83880000;0.696;0.85300000;0.80200000;228083442.07290000
XRPUSDT;0.83900000;0.745;0.85300000;0.80200000;227980011.52560000
XRPUSDT;0.83900000;0.854;0.85300000;0.80200000;227959643.56460000
XRPUSDT;0.83960000;0.817;0.85300000;0.80200000;227951324.34560000
XRPUSDT;0.83950000;0.793;0.85300000;0.80200000;227748198.79040000
XRPUSDT;0.83970000;0.768;0.85300000;0.80200000;227729586.47730000
XRPUSDT;0.83960000;0.744;0.85300000;0.80200000;227712680.39830000
XRPUSDT;0.83970000;0.696;0.85300000;0.80200000;227708446.33720000
XRPUSDT;0.83970000;0.816;0.85300000;0.80200000;227474355.66330000
XRPUSDT;0.83970000;0.817;0.85300000;0.80200000;227420769.25650000
XRPUSDT;0.83980000;0.913;0.85300000;0.80200000;227357461.47150000
XRPUSDT;0.83990000;0.792;0.85300000;0.80200000;227265523.07160000
XRPUSDT;0.84010000;0.925;0.85300000;0.80200000;227244284.28940000
XRPUSDT;0.84030000;0.913;0.85300000;0.80200000;227190628.55310000
XRPUSDT;0.83980000;0.804;0.85300000;0.80200000;226711769.69660000
XRPUSDT;0.84000000;0.768;0.85300000;0.80200000;226667774.90070000
XRPUSDT;0.83980000;0.804;0.85300000;0.80200000;226678062.14500000
XRPUSDT;0.84020000;0.852;0.85300000;0.80200000;226671481.19470000
XRPUSDT;0.84070000;0.900;0.85300000;0.80200000;226677065.88820000
XRPUSDT;0.84060000;0.985;0.85300000;0.80200000;226623646.28540000
XRPUSDT;0.84060000;0.961;0.85300000;0.80200000;226573859.91350000
XRPUSDT;0.84030000;0.900;0.85300000;0.80200000;226560166.85150000
XRPUSDT;0.84060000;0.840;0.85300000;0.80200000;226513359.65000000
XRPUSDT;0.84000000;0.767;0.85300000;0.80200000;226496108.09960000
XRPUSDT;0.84050000;0.780;0.85300000;0.80200000;226497791.81110000
XRPUSDT;0.84080000;0.888;0.85300000;0.80200000;226481057.25480000
XRPUSDT;0.84090000;0.864;0.85300000;0.80200000;226507251.02340000
XRPUSDT;0.84070000;0.852;0.85300000;0.80200000;226503155.13520000
XRPUSDT;0.84030000;0.816;0.85300000;0.80200000;226505418.79980000
XRPUSDT;0.84040000;0.792;0.85300000;0.80200000;226520138.43460000
XRPUSDT;0.84040000;0.779;0.85300000;0.80200000;226480851.03830000
XRPUSDT;0.84030000;0.767;0.85300000;0.80200000;226467030.25750000
XRPUSDT;0.84040000;0.671;0.85300000;0.80200000;226445621.33980000
XRPUSDT;0.84100000;0.586;0.85300000;0.80200000;226274867.56020000
XRPUSDT;0.84160000;0.766;0.85300000;0.80200000;225687673.69180000
XRPUSDT;0.84200000;0.790;0.85300000;0.80200000;225687437.39140000
XRPUSDT;0.84110000;0.718;0.85300000;0.80200000;225636664.02750000
XRPUSDT;0.84020000;0.671;0.85300000;0.80200000;225646599.26100000
XRPUSDT;0.83960000;0.889;0.85300000;0.80200000;225468764.61610000
XRPUSDT;0.83980000;0.950;0.85300000;0.80200000;225455299.72130000
XRPUSDT;0.83980000;0.950;0.85300000;0.80200000;225297989.03610000
XRPUSDT;0.83950000;0.841;0.85300000;0.80200000;225187370.15640000
XRPUSDT;0.83990000;0.889;0.85300000;0.80200000;225268330.24420000
XRPUSDT;0.83980000;0.937;0.85300000;0.80200000;225269292.65600000
XRPUSDT;0.83880000;0.708;0.85300000;0.80200000;225247037.42820000
XRPUSDT;0.83750000;0.710;0.85300000;0.80200000;224966267.52400000
XRPUSDT;0.83720000;0.709;0.85300000;0.80200000;224935887.19590000
XRPUSDT;0.83570000;0.421;0.85300000;0.80200000;225104939.20280000
XRPUSDT;0.83570000;0.445;0.85300000;0.80200000;225100918.24280000
XRPUSDT;0.83580000;0.529;0.85300000;0.80200000;225102421.17770000
XRPUSDT;0.83610000;0.650;0.85300000;0.80200000;224949177.07880000
XRPUSDT;0.83720000;0.904;0.85300000;0.80200000;224679508.53660000
XRPUSDT;0.83710000;0.855;0.85300000;0.80200000;223983886.63190000
XRPUSDT;0.83720000;0.661;0.85300000;0.80200000;223899114.86530000
XRPUSDT;0.83710000;0.637;0.85300000;0.80200000;223871487.65860000
XRPUSDT;0.83700000;0.553;0.85300000;0.80200000;223856766.93280000
XRPUSDT;0.83690000;0.601;0.85300000;0.80200000;223836333.52250000
XRPUSDT;0.83740000;0.613;0.85300000;0.80200000;223821516.10150000
XRPUSDT;0.83720000;0.589;0.85300000;0.80200000;223825183.55130000
XRPUSDT;0.83700000;0.540;0.85300000;0.80200000;223784771.87750000
XRPUSDT;0.83710000;0.565;0.85300000;0.80200000;223753683.61390000
XRPUSDT;0.83710000;0.565;0.85300000;0.80200000;223731156.02710000
XRPUSDT;0.83700000;0.553;0.85300000;0.80200000;223732188.16220000
XRPUSDT;0.83690000;0.516;0.85300000;0.80200000;223717890.84260000
