Symbol;Price;Change24;Max24;Min24;Volume24
XTZDOWNUSDT;1.45000000;-7.995;1.65200000;1.39900000;1971262.77442000
XTZDOWNUSDT;1.45000000;-7.995;1.65200000;1.39900000;1971133.61646000
XTZDOWNUSDT;1.45000000;-7.995;1.65200000;1.39900000;1971133.61646000
XTZDOWNUSDT;1.45000000;-8.053;1.65200000;1.39900000;1969238.54912000
XTZDOWNUSDT;1.45000000;-8.053;1.65200000;1.39900000;1969238.54912000
XTZDOWNUSDT;1.45000000;-8.053;1.65200000;1.39900000;1969209.28000000
XTZDOWNUSDT;1.45000000;-8.228;1.65200000;1.39900000;1968169.93678000
XTZDOWNUSDT;1.45000000;-8.170;1.65200000;1.39900000;1966220.50914000
XTZDOWNUSDT;1.45000000;-8.170;1.65200000;1.39900000;1966220.50914000
XTZDOWNUSDT;1.45300000;-7.980;1.65200000;1.39900000;1965422.75387000
XTZDOWNUSDT;1.45300000;-7.805;1.65200000;1.39900000;1965392.77516000
XTZDOWNUSDT;1.45300000;-7.805;1.65200000;1.39900000;1964932.42556000
XTZDOWNUSDT;1.45300000;-7.980;1.65200000;1.39900000;1964739.85215000
XTZDOWNUSDT;1.46200000;-7.410;1.65200000;1.39900000;1963681.27900000
XTZDOWNUSDT;1.46200000;-7.410;1.65200000;1.39900000;1963681.27900000
XTZDOWNUSDT;1.46200000;-7.581;1.65200000;1.39900000;1962539.14701000
XTZDOWNUSDT;1.46200000;-7.410;1.65200000;1.39900000;1962590.34009000
XTZDOWNUSDT;1.46200000;-7.410;1.65200000;1.39900000;1962310.25707000
XTZDOWNUSDT;1.46200000;-7.410;1.65200000;1.39900000;1964614.88669000
XTZDOWNUSDT;1.46900000;-6.966;1.65200000;1.39900000;1964799.48973000
XTZDOWNUSDT;1.46900000;-7.260;1.65200000;1.39900000;1964670.35911000
XTZDOWNUSDT;1.47000000;-7.021;1.65200000;1.39900000;1965021.68869000
XTZDOWNUSDT;1.47000000;-7.197;1.65200000;1.39900000;1960919.37898000
XTZDOWNUSDT;1.46200000;-7.876;1.65200000;1.39900000;1960019.92015000
XTZDOWNUSDT;1.46200000;-7.527;1.65200000;1.39900000;1959970.40575000
XTZDOWNUSDT;1.46200000;-7.116;1.65200000;1.39900000;1959978.23061000
