Symbol;Price;Change24;Max24;Min24;Volume24
XTZUPUSDT;0.01261000;5.259;0.01301000;0.01139000;3194689.55098040
XTZUPUSDT;0.01261000;5.347;0.01301000;0.01139000;3193933.82529790
XTZUPUSDT;0.01261000;5.435;0.01301000;0.01139000;3191222.59480440
XTZUPUSDT;0.01260000;5.175;0.01301000;0.01139000;3190689.38449830
XTZUPUSDT;0.01259000;5.092;0.01301000;0.01139000;3188192.30836170
XTZUPUSDT;0.01259000;5.180;0.01301000;0.01139000;3186860.37468350
XTZUPUSDT;0.01259000;5.444;0.01301000;0.01139000;3185639.69163300
XTZUPUSDT;0.01255000;5.109;0.01301000;0.01139000;3185727.48787440
XTZUPUSDT;0.01255000;5.021;0.01301000;0.01139000;3185523.70359600
XTZUPUSDT;0.01255000;4.933;0.01301000;0.01139000;3185546.94455460
XTZUPUSDT;0.01253000;4.591;0.01301000;0.01139000;3184238.50808790
XTZUPUSDT;0.01251000;4.599;0.01301000;0.01139000;3185230.31515510
XTZUPUSDT;0.01247000;4.439;0.01301000;0.01139000;3185299.24824710
XTZUPUSDT;0.01247000;4.439;0.01301000;0.01139000;3186880.31474020
XTZUPUSDT;0.01248000;4.610;0.01301000;0.01139000;3186683.51437950
XTZUPUSDT;0.01251000;4.435;0.01301000;0.01139000;3185348.53067750
XTZUPUSDT;0.01251000;4.686;0.01301000;0.01139000;3185172.94422250
XTZUPUSDT;0.01248000;4.428;0.01301000;0.01139000;3185007.65643850
XTZUPUSDT;0.01248000;4.261;0.01301000;0.01139000;3185421.41913930
XTZUPUSDT;0.01243000;4.094;0.01301000;0.01139000;3186319.07389010
XTZUPUSDT;0.01246000;4.268;0.01301000;0.01139000;3185476.86960070
XTZUPUSDT;0.01245000;4.279;0.01301000;0.01139000;3185120.02094920
XTZUPUSDT;0.01245000;4.446;0.01301000;0.01139000;3184915.59780510
XTZUPUSDT;0.01248000;4.261;0.01301000;0.01139000;3184657.66824690
XTZUPUSDT;0.01248000;4.174;0.01301000;0.01139000;3183787.79458140
XTZUPUSDT;0.01248000;3.913;0.01301000;0.01139000;3178694.05992520
XTZUPUSDT;0.01248000;3.913;0.01301000;0.01139000;3174726.06402190
XTZUPUSDT;0.01248000;3.741;0.01301000;0.01139000;3174685.38495090
XTZUPUSDT;0.01250000;4.254;0.01301000;0.01139000;3174326.91226760
XTZUPUSDT;0.01250000;4.254;0.01301000;0.01139000;3167159.36375540
XTZUPUSDT;0.01250000;4.254;0.01301000;0.01139000;3167131.17993040
XTZUPUSDT;0.01250000;3.993;0.01301000;0.01139000;3166634.49436030
XTZUPUSDT;0.01253000;4.080;0.01301000;0.01139000;3166340.57878810
XTZUPUSDT;0.01253000;4.243;0.01301000;0.01139000;3166372.49447830
XTZUPUSDT;0.01253000;4.504;0.01301000;0.01139000;3166153.66508950
XTZUPUSDT;0.01252000;4.591;0.01301000;0.01139000;3165636.40737710
XTZUPUSDT;0.01250000;4.603;0.01301000;0.01139000;3165688.95297570
XTZUPUSDT;0.01253000;4.766;0.01301000;0.01139000;3163668.80888780
XTZUPUSDT;0.01253000;4.417;0.01301000;0.01139000;3160583.93013670
XTZUPUSDT;0.01253000;4.591;0.01301000;0.01139000;3160423.43989410
XTZUPUSDT;0.01253000;4.591;0.01301000;0.01139000;3160075.46653970
XTZUPUSDT;0.01256000;4.929;0.01301000;0.01139000;3159940.79771380
XTZUPUSDT;0.01258000;4.833;0.01301000;0.01139000;3159891.49229640
XTZUPUSDT;0.01258000;5.096;0.01301000;0.01139000;3159299.20487530
XTZUPUSDT;0.01258000;5.008;0.01301000;0.01139000;3159906.38717890
XTZUPUSDT;0.01258000;5.008;0.01301000;0.01139000;3159635.58886290
XTZUPUSDT;0.01260000;5.184;0.01301000;0.01139000;3158745.34873810
XTZUPUSDT;0.01260000;5.263;0.01301000;0.01139000;3156638.83654840
XTZUPUSDT;0.01260000;5.263;0.01301000;0.01139000;3155351.58957130
XTZUPUSDT;0.01261000;5.083;0.01301000;0.01139000;3154066.35845240
XTZUPUSDT;0.01257000;5.083;0.01301000;0.01139000;3153080.85546840
XTZUPUSDT;0.01256000;4.667;0.01301000;0.01139000;3154301.11460730
