Symbol;Price;Change24;Max24;Min24;Volume24
XTZUSDT;4.43600000;2.685;4.49500000;4.21600000;21065049.03760000
XTZUSDT;4.43600000;2.685;4.49500000;4.21600000;21057698.92080000
XTZUSDT;4.43600000;2.780;4.49500000;4.21600000;21053240.67020000
XTZUSDT;4.43400000;2.520;4.49500000;4.21600000;21037275.21090000
XTZUSDT;4.43300000;2.663;4.49500000;4.21600000;21035911.42940000
XTZUSDT;4.43200000;2.711;4.49500000;4.21600000;21035500.78200000
XTZUSDT;4.43100000;2.688;4.49500000;4.21600000;21028307.30140000
XTZUSDT;4.42700000;2.524;4.49500000;4.21600000;21028396.43610000
XTZUSDT;4.42800000;2.666;4.49500000;4.21600000;21027811.33410000
XTZUSDT;4.42800000;2.595;4.49500000;4.21600000;21027439.35250000
XTZUSDT;4.42800000;2.524;4.49500000;4.21600000;21027200.06590000
XTZUSDT;4.42300000;2.361;4.49500000;4.21600000;21027748.45180000
XTZUSDT;4.41700000;2.411;4.49500000;4.21600000;21027716.82910000
XTZUSDT;4.41900000;2.364;4.49500000;4.21600000;21029411.28400000
XTZUSDT;4.41900000;2.529;4.49500000;4.21600000;21025661.59090000
XTZUSDT;4.41600000;2.388;4.49500000;4.21600000;21025123.07570000
XTZUSDT;4.41600000;2.364;4.49500000;4.21600000;21025617.11290000
XTZUSDT;4.41700000;2.316;4.49500000;4.21600000;20987577.78700000
XTZUSDT;4.41700000;2.340;4.49500000;4.21600000;20988035.54290000
XTZUSDT;4.40900000;2.248;4.49500000;4.21600000;20996700.77530000
XTZUSDT;4.41200000;2.343;4.49500000;4.21600000;20998671.95880000
XTZUSDT;4.41400000;2.461;4.49500000;4.21600000;20982417.12460000
XTZUSDT;4.41400000;2.461;4.49500000;4.21600000;20978788.84920000
XTZUSDT;4.42100000;2.528;4.49500000;4.21600000;20981114.63760000
XTZUSDT;4.42000000;2.480;4.49500000;4.21600000;20980924.19280000
XTZUSDT;4.42200000;2.337;4.49500000;4.21600000;20976801.46140000
XTZUSDT;4.42100000;2.196;4.49500000;4.21600000;20965084.85690000
XTZUSDT;4.42200000;2.149;4.49500000;4.21600000;20964634.65270000
XTZUSDT;4.42000000;2.149;4.49500000;4.21600000;20965742.72090000
XTZUSDT;4.41900000;2.315;4.49500000;4.21600000;20962392.37610000
XTZUSDT;4.42000000;2.315;4.49500000;4.21600000;20961684.76320000
XTZUSDT;4.42200000;2.172;4.49500000;4.21600000;20946252.74070000
XTZUSDT;4.42200000;2.219;4.49500000;4.21600000;20945578.60480000
XTZUSDT;4.42300000;2.148;4.49500000;4.21600000;20942611.89110000
XTZUSDT;4.42400000;2.218;4.49500000;4.21600000;20943060.43350000
XTZUSDT;4.42100000;2.242;4.49500000;4.21600000;20908197.55850000
XTZUSDT;4.42100000;2.267;4.49500000;4.21600000;20908386.59560000
XTZUSDT;4.42700000;2.477;4.49500000;4.21600000;20909922.90570000
XTZUSDT;4.42700000;2.334;4.49500000;4.21600000;20907758.30440000
XTZUSDT;4.42700000;2.406;4.49500000;4.21600000;20908317.35150000
XTZUSDT;4.42900000;2.476;4.49500000;4.21600000;20907487.58180000
XTZUSDT;4.43100000;2.546;4.49500000;4.21600000;20907356.91190000
XTZUSDT;4.42800000;2.430;4.49500000;4.21600000;20906359.57530000
XTZUSDT;4.42900000;2.475;4.49500000;4.21600000;20905880.05750000
XTZUSDT;4.42900000;2.476;4.49500000;4.21600000;20897448.31850000
XTZUSDT;4.42900000;2.499;4.49500000;4.21600000;20898033.06890000
XTZUSDT;4.43200000;2.687;4.49500000;4.21600000;20898080.50570000
