Symbol;Price;Change24;Max24;Min24;Volume24
YFIIUSDT;2750.00000000;2.842;2795.00000000;2614.00000000;3259211.57960000
YFIIUSDT;2752.00000000;2.917;2795.00000000;2614.00000000;3259810.01380000
YFIIUSDT;2753.00000000;2.840;2795.00000000;2614.00000000;3261185.25100000
YFIIUSDT;2747.00000000;2.653;2795.00000000;2614.00000000;3262407.40830000
YFIIUSDT;2751.00000000;2.803;2795.00000000;2614.00000000;3263902.99400000
YFIIUSDT;2746.00000000;2.918;2795.00000000;2614.00000000;3263880.24800000
YFIIUSDT;2746.00000000;2.731;2795.00000000;2614.00000000;3265005.14700000
YFIIUSDT;2745.00000000;2.732;2795.00000000;2614.00000000;3268880.64460000
YFIIUSDT;2745.00000000;2.732;2795.00000000;2614.00000000;3268998.75240000
YFIIUSDT;2746.00000000;2.654;2795.00000000;2614.00000000;3267369.69220000
YFIIUSDT;2746.00000000;2.616;2795.00000000;2614.00000000;3266969.40000000
YFIIUSDT;2745.00000000;2.655;2795.00000000;2614.00000000;3264663.27840000
YFIIUSDT;2747.00000000;2.694;2795.00000000;2614.00000000;3264463.53060000
YFIIUSDT;2747.00000000;2.653;2795.00000000;2614.00000000;3264863.19210000
YFIIUSDT;2747.00000000;2.653;2795.00000000;2614.00000000;3264823.31970000
YFIIUSDT;2748.00000000;2.691;2795.00000000;2614.00000000;3264834.03690000
YFIIUSDT;2748.00000000;2.691;2795.00000000;2614.00000000;3264465.81930000
YFIIUSDT;2748.00000000;2.614;2795.00000000;2614.00000000;3260626.42510000
YFIIUSDT;2749.00000000;2.651;2795.00000000;2614.00000000;3263591.10120000
YFIIUSDT;2746.00000000;2.577;2795.00000000;2614.00000000;3263755.99200000
YFIIUSDT;2744.00000000;2.503;2795.00000000;2614.00000000;3264289.95320000
YFIIUSDT;2744.00000000;2.503;2795.00000000;2614.00000000;3264289.95320000
YFIIUSDT;2742.00000000;2.428;2795.00000000;2614.00000000;3274951.77110000
YFIIUSDT;2745.00000000;2.503;2795.00000000;2614.00000000;3275985.39570000
YFIIUSDT;2745.00000000;2.540;2795.00000000;2614.00000000;3276087.23520000
YFIIUSDT;2747.00000000;2.233;2795.00000000;2614.00000000;3272156.23650000
YFIIUSDT;2745.00000000;2.159;2795.00000000;2614.00000000;3272475.63010000
YFIIUSDT;2745.00000000;2.159;2795.00000000;2614.00000000;3272475.63010000
YFIIUSDT;2745.00000000;2.197;2795.00000000;2614.00000000;3272236.50210000
YFIIUSDT;2747.00000000;2.309;2795.00000000;2614.00000000;3262722.51140000
YFIIUSDT;2748.00000000;2.346;2795.00000000;2614.00000000;3263414.12880000
YFIIUSDT;2748.00000000;2.308;2795.00000000;2614.00000000;3263540.32350000
YFIIUSDT;2748.00000000;2.308;2795.00000000;2614.00000000;3263540.32350000
YFIIUSDT;2748.00000000;2.308;2795.00000000;2614.00000000;3263540.32350000
YFIIUSDT;2748.00000000;2.308;2795.00000000;2614.00000000;3263540.32350000
YFIIUSDT;2748.00000000;2.384;2795.00000000;2614.00000000;3263340.21650000
YFIIUSDT;2748.00000000;2.461;2795.00000000;2614.00000000;3262853.91290000
YFIIUSDT;2749.00000000;2.536;2795.00000000;2614.00000000;3261897.66940000
YFIIUSDT;2749.00000000;2.460;2795.00000000;2614.00000000;3260908.11230000
YFIIUSDT;2749.00000000;2.460;2795.00000000;2614.00000000;3260857.94020000
YFIIUSDT;2749.00000000;2.460;2795.00000000;2614.00000000;3260857.94020000
YFIIUSDT;2749.00000000;2.498;2795.00000000;2614.00000000;3260808.03640000
YFIIUSDT;2746.00000000;2.310;2795.00000000;2614.00000000;3260868.25150000
YFIIUSDT;2749.00000000;2.424;2795.00000000;2614.00000000;3260858.05230000
YFIIUSDT;2749.00000000;2.536;2795.00000000;2614.00000000;3261099.41450000
YFIIUSDT;2749.00000000;2.536;2795.00000000;2614.00000000;3261299.54170000
YFIIUSDT;2752.00000000;2.648;2795.00000000;2614.00000000;3261742.46730000
YFIIUSDT;2752.00000000;2.648;2795.00000000;2614.00000000;3261742.46730000
YFIIUSDT;2752.00000000;2.610;2795.00000000;2614.00000000;3261684.02150000
YFIIUSDT;2752.00000000;2.610;2795.00000000;2614.00000000;3261684.02150000
YFIIUSDT;2749.00000000;2.345;2795.00000000;2614.00000000;3262641.03210000
YFIIUSDT;2749.00000000;2.422;2795.00000000;2614.00000000;3262194.87920000
YFIIUSDT;2749.00000000;2.422;2795.00000000;2614.00000000;3262194.87920000
YFIIUSDT;2749.00000000;2.422;2795.00000000;2614.00000000;3262194.87920000
YFIIUSDT;2749.00000000;2.422;2795.00000000;2614.00000000;3262194.87920000
YFIIUSDT;2750.00000000;2.460;2795.00000000;2614.00000000;3260877.10380000
YFIIUSDT;2749.00000000;2.460;2795.00000000;2614.00000000;3260382.59210000
YFIIUSDT;2749.00000000;2.384;2795.00000000;2614.00000000;3259798.23470000
YFIIUSDT;2749.00000000;2.384;2795.00000000;2614.00000000;3259798.23470000
YFIIUSDT;2749.00000000;2.384;2795.00000000;2614.00000000;3259425.28820000
YFIIUSDT;2745.00000000;2.045;2795.00000000;2614.00000000;3258130.39370000
