Symbol;Price;Change24;Max24;Min24;Volume24
YFIUSDT;29062.73000000;2.205;31318.33000000;28000.00000000;36552226.86493740
YFIUSDT;29039.57000000;2.230;31318.33000000;28000.00000000;36552183.80183200
YFIUSDT;29049.25000000;2.245;31318.33000000;28000.00000000;36552090.59465890
YFIUSDT;29049.25000000;2.295;31318.33000000;28000.00000000;36552067.58150590
YFIUSDT;29049.25000000;2.305;31318.33000000;28000.00000000;36551493.09838980
YFIUSDT;29057.61000000;2.382;31318.33000000;28000.00000000;36549945.06645100
YFIUSDT;29064.30000000;2.464;31318.33000000;28000.00000000;36548874.17517740
YFIUSDT;29052.86000000;2.423;31318.33000000;28000.00000000;36548725.19441320
YFIUSDT;29041.44000000;2.414;31318.33000000;28000.00000000;36548146.29917980
YFIUSDT;29041.26000000;2.331;31318.33000000;28000.00000000;36549029.45439840
YFIUSDT;29041.27000000;2.223;31318.33000000;28000.00000000;36543970.51483040
YFIUSDT;29049.47000000;2.374;31318.33000000;28000.00000000;36551259.25903910
YFIUSDT;29061.14000000;2.566;31318.33000000;28000.00000000;36552176.74376310
YFIUSDT;29034.85000000;2.333;31318.33000000;28000.00000000;36554495.60131750
YFIUSDT;29013.70000000;2.276;31318.33000000;28000.00000000;36555900.87454650
YFIUSDT;29052.72000000;2.269;31318.33000000;28000.00000000;36555276.25644720
YFIUSDT;29048.00000000;2.282;31318.33000000;28000.00000000;36556293.17446590
YFIUSDT;29012.75000000;2.026;31318.33000000;28000.00000000;36528147.66318610
YFIUSDT;29002.65000000;1.910;31318.33000000;28000.00000000;36525585.29325930
YFIUSDT;28970.00000000;1.942;31318.33000000;28000.00000000;36535994.80850060
YFIUSDT;28986.40000000;2.018;31318.33000000;28000.00000000;36540814.57671380
YFIUSDT;28986.40000000;2.036;31318.33000000;28000.00000000;36540744.37767610
YFIUSDT;28986.40000000;2.027;31318.33000000;28000.00000000;36539511.07359820
YFIUSDT;28986.19000000;2.036;31318.33000000;28000.00000000;36540613.43619950
YFIUSDT;28986.23000000;1.947;31318.33000000;28000.00000000;36540555.42648890
YFIUSDT;29008.09000000;1.783;31318.33000000;28000.00000000;36529225.21645610
YFIUSDT;29017.21000000;1.767;31318.33000000;28000.00000000;36527692.96947580
YFIUSDT;28993.80000000;1.509;31318.33000000;28000.00000000;36521675.94808660
YFIUSDT;28993.80000000;1.581;31318.33000000;28000.00000000;36521224.37078240
YFIUSDT;29009.16000000;1.861;31318.33000000;28000.00000000;36514325.79133120
YFIUSDT;28995.59000000;1.721;31318.33000000;28000.00000000;36501481.87831540
YFIUSDT;29001.29000000;1.711;31318.33000000;28000.00000000;36500718.62998400
YFIUSDT;29008.53000000;1.656;31318.33000000;28000.00000000;36500579.34677730
YFIUSDT;29020.08000000;1.517;31318.33000000;28000.00000000;36497232.56418060
YFIUSDT;29032.24000000;1.502;31318.33000000;28000.00000000;36497034.12627180
YFIUSDT;29032.24000000;1.462;31318.33000000;28000.00000000;36481895.09604420
YFIUSDT;29032.24000000;1.607;31318.33000000;28000.00000000;36478030.88691620
YFIUSDT;29037.85000000;1.620;31318.33000000;28000.00000000;36474516.47188570
YFIUSDT;29037.85000000;1.454;31318.33000000;28000.00000000;36470096.27963920
YFIUSDT;29033.95000000;1.714;31318.33000000;28000.00000000;36465241.44844650
YFIUSDT;29064.79000000;1.661;31318.33000000;28000.00000000;36464005.27787370
YFIUSDT;29064.79000000;1.771;31318.33000000;28000.00000000;36461167.30360300
YFIUSDT;29064.79000000;1.682;31318.33000000;28000.00000000;36461038.45804810
YFIUSDT;29078.01000000;1.665;31318.33000000;28000.00000000;36460754.39032360
YFIUSDT;29077.56000000;1.668;31318.33000000;28000.00000000;36460621.77522980
YFIUSDT;29069.94000000;1.677;31318.33000000;28000.00000000;36461840.02663830
YFIUSDT;29069.94000000;1.700;31318.33000000;28000.00000000;36460831.03403320
YFIUSDT;29094.01000000;1.806;31318.33000000;28000.00000000;36459963.74428020
YFIUSDT;29094.01000000;1.715;31318.33000000;28000.00000000;36459364.65851400
YFIUSDT;29100.80000000;1.685;31318.33000000;28000.00000000;36458757.50330850
YFIUSDT;29100.80000000;1.684;31318.33000000;28000.00000000;36458469.32013390
YFIUSDT;29100.80000000;1.710;31318.33000000;28000.00000000;36454955.70237050
YFIUSDT;29100.80000000;1.722;31318.33000000;28000.00000000;36425820.68662670
YFIUSDT;29077.79000000;1.672;31318.33000000;28000.00000000;36424573.15800140
YFIUSDT;29074.36000000;1.666;31318.33000000;28000.00000000;36424438.24516140
YFIUSDT;29070.23000000;1.613;31318.33000000;28000.00000000;36424796.20668120
YFIUSDT;29089.65000000;1.658;31318.33000000;28000.00000000;36424701.07566740
YFIUSDT;29089.08000000;1.611;31318.33000000;28000.00000000;36423557.54250750
YFIUSDT;29089.08000000;1.670;31318.33000000;28000.00000000;36423495.41748240
YFIUSDT;29050.56000000;1.432;31318.33000000;28000.00000000;36422006.44393960
YFIUSDT;29042.12000000;1.211;31318.33000000;28000.00000000;36391621.90195980
YFIUSDT;29216.62000000;1.792;31318.33000000;28000.00000000;36398915.89261910
YFIUSDT;29107.60000000;1.577;31318.33000000;28000.00000000;36409209.31534370
YFIUSDT;29117.03000000;1.674;31318.33000000;28000.00000000;36397205.51426350
YFIUSDT;29077.98000000;1.646;31318.33000000;28000.00000000;36398867.08668720
YFIUSDT;29050.09000000;1.620;31318.33000000;28000.00000000;36414281.98161260
YFIUSDT;29036.02000000;1.775;31318.33000000;28000.00000000;36414242.81738150
YFIUSDT;29046.15000000;1.510;31318.33000000;28000.00000000;36408349.92884980
YFIUSDT;29064.94000000;1.390;31318.33000000;28000.00000000;36406697.09158130
YFIUSDT;29064.94000000;1.499;31318.33000000;28000.00000000;36405045.82781970
YFIUSDT;29064.94000000;1.523;31318.33000000;28000.00000000;36401663.23107990
YFIUSDT;28999.26000000;0.719;31318.33000000;28000.00000000;36323691.56576870
YFIUSDT;28943.49000000;0.362;31318.33000000;28000.00000000;36208622.77787090
YFIUSDT;28926.54000000;0.383;31318.33000000;28000.00000000;36201332.14984780
