Symbol;Price;Change24;Max24;Min24;Volume24
ZILUSDT;0.08058000;2.311;0.08336000;0.07534000;37546934.29752200
ZILUSDT;0.08058000;2.558;0.08336000;0.07534000;37542665.68348400
ZILUSDT;0.08058000;2.389;0.08336000;0.07534000;37538981.85976500
ZILUSDT;0.08053000;2.338;0.08336000;0.07534000;37536976.50491500
ZILUSDT;0.08052000;2.287;0.08336000;0.07534000;37535886.01847600
ZILUSDT;0.08052000;2.378;0.08336000;0.07534000;37534354.41892200
ZILUSDT;0.08051000;2.626;0.08336000;0.07534000;37496146.37806000
ZILUSDT;0.08046000;2.314;0.08336000;0.07534000;37497505.11871000
ZILUSDT;0.08040000;2.355;0.08336000;0.07534000;37497909.32052700
ZILUSDT;0.08048000;2.366;0.08336000;0.07534000;37478960.08863000
ZILUSDT;0.08046000;2.262;0.08336000;0.07534000;37455228.33731400
ZILUSDT;0.08051000;2.015;0.08336000;0.07534000;37448546.22541000
ZILUSDT;0.08044000;2.055;0.08336000;0.07534000;37444000.67723700
ZILUSDT;0.08042000;1.888;0.08336000;0.07534000;37440332.62561100
ZILUSDT;0.08042000;1.965;0.08336000;0.07534000;37425120.56783800
ZILUSDT;0.08039000;1.630;0.08336000;0.07534000;37419569.81772100
ZILUSDT;0.08037000;1.593;0.08336000;0.07534000;37396238.94971300
ZILUSDT;0.08042000;1.387;0.08336000;0.07534000;37397004.21216600
ZILUSDT;0.08052000;1.398;0.08336000;0.07534000;37398348.36089900
ZILUSDT;0.08039000;1.349;0.08336000;0.07534000;37390122.18757800
ZILUSDT;0.08034000;1.503;0.08336000;0.07534000;37386189.98101000
ZILUSDT;0.08034000;1.466;0.08336000;0.07534000;37373256.92489000
ZILUSDT;0.08033000;1.787;0.08336000;0.07534000;37371940.58658600
ZILUSDT;0.08034000;1.799;0.08336000;0.07534000;37372946.00693500
ZILUSDT;0.08032000;1.581;0.08336000;0.07534000;37354603.61492800
ZILUSDT;0.08025000;1.071;0.08336000;0.07534000;37349827.07767300
ZILUSDT;0.08015000;0.982;0.08336000;0.07534000;37314138.84647500
ZILUSDT;0.08019000;0.982;0.08336000;0.07534000;37310819.88319200
ZILUSDT;0.08023000;0.893;0.08336000;0.07534000;37304403.73098100
ZILUSDT;0.08027000;0.880;0.08336000;0.07534000;37310296.09649000
ZILUSDT;0.08044000;0.954;0.08336000;0.07534000;37305067.49955400
ZILUSDT;0.08043000;0.815;0.08336000;0.07534000;37230285.83948500
ZILUSDT;0.08046000;0.941;0.08336000;0.07534000;37223131.47318100
ZILUSDT;0.08047000;0.713;0.08336000;0.07534000;37216923.98169300
ZILUSDT;0.08043000;0.701;0.08336000;0.07534000;37211079.09247200
ZILUSDT;0.08036000;0.752;0.08336000;0.07534000;37207265.59423000
ZILUSDT;0.08035000;0.942;0.08336000;0.07534000;37202920.20274800
ZILUSDT;0.08047000;1.017;0.08336000;0.07534000;37199307.07591400
ZILUSDT;0.08048000;0.864;0.08336000;0.07534000;37192162.66588400
ZILUSDT;0.08050000;1.080;0.08336000;0.07534000;37188751.52754700
ZILUSDT;0.08051000;0.915;0.08336000;0.07534000;37193351.84307100
ZILUSDT;0.08051000;0.827;0.08336000;0.07534000;37188346.65318800
ZILUSDT;0.08062000;0.901;0.08336000;0.07534000;37186727.26120800
ZILUSDT;0.08062000;0.838;0.08336000;0.07534000;37188159.81729500
ZILUSDT;0.08062000;0.977;0.08336000;0.07534000;37187848.23137000
ZILUSDT;0.08067000;1.128;0.08336000;0.07534000;37187051.35664500
ZILUSDT;0.08069000;1.065;0.08336000;0.07534000;37194030.43377800
ZILUSDT;0.08073000;1.242;0.08336000;0.07534000;37196849.42380600
ZILUSDT;0.08063000;1.166;0.08336000;0.07534000;37196060.54743800
ZILUSDT;0.08063000;0.951;0.08336000;0.07534000;37194704.84327900
ZILUSDT;0.08059000;0.838;0.08336000;0.07534000;37194896.60726200
ZILUSDT;0.08060000;0.762;0.08336000;0.07534000;37139979.56826500
ZILUSDT;0.08064000;0.649;0.08336000;0.07534000;37128957.54052500
ZILUSDT;0.08063000;0.724;0.08336000;0.07534000;37119396.57027700
ZILUSDT;0.08064000;0.674;0.08336000;0.07534000;37120668.56810600
ZILUSDT;0.08060000;0.549;0.08336000;0.07534000;37118275.20644800
ZILUSDT;0.08049000;0.487;0.08336000;0.07534000;37119183.26164000
ZILUSDT;0.08045000;0.374;0.08336000;0.07534000;37110142.75283900
